Date,Close,Volume,Open,High,Low
2021-01-20,1987,4,1984.5,1995.25,1984.5
2021-01-19,1967.5,34,1963.5,1964,1963.5
2021-01-15,1984.75,44,1984.75,1984.75,1984.75
2021-01-14,2009.25,26,2013,2013,2009.25
2021-01-13,2015.75,20,2016.75,2018.25,2016.5
2021-01-12,2023.75,63,2022,2028,2022
2021-01-11,2006.5,145,2008.5,2008.5,2001
2021-01-08,2023.75,255,2034,2034,2017.5
2021-01-07,2040.75,319,2046,2054.25,2023
2021-01-06,2039.5,293,2076,2076.75,2038.5
2021-01-05,2051.5,156,2046.75,2052.25,2045.5
2021-01-04,2047.5,100,2023.25,2048.5,2023.25
2020-12-30,2024,N/A,2024,2024,2024
2020-12-29,2014.25,70,2010.5,2014.25,2009.5
2020-12-23,2037,N/A,2037,2037,2037
2020-12-22,2017.25,8,2017.25,2017.25,2017.25
2020-12-21,2045,63,2065.5,2065.5,2038.25
2020-12-18,2075,1,2071.5,2071.5,2071.5
2020-12-17,2065.25,N/A,2065.25,2065.25,2065.25
2020-12-16,2048.5,N/A,2048.5,2048.5,2048.5
2020-12-15,2034.25,N/A,2034.25,2034.25,2034.25
2020-12-14,2034.75,N/A,2034.75,2034.75,2034.75
2020-12-11,2060.25,10,2040.25,2040.25,2034.75
2020-12-10,2065,12,2065,2065,2065
2020-12-09,2045,32,2034.5,2034.5,2034
2020-12-08,2001.25,35,2005,2012,2000
2020-12-07,2025.75,28,2023,2023,2022.75
2020-12-04,2051.5,25,2057.5,2057.5,2056.25
2020-12-03,2034.75,N/A,2034.75,2034.75,2034.75
2020-12-02,2068.25,156,2074.5,2074.75,2038
2020-12-01,2062.5,54,2061.5,2064.75,2061.5
2020-11-30,2039.5,5,2032.75,2032.75,2032.75
2020-11-26,1984.25,N/A,1984.25,1984.25,1984.25
2020-11-25,1987.5,43,1990,1990,1979
2020-11-24,1982,56,1973,1982.5,1981.5
2020-11-23,1969.5,95,1991.75,1970,1968.5
2020-11-20,1993.75,101,2002.5,2007.5,1993.75
2020-11-19,1993,146,1996,2002.25,1991
2020-11-17,1983.25,N/A,1983.25,1983.25,1983.25
2020-11-16,1998.5,222,1950,1969,1950
2020-11-13,1944.5,10,1959,1959.25,1959
2020-11-12,1937.5,N/A,1937.5,1937.5,1937.5
2020-11-11,1930.75,N/A,1930.75,1930.75,1930.75
2020-11-10,1923.25,68,1919,1926.75,1919
2020-11-09,1900.25,N/A,1900.25,1900.25,1900.25
2020-11-06,1923,85,1929.5,1929.5,1915
2020-11-05,1913.25,129,1913.25,1913.25,1913.25
2020-11-04,1926.5,117,1887.25,1916,1907.25
2020-11-03,1919.5,86,1886.75,1918,1918
2020-11-02,1885,6,1885,1885,1885
2020-10-30,1844.5,N/A,1844.5,1844.5,1844.5
2020-10-29,1815.5,9,1811.5,1815.5,1811
2020-10-28,1817,7,1817.25,1817.25,1817.25
2020-10-27,1832,N/A,1832,1832,1832
2020-10-26,1838,N/A,1838,1838,1838
2020-10-22,1852,N/A,1852,1852,1852
2020-10-21,1865,37,1867.75,1868,1867.75
2020-10-20,1854.5,27,1867.25,1867.25,1854.25
2020-10-19,1863.75,18,1866.5,1868,1864.75
2020-10-16,1878.5,62,1886.5,1886.5,1878
2020-10-15,1868.25,15,1865,1865,1865
2020-10-14,1865.5,129,1878.25,1878.25,1864.75
2020-10-13,1872.5,123,1874.5,1875,1865
2020-10-12,1881.5,115,1877.75,1882,1877.5
2020-10-09,1876.25,137,1843.5,1879.5,1843.5
2020-10-08,1835,47,1828.75,1833.5,1828.75
2020-10-07,1809,162,1791.25,1815.75,1791.25
2020-10-06,1787.5,175,1806.25,1806.5,1786
2020-10-05,1797.5,73,1794.75,1799.25,1794.25
2020-10-02,1795,253,1757.5,1798.5,1757.5
2020-10-01,1763.5,194,1790,1790,1760.75
2020-09-30,1799,N/A,1799,1799,1799
2020-09-29,1797.25,2,1805,1805,1805
2020-09-28,1792,25,1793,1793.5,1793
2020-09-25,1767,32,1764.5,1769,1762.75
2020-09-24,1755.75,61,1755.75,1755.75,1755.75
2020-09-23,1777.75,384,1786.75,1792,1772
2020-09-22,1814.75,N/A,1814.75,1814.75,1814.75
2020-09-21,1814.75,N/A,1814.75,1814.75,1814.75
2020-09-18,1804.75,254,1798,1814,1796
2020-09-17,1791.75,271,1800.5,1800.5,1791
2020-09-16,1807.25,245,1820,1820.5,1802.5
2020-09-15,1786,19,1807.5,1815.25,1805
2020-09-14,1811,177,1797.5,1811,1794.5
2020-09-11,1789,153,1793,1793,1788.75
2020-09-10,1800,337,1789.5,1799.75,1795.75
2020-09-09,1790.5,258,1796.5,1799,1779.5
2020-09-08,1806,469,1801.25,1811,1780
2020-09-04,1793.75,148,1795.5,1796,1781.25
2020-09-03,1787,183,1793,1796.5,1777.75
2020-09-02,1794.75,298,1819.25,1821.5,1792
2020-09-01,1817.5,338,1803,1827.5,1803
2020-08-31,1801.5,N/A,1801.5,1801.5,1801.5
2020-08-28,1801.75,158,1787.75,1808,1784.5
2020-08-27,1783.75,210,1788,1791,1775
2020-08-26,1782.25,499,1783.25,1795.75,1782
2020-08-25,1783,287,1767.75,1784,1765
2020-08-24,1741,N/A,1741,1741,1741
2020-08-21,1746,N/A,1746,1746,1746
2020-08-20,1768.75,N/A,1768.75,1768.75,1768.75
2020-08-19,1772.75,N/A,1772.75,1772.75,1772.75
2020-08-18,1749,N/A,1749,1749,1749
2020-08-17,1721.75,N/A,1721.75,1721.75,1721.75
2020-08-14,1704.75,N/A,1704.75,1704.75,1704.75
2020-08-13,1732.75,N/A,1732.75,1732.75,1732.75
2020-08-12,1761.5,N/A,1761.5,1761.5,1761.5
2020-08-11,1765.75,N/A,1765.75,1765.75,1765.75
2020-08-10,1764.75,N/A,1764.75,1764.75,1764.75
2020-08-07,1753.25,N/A,1753.25,1753.25,1753.25
2020-08-06,1759,N/A,1759,1759,1759
2020-08-05,1752,N/A,1752,1752,1752
2020-08-04,1759.5,N/A,1759.5,1759.5,1759.5
2020-08-03,1754.5,15,1754.5,1754.5,1754.5
2020-07-31,1713.25,17,1712.5,1728.5,1712.5
2020-07-30,1710.25,N/A,1710.25,1710.25,1710.25
2020-07-29,1717.75,10,1717.75,1717.75,1717.75
2020-07-28,1720.25,N/A,1720.25,1720.25,1720.25
2020-07-27,1701,44,1701,1701,1701
2020-07-24,1696,10,1696,1696,1696
2020-07-23,1697,16,1697,1697,1697
2020-07-21,1691.75,51,1691.75,1691.75,1691.75
2020-07-20,1688,61,1673.75,1673.75,1671.25
2020-07-17,1670.25,20,1670.25,1670.25,1670.25
2020-07-16,1668.5,116,1668.5,1668.5,1668.5
2020-07-13,1656.75,N/A,1656.75,1656.75,1656.75
2020-07-10,1630.25,78,1641.25,1656.75,1641.25
2020-07-09,1647.5,N/A,1647.5,1647.5,1647.5
2020-07-08,1654,8,1621.5,1621.5,1621.5
2020-07-07,1617.25,49,1621.5,1621.5,1621.5
2020-07-06,1641.25,171,1632.5,1644.25,1632
2020-07-02,1631,114,1632,1637.5,1626.5
2020-07-01,1631.5,701,1639.5,1645.25,1626.25
2020-06-30,1617.5,N/A,1617.5,1617.5,1617.5
2020-06-29,1597.75,N/A,1597.75,1597.75,1597.75
2020-06-26,1589.5,N/A,1589.5,1589.5,1589.5
2020-06-25,1564.25,N/A,1564.25,1564.25,1564.25
2020-06-24,1568.25,N/A,1568.25,1568.25,1568.25
2020-06-23,1587,N/A,1587,1587,1587
2020-06-22,1596.25,N/A,1596.25,1596.25,1596.25
2020-06-19,1586.5,N/A,1586.5,1586.5,1586.5
2020-06-18,1608.75,N/A,1608.75,1608.75,1608.75
2020-06-17,1603.25,1,1615,1615,1615
2020-06-16,1594.5,11,1594.5,1594.5,1594.5
2020-06-15,1573,N/A,1573,1573,1573
2020-06-12,1605,5,1605,1605,1605
2020-06-11,1605.25,N/A,1605.25,1605.25,1605.25
2020-06-10,1633.75,5,1633.75,1633.75,1633.75
2020-06-09,1613.75,5,1613.75,1613.75,1613.75
2020-06-08,1618,10,1625.25,1625.25,1625.25
2020-06-05,1599.75,29,1599.75,1599.75,1599.75
2020-06-04,1577.25,28,1585.25,1585.25,1581.25
2020-06-03,1580.25,35,1580.25,1580.25,1580.25
2020-06-02,1564,15,1528.25,1530,1528.25
2020-06-01,1539.75,23,1549.25,1549.25,1549
2020-05-29,1532.25,N/A,1532.25,1532.25,1532.25
