Date,Open,High,Low,Close
2013-01-02,0.729,0.833,0.729,0.771
2013-01-03,0.771,0.829,0.755,0.827
2013-01-04,0.824,0.861,0.809,0.814
2013-01-07,0.814,0.824,0.795,0.814
2013-01-08,0.806,0.819,0.781,0.784
2013-01-09,0.785,0.800,0.760,0.774
2013-01-10,0.773,0.803,0.769,0.800
2013-01-11,0.810,0.821,0.771,0.781
2013-01-14,0.781,0.782,0.753,0.769
2013-01-15,0.765,0.769,0.737,0.755
2013-01-16,0.748,0.752,0.729,0.742
2013-01-17,0.739,0.802,0.728,0.797
2013-01-18,0.789,0.811,0.760,0.765
2013-01-22,0.777,0.790,0.748,0.763
2013-01-23,0.763,0.763,0.739,0.748
2013-01-24,0.739,0.787,0.727,0.769
2013-01-25,0.769,0.859,0.763,0.854
2013-01-28,0.854,0.903,0.841,0.865
2013-01-29,0.862,0.899,0.753,0.899
2013-01-30,0.885,0.920,0.872,0.878
2013-01-31,0.870,0.897,0.855,0.881
2013-02-01,0.891,0.907,0.819,0.892
2013-02-04,0.892,0.921,0.826,0.838
2013-02-05,0.841,0.884,0.833,0.868
2013-02-06,0.870,0.873,0.834,0.838
2013-02-07,0.839,0.860,0.814,0.831
2013-02-08,0.834,0.862,0.810,0.834
2013-02-11,0.834,0.857,0.817,0.854
2013-02-12,0.850,0.878,0.834,0.865
2013-02-13,0.844,0.913,0.844,0.910
2013-02-14,0.910,0.915,0.854,0.858
2013-02-15,0.855,0.894,0.842,0.865
2013-02-19,0.866,0.892,0.854,0.892
2013-02-20,0.883,0.902,0.860,0.865
2013-02-21,0.863,0.873,0.823,0.842
2013-02-22,0.841,0.853,0.824,0.832
2013-02-25,0.832,0.853,0.760,0.761
2013-02-26,0.769,0.784,0.740,0.784
2013-02-27,0.771,0.790,0.758,0.788
2013-02-28,0.781,0.789,0.760,0.765
2013-03-01,0.765,0.770,0.739,0.744
2013-03-04,0.744,0.766,0.731,0.762
2013-03-05,0.757,0.787,0.750,0.781
2013-03-06,0.774,0.813,0.771,0.806
2013-03-07,0.802,0.861,0.790,0.860
2013-03-08,0.853,0.924,0.847,0.892
2013-03-11,0.892,0.907,0.880,0.899
2013-03-12,0.899,0.908,0.866,0.868
2013-03-13,0.868,0.900,0.854,0.881
2013-03-14,0.881,0.913,0.871,0.878
2013-03-15,0.878,0.890,0.828,0.836
2013-03-18,0.836,0.836,0.762,0.810
2013-03-19,0.810,0.821,0.766,0.781
2013-03-20,0.781,0.817,0.775,0.815
2013-03-21,0.815,0.815,0.784,0.789
2013-03-22,0.783,0.812,0.775,0.801
2013-03-25,0.801,0.831,0.778,0.791
2013-03-26,0.791,0.817,0.775,0.776
2013-03-27,0.776,0.783,0.723,0.758
2013-03-28,0.758,0.780,0.737,0.768
2013-04-01,0.768,0.792,0.750,0.753
2013-04-02,0.753,0.779,0.747,0.771
2013-04-03,0.771,0.787,0.720,0.726
2013-04-04,0.726,0.740,0.685,0.696
2013-04-05,0.696,0.716,0.659,0.691
2013-04-08,0.691,0.710,0.676,0.707
2013-04-09,0.704,0.716,0.686,0.700
2013-04-10,0.700,0.742,0.692,0.736
2013-04-11,0.740,0.750,0.713,0.728
2013-04-12,0.728,0.732,0.686,0.689
2013-04-15,0.689,0.705,0.675,0.679
2013-04-16,0.679,0.716,0.675,0.703
2013-04-17,0.703,0.711,0.675,0.697
2013-04-18,0.697,0.708,0.686,0.695
2013-04-19,0.695,0.716,0.694,0.708
2013-04-22,0.708,0.726,0.684,0.694
2013-04-23,0.694,0.703,0.658,0.700
2013-04-24,0.700,0.714,0.682,0.714
2013-04-25,0.714,0.732,0.705,0.716
2013-04-26,0.716,0.716,0.679,0.686
2013-04-29,0.686,0.689,0.670,0.678
2013-04-30,0.678,0.684,0.652,0.681
2013-05-01,0.679,0.682,0.643,0.657
2013-05-02,0.657,0.673,0.643,0.652
2013-05-03,0.652,0.742,0.644,0.731
2013-05-06,0.731,0.755,0.719,0.740
2013-05-07,0.740,0.761,0.727,0.748
2013-05-08,0.748,0.761,0.736,0.747
