Date,Close
2013-01-01,0.06
2013-01-02,0.062
2013-01-03,0.066
2013-01-04,0.068
2013-01-07,0.066
2013-01-08,0.067
2013-01-09,0.069
2013-01-10,0.069
2013-01-11,0.067
2013-01-14,0.065
2013-01-15,0.064
2013-01-16,0.067
2013-01-17,0.068
2013-01-18,0.068
2013-01-21,0.068
2013-01-22,0.069
2013-01-23,0.068
2013-01-24,0.068
2013-01-25,0.071
2013-01-28,0.073
2013-01-29,0.074
2013-01-30,0.081
2013-01-31,0.08
2013-02-01,0.081
2013-02-04,0.079
2013-02-05,0.074
2013-02-06,0.067
2013-02-07,0.068
2013-02-08,0.068
2013-02-11,0.072
2013-02-12,0.073
2013-02-13,0.064
2013-02-14,0.066
2013-02-15,0.06
2013-02-18,0.058
2013-02-19,0.062
2013-02-20,0.069
2013-02-21,0.07
2013-02-22,0.071
2013-02-25,0.064
2013-02-26,0.065
2013-02-27,0.056
2013-02-28,0.066
2013-03-01,0.059
2013-03-04,0.06
2013-03-05,0.061
2013-03-06,0.07
2013-03-07,0.063
2013-03-08,0.06
2013-03-11,0.064
2013-03-12,0.068
2013-03-13,0.068
2013-03-14,0.068
2013-03-15,0.07
2013-03-18,0.069
2013-03-19,0.064
2013-03-20,0.065
2013-03-21,0.062
2013-03-22,0.061
2013-03-25,0.064
2013-03-26,0.064
2013-03-27,0.067
2013-03-28,0.112
2013-04-02,0.07
2013-04-03,0.072
2013-04-04,0.074
2013-04-05,0.075
2013-04-08,0.082
2013-04-09,0.078
2013-04-10,0.082
2013-04-11,0.086
2013-04-12,0.082
2013-04-15,0.083
2013-04-16,0.08
2013-04-17,0.078
2013-04-18,0.08
2013-04-19,0.083
2013-04-22,0.082
2013-04-23,0.079
2013-04-24,0.083
2013-04-25,0.083
2013-04-26,0.082
2013-04-29,0.085
2013-04-30,0.102
2013-05-02,0.078
2013-05-03,0.077
2013-05-06,0.083
2013-05-07,0.075
2013-05-08,0.064
2013-05-09,0.072
2013-05-10,0.074
2013-05-13,0.086
2013-05-14,0.081
2013-05-15,0.078
2013-05-16,0.082
2013-05-17,0.066
2013-05-20,0.069
2013-05-21,0.076
2013-05-22,0.083
2013-05-23,0.078
2013-05-24,0.081
2013-05-27,0.082
2013-05-28,0.084
2013-05-29,0.076
2013-05-30,0.073
2013-05-31,0.114
2013-06-03,0.078
2013-06-04,0.078
2013-06-05,0.081
2013-06-06,0.083
2013-06-07,0.078
2013-06-10,0.082
2013-06-11,0.075
2013-06-12,0.077
2013-06-13,0.074
2013-06-14,0.075
2013-06-17,0.08
2013-06-18,0.073
2013-06-19,0.082
2013-06-20,0.082
