Date,Close
"Apr 01, 2013",-0.26%
"Apr 01, 2014",0.30%
"Apr 01, 2015",0.77%
"Apr 01, 2016",-1.00%
"Apr 01, 2019",1.60%
"Apr 01, 2020",0.13%
"Apr 02, 2013",0.33%
"Apr 02, 2014",0.24%
"Apr 02, 2015",0.77%
"Apr 02, 2018",-1.82%
"Apr 02, 2019",-0.08%
"Apr 02, 2020",3.04%
"Apr 03, 2013",-0.20%
"Apr 03, 2014",-0.77%
"Apr 03, 2017",-0.18%
"Apr 03, 2018",1.78%
"Apr 03, 2019",1.34%
"Apr 03, 2020",-3.51%
"Apr 04, 2013",-0.13%
"Apr 04, 2014",0.00%
"Apr 04, 2016",-1.31%
"Apr 04, 2017",-0.27%
"Apr 04, 2018",-0.51%
"Apr 04, 2019",-0.86%
"Apr 05, 2013",-0.20%
"Apr 05, 2016",-1.54%
"Apr 05, 2017",-0.63%
"Apr 05, 2018",1.10%
"Apr 05, 2019",0.71%
"Apr 06, 2015",1.52%
"Apr 06, 2016",1.98%
"Apr 06, 2017",0.36%
"Apr 06, 2018",-1.16%
"Apr 06, 2020",4.28%
"Apr 07, 2014",-1.32%
"Apr 07, 2015",1.00%
"Apr 07, 2016",-1.94%
"Apr 07, 2017",-0.27%
"Apr 07, 2020",2.81%
"Apr 08, 2013",0.07%
"Apr 08, 2014",-0.30%
"Apr 08, 2015",0.16%
"Apr 08, 2016",2.81%
"Apr 08, 2019",1.01%
"Apr 08, 2020",0.36%
"Apr 09, 2013",1.24%
"Apr 09, 2014",2.01%
"Apr 09, 2015",0.33%
"Apr 09, 2018",1.10%
"Apr 09, 2019",-1.08%
"Apr 09, 2020",2.49%
"Apr 10, 2013",0.13%
"Apr 10, 2014",-1.44%
"Apr 10, 2015",2.13%
"Apr 10, 2017",0.54%
"Apr 10, 2018",2.24%
"Apr 10, 2019",1.17%
"Apr 11, 2013",0.58%
"Apr 11, 2014",-1.46%
"Apr 11, 2016",0.71%
"Apr 11, 2017",0.54%
"Apr 11, 2018",0.42%
"Apr 11, 2019",-0.62%
"Apr 12, 2013",-0.58%
"Apr 12, 2016",2.71%
"Apr 12, 2017",0.27%
"Apr 12, 2018",0.42%
"Apr 12, 2019",0.54%
"Apr 13, 2015",-0.64%
"Apr 13, 2016",1.17%
"Apr 13, 2017",-0.71%
"Apr 13, 2018",0.35%
"Apr 13, 2020",-1.27%
"Apr 14, 2014",0.25%
"Apr 14, 2015",3.07%
"Apr 14, 2016",-0.19%
"Apr 14, 2020",-1.05%
"Apr 15, 2013",-3.48%
"Apr 15, 2014",0.18%
"Apr 15, 2015",2.04%
"Apr 15, 2016",-1.26%
"Apr 15, 2019",0.93%
"Apr 15, 2020",-2.72%
"Apr 16, 2013",1.47%
"Apr 16, 2014",1.35%
"Apr 16, 2015",1.08%
"Apr 16, 2018",0.00%
"Apr 16, 2019",0.08%
"Apr 16, 2020",-0.73%
"Apr 17, 2013",-2.76%
"Apr 17, 2014",0.06%
"Apr 17, 2015",-2.51%
"Apr 17, 2017",0.81%
"Apr 17, 2018",0.42%
"Apr 17, 2019",0.08%
"Apr 17, 2020",4.77%
"Apr 18, 2013",0.88%
"Apr 18, 2016",1.18%
"Apr 18, 2017",-0.80%
"Apr 18, 2018",1.67%
"Apr 18, 2019",-0.23%
"Apr 19, 2013",0.67%
"Apr 19, 2016",2.62%
"Apr 19, 2017",-1.70%
"Apr 19, 2018",-0.27%
"Apr 20, 2015",-0.47%
"Apr 20, 2016",1.04%
"Apr 20, 2017",0.27%
"Apr 20, 2018",-0.89%
"Apr 20, 2020",-3.39%
"Apr 21, 2014",-0.12%
"Apr 21, 2015",0.08%
"Apr 21, 2016",-1.68%
"Apr 21, 2017",-0.91%
"Apr 21, 2020",-3.89%
"Apr 22, 2013",-0.13%
"Apr 22, 2014",0.97%
"Apr 22, 2015",-0.63%
"Apr 22, 2016",-0.67%
"Apr 22, 2019",0.99%
"Apr 22, 2020",0.90%
"Apr 23, 2013",-0.13%
"Apr 23, 2014",-0.48%
"Apr 23, 2015",1.42%
"Apr 23, 2018",-0.28%
"Apr 23, 2019",-0.61%
"Apr 23, 2020",1.50%
"Apr 24, 2013",1.20%
"Apr 24, 2014",0.60%
"Apr 24, 2015",0.54%
"Apr 24, 2017",2.66%
"Apr 24, 2018",-1.04%
"Apr 24, 2019",-1.45%
"Apr 24, 2020",0.25%
"Apr 25, 2013",0.92%
"Apr 25, 2014",0.12%
"Apr 25, 2016",-0.10%
"Apr 25, 2017",0.89%
"Apr 25, 2018",-1.26%
"Apr 25, 2019",-0.77%
"Apr 26, 2013",0.72%
"Apr 26, 2016",0.77%
"Apr 26, 2017",-0.71%
"Apr 26, 2018",2.63%
"Apr 26, 2019",-0.94%
"Apr 27, 2015",0.46%
"Apr 27, 2016",2.19%
"Apr 27, 2017",0.36%
"Apr 27, 2018",-0.14%
"Apr 27, 2020",2.08%
"Apr 28, 2014",0.24%
"Apr 28, 2015",0.15%
"Apr 28, 2016",0.19%
"Apr 28, 2017",-0.36%
"Apr 28, 2020",1.44%
"Apr 29, 2013",0.52%
"Apr 29, 2014",1.61%
"Apr 29, 2015",0.15%
"Apr 29, 2016",0.93%
"Apr 29, 2019",0.63%
"Apr 29, 2020",4.02%
"Apr 30, 2013",0.71%
"Apr 30, 2014",1.88%
"Apr 30, 2015",0.84%
"Apr 30, 2018",-1.11%
"Apr 30, 2019",-0.23%
"Apr 30, 2020",-0.31%
"Aug 01, 2013",0.00%
"Aug 01, 2014",-0.35%
"Aug 01, 2016",-2.11%
"Aug 01, 2017",0.16%
"Aug 01, 2018",0.07%
"Aug 01, 2019",-0.09%
"Aug 02, 2013",0.19%
"Aug 02, 2016",0.10%
"Aug 02, 2017",0.39%
"Aug 02, 2018",-0.96%
"Aug 02, 2019",-1.04%
"Aug 02, 2020",0.00%
"Aug 03, 2015",-1.85%
"Aug 03, 2016",-0.20%
"Aug 03, 2017",-0.47%
"Aug 03, 2018",-0.28%
"Aug 03, 2020",2.24%
"Aug 04, 2014",0.88%
"Aug 04, 2015",-0.26%
"Aug 04, 2016",1.08%
"Aug 04, 2017",0.00%
"Aug 04, 2020",0.57%
"Aug 05, 2013",0.19%
"Aug 05, 2014",-1.17%
"Aug 05, 2015",0.26%
"Aug 05, 2016",-0.19%
"Aug 05, 2019",-2.28%
"Aug 05, 2020",2.46%
"Aug 06, 2013",-0.76%
"Aug 06, 2014",-0.18%
"Aug 06, 2015",-0.43%
"Aug 06, 2018",-0.07%
"Aug 06, 2019",0.90%
"Aug 06, 2020",-0.37%
"Aug 07, 2013",0.25%
"Aug 07, 2014",-1.60%
"Aug 07, 2015",-0.43%
"Aug 07, 2017",0.55%
"Aug 07, 2018",1.81%
"Aug 07, 2019",-0.89%
"Aug 07, 2020",-0.19%
"Aug 08, 2013",1.27%
"Aug 08, 2014",1.38%
"Aug 08, 2016",0.39%
"Aug 08, 2017",-0.70%
"Aug 08, 2018",0.07%
"Aug 08, 2019",1.79%
"Aug 08, 2020",0.00%
"Aug 09, 2013",1.32%
"Aug 09, 2016",2.03%
"Aug 09, 2017",0.47%
"Aug 09, 2018",-0.96%
"Aug 09, 2019",-0.26%
"Aug 09, 2020",0.00%
"Aug 10, 2015",1.47%
"Aug 10, 2016",1.14%
"Aug 10, 2017",-1.64%
"Aug 10, 2018",-1.59%
"Aug 10, 2020",-0.19%
"Aug 11, 2014",1.66%
"Aug 11, 2015",-2.81%
"Aug 11, 2016",1.03%
"Aug 11, 2017",-0.40%
"Aug 11, 2020",1.02%
"Aug 12, 2013",-0.68%
"Aug 12, 2014",-1.23%
"Aug 12, 2015",1.40%
"Aug 12, 2016",0.00%
"Aug 12, 2019",-1.24%
"Aug 12, 2020",2.30%
"Aug 13, 2013",0.25%
"Aug 13, 2014",0.53%
"Aug 13, 2015",-1.64%
"Aug 13, 2018",-0.77%
"Aug 13, 2019",1.79%
"Aug 13, 2020",0.63%
"Aug 14, 2013",0.19%
"Aug 14, 2014",0.29%
"Aug 14, 2015",-0.88%
"Aug 14, 2017",0.79%
"Aug 14, 2018",-0.07%
"Aug 14, 2019",-4.21%
"Aug 14, 2020",-0.81%
"Aug 15, 2013",-0.99%
"Aug 15, 2014",0.23%
"Aug 15, 2016",-0.19%
"Aug 15, 2017",-0.47%
"Aug 15, 2018",-2.48%
"Aug 15, 2019",-0.73%
"Aug 16, 2013",0.38%
"Aug 16, 2016",-0.37%
"Aug 16, 2017",0.63%
"Aug 16, 2018",1.02%
"Aug 16, 2019",1.85%
"Aug 17, 2015",0.09%
"Aug 17, 2016",-1.31%
"Aug 17, 2017",-1.73%
"Aug 17, 2018",0.57%
"Aug 17, 2020",0.81%
"Aug 18, 2014",0.99%
"Aug 18, 2015",-1.50%
"Aug 18, 2016",0.66%
"Aug 18, 2017",1.20%
"Aug 18, 2020",-0.27%
"Aug 19, 2013",-0.19%
"Aug 19, 2014",-0.17%
"Aug 19, 2015",-1.53%
"Aug 19, 2016",-0.09%
"Aug 19, 2019",1.63%
"Aug 19, 2020",-1.35%
"Aug 20, 2013",-1.19%
"Aug 20, 2014",0.12%
"Aug 20, 2015",-1.64%
"Aug 20, 2018",0.71%
"Aug 20, 2019",-0.36%
"Aug 20, 2020",-0.18%
"Aug 21, 2013",-2.22%
"Aug 21, 2014",0.87%
"Aug 21, 2015",-2.04%
"Aug 21, 2017",0.08%
"Aug 21, 2018",0.78%
"Aug 21, 2019",1.07%
"Aug 21, 2020",-1.09%
"Aug 22, 2013",0.45%
"Aug 22, 2014",-0.86%
"Aug 22, 2016",-0.47%
"Aug 22, 2017",0.24%
"Aug 22, 2018",1.34%
"Aug 22, 2019",-0.80%
"Aug 23, 2013",1.55%
"Aug 23, 2016",0.94%
"Aug 23, 2017",0.63%
"Aug 23, 2018",-0.76%
"Aug 23, 2019",-1.61%
"Aug 23, 2020",0.00%
"Aug 24, 2015",-5.11%
"Aug 24, 2016",-0.09%
"Aug 24, 2017",0.16%
"Aug 24, 2018",0.84%
"Aug 24, 2020",1.66%
"Aug 25, 2014",0.93%
"Aug 25, 2015",2.59%
"Aug 25, 2016",-0.47%
"Aug 25, 2017",0.94%
"Aug 25, 2020",-0.36%
"Aug 26, 2013",-1.21%
"Aug 26, 2014",0.52%
"Aug 26, 2015",1.65%
"Aug 26, 2016",-0.85%
"Aug 26, 2019",0.64%
"Aug 26, 2020",1.36%
"Aug 27, 2013",-0.32%
"Aug 27, 2014",-0.29%
"Aug 27, 2015",1.91%
"Aug 27, 2018",0.83%
"Aug 27, 2019",0.00%
"Aug 27, 2020",-1.26%
"Aug 28, 2013",0.58%
"Aug 28, 2014",-0.11%
"Aug 28, 2015",2.07%
"Aug 28, 2017",-0.23%
"Aug 28, 2018",-0.28%
"Aug 28, 2019",0.00%
"Aug 28, 2020",1.09%
"Aug 29, 2013",-0.06%
"Aug 29, 2014",-0.40%
"Aug 29, 2016",0.66%
"Aug 29, 2017",0.16%
"Aug 29, 2018",0.41%
"Aug 29, 2019",0.81%
"Aug 30, 2013",-1.80%
"Aug 30, 2016",-0.28%
"Aug 30, 2017",-0.23%
"Aug 30, 2018",-0.76%
"Aug 30, 2019",0.45%
"Aug 30, 2020",0.00%
"Aug 31, 2015",0.46%
"Aug 31, 2016",-0.85%
"Aug 31, 2017",1.56%
"Aug 31, 2018",-0.76%
"Aug 31, 2020",-0.18%
"Dec 01, 2014",0.37%
"Dec 01, 2015",2.04%
"Dec 01, 2016",1.36%
"Dec 01, 2017",0.69%
"Dec 01, 2020",2.39%
"Dec 02, 2013",-0.18%
"Dec 02, 2014",-0.80%
"Dec 02, 2015",-1.82%
"Dec 02, 2016",0.00%
"Dec 02, 2019",-0.60%
"Dec 02, 2020",-0.92%
"Dec 03, 2013",-0.12%
"Dec 03, 2014",0.00%
"Dec 03, 2015",0.46%
"Dec 03, 2018",2.29%
"Dec 03, 2019",-0.43%
