Date,Close
"Apr 01, 2013",15.42
"Apr 01, 2014",16.85
"Apr 01, 2015",11.8
"Apr 01, 2016",9.91
"Apr 01, 2019",12.72
"Apr 01, 2020",8.14
"Apr 02, 2013",15.47
"Apr 02, 2014",16.85
"Apr 02, 2015",11.91
"Apr 02, 2018",13.69
"Apr 02, 2019",12.74
"Apr 02, 2020",8.2
"Apr 03, 2013",15.5
"Apr 03, 2014",16.72
"Apr 03, 2017",11.25
"Apr 03, 2018",13.76
"Apr 03, 2019",12.9
"Apr 03, 2020",8.1
"Apr 04, 2013",15.36
"Apr 04, 2014",16.79
"Apr 04, 2016",9.85
"Apr 04, 2017",11.16
"Apr 04, 2018",13.71
"Apr 04, 2019",12.91
"Apr 05, 2013",15.29
"Apr 05, 2016",9.62
"Apr 05, 2017",11.2
"Apr 05, 2018",13.86
"Apr 05, 2019",12.85
"Apr 06, 2015",12.07
"Apr 06, 2016",9.85
"Apr 06, 2017",11.19
"Apr 06, 2018",13.82
"Apr 06, 2020",8.22
"Apr 07, 2014",16.52
"Apr 07, 2015",12.24
"Apr 07, 2016",9.69
"Apr 07, 2017",11.15
"Apr 07, 2020",8.7
"Apr 08, 2013",15.32
"Apr 08, 2014",16.49
"Apr 08, 2015",12.28
"Apr 08, 2016",9.94
"Apr 08, 2019",12.99
"Apr 08, 2020",8.5
"Apr 09, 2013",15.54
"Apr 09, 2014",16.73
"Apr 09, 2015",12.23
"Apr 09, 2018",13.93
"Apr 09, 2019",12.91
"Apr 09, 2020",8.72
"Apr 10, 2013",15.53
"Apr 10, 2014",16.69
"Apr 10, 2015",12.47
"Apr 10, 2017",11.18
"Apr 10, 2018",14.2
"Apr 10, 2019",13.06
"Apr 11, 2013",15.66
"Apr 11, 2014",16.37
"Apr 11, 2016",10.05
"Apr 11, 2017",11.23
"Apr 11, 2018",14.3
"Apr 11, 2019",13.02
"Apr 12, 2013",15.51
"Apr 12, 2016",10.24
"Apr 12, 2017",11.27
"Apr 12, 2018",14.29
"Apr 12, 2019",13.0
"Apr 13, 2015",12.48
"Apr 13, 2016",10.34
"Apr 13, 2017",11.25
"Apr 13, 2018",14.36
"Apr 13, 2020",8.61
"Apr 14, 2014",16.32
"Apr 14, 2015",12.77
"Apr 14, 2016",10.35
"Apr 14, 2020",8.57
"Apr 15, 2013",15.28
"Apr 15, 2014",16.36
"Apr 15, 2015",13.02
"Apr 15, 2016",10.25
"Apr 15, 2019",13.09
"Apr 15, 2020",8.28
"Apr 16, 2013",15.19
"Apr 16, 2014",16.53
"Apr 16, 2015",13.23
"Apr 16, 2018",14.34
"Apr 16, 2019",13.16
"Apr 16, 2020",8.2
"Apr 17, 2013",15.0
"Apr 17, 2014",16.57
"Apr 17, 2015",12.95
"Apr 17, 2017",11.29
"Apr 17, 2018",14.38
"Apr 17, 2019",13.2
"Apr 17, 2020",8.6
"Apr 18, 2013",14.93
"Apr 18, 2016",10.35
"Apr 18, 2017",11.18
"Apr 18, 2018",14.63
"Apr 18, 2019",13.16
"Apr 19, 2013",15.09
"Apr 19, 2016",10.62
"Apr 19, 2017",11.08
"Apr 19, 2018",14.63
"Apr 20, 2015",12.87
"Apr 20, 2016",10.72
"Apr 20, 2017",11.04
"Apr 20, 2018",14.45
"Apr 20, 2020",8.45
"Apr 21, 2014",16.61
"Apr 21, 2015",12.86
"Apr 21, 2016",10.66
"Apr 21, 2017",10.95
"Apr 21, 2020",8.06
"Apr 22, 2013",14.98
"Apr 22, 2014",16.68
"Apr 22, 2015",12.73
"Apr 22, 2016",10.49
"Apr 22, 2019",13.26
"Apr 22, 2020",8.09
"Apr 23, 2013",14.99
"Apr 23, 2014",16.63
"Apr 23, 2015",12.93
"Apr 23, 2018",14.43
"Apr 23, 2019",13.12
"Apr 23, 2020",8.29
"Apr 24, 2013",15.16
"Apr 24, 2014",16.76
"Apr 24, 2015",13.06
"Apr 24, 2017",11.22
"Apr 24, 2018",14.37
"Apr 24, 2019",13.04
"Apr 24, 2020",8.18
"Apr 25, 2013",15.36
"Apr 25, 2014",16.85
"Apr 25, 2016",10.48
"Apr 25, 2017",11.3
"Apr 25, 2018",14.12
"Apr 25, 2019",12.88
"Apr 26, 2013",15.43
"Apr 26, 2016",10.59
