Date,Close
"Apr 01, 2013",15.28
"Apr 01, 2014",16.69
"Apr 01, 2015",11.66
"Apr 01, 2016",9.81
"Apr 01, 2019",12.63
"Apr 01, 2020",7.89
"Apr 02, 2013",15.36
"Apr 02, 2014",16.72
"Apr 02, 2015",11.79
"Apr 02, 2018",13.48
"Apr 02, 2019",12.64
"Apr 02, 2020",7.88
"Apr 03, 2013",15.31
"Apr 03, 2014",16.54
"Apr 03, 2017",11.13
"Apr 03, 2018",13.6
"Apr 03, 2019",12.8
"Apr 03, 2020",7.78
"Apr 04, 2013",15.21
"Apr 04, 2014",16.63
"Apr 04, 2016",9.72
"Apr 04, 2017",11.07
"Apr 04, 2018",13.46
"Apr 04, 2019",12.72
"Apr 05, 2013",15.13
"Apr 05, 2016",9.56
"Apr 05, 2017",11.07
"Apr 05, 2018",13.73
"Apr 05, 2019",12.74
"Apr 06, 2015",11.95
"Apr 06, 2016",9.69
"Apr 06, 2017",11.11
"Apr 06, 2018",13.63
"Apr 06, 2020",8.07
"Apr 07, 2014",16.32
"Apr 07, 2015",12.13
"Apr 07, 2016",9.57
"Apr 07, 2017",11.09
"Apr 07, 2020",8.34
"Apr 08, 2013",15.26
"Apr 08, 2014",16.35
"Apr 08, 2015",12.13
"Apr 08, 2016",9.82
"Apr 08, 2019",12.93
"Apr 08, 2020",8.3
"Apr 09, 2013",15.33
"Apr 09, 2014",16.59
"Apr 09, 2015",12.12
"Apr 09, 2018",13.78
"Apr 09, 2019",12.81
"Apr 09, 2020",8.53
"Apr 10, 2013",15.43
"Apr 10, 2014",16.46
"Apr 10, 2015",12.3
"Apr 10, 2017",11.12
"Apr 10, 2018",14.01
"Apr 10, 2019",12.82
"Apr 11, 2013",15.55
"Apr 11, 2014",16.22
"Apr 11, 2016",9.95
"Apr 11, 2017",11.13
"Apr 11, 2018",14.1
"Apr 11, 2019",12.88
"Apr 12, 2013",15.37
"Apr 12, 2016",10.05
"Apr 12, 2017",11.19
"Apr 12, 2018",14.17
"Apr 12, 2019",12.95
"Apr 13, 2015",12.35
"Apr 13, 2016",10.23
"Apr 13, 2017",11.14
"Apr 13, 2018",14.25
"Apr 13, 2020",8.44
"Apr 14, 2014",16.23
"Apr 14, 2015",12.61
"Apr 14, 2016",10.31
"Apr 14, 2020",8.45
"Apr 15, 2013",14.97
"Apr 15, 2014",16.14
"Apr 15, 2015",12.8
"Apr 15, 2016",10.18
"Apr 15, 2019",13.01
"Apr 15, 2020",8.14
"Apr 16, 2013",15.1
"Apr 16, 2014",16.35
"Apr 16, 2015",13.0
"Apr 16, 2018",14.28
"Apr 16, 2019",13.06
"Apr 16, 2020",8.05
"Apr 17, 2013",14.66
"Apr 17, 2014",16.42
"Apr 17, 2015",12.77
"Apr 17, 2017",11.19
"Apr 17, 2018",14.29
"Apr 17, 2019",13.09
"Apr 17, 2020",8.28
"Apr 18, 2013",14.73
"Apr 18, 2016",10.16
"Apr 18, 2017",11.11
"Apr 18, 2018",14.5
"Apr 18, 2019",13.06
"Apr 19, 2013",14.96
"Apr 19, 2016",10.5
"Apr 19, 2017",10.97
"Apr 19, 2018",14.49
"Apr 20, 2015",12.75
"Apr 20, 2016",10.58
"Apr 20, 2017",11.0
"Apr 20, 2018",14.33
"Apr 20, 2020",8.2
"Apr 21, 2014",16.41
"Apr 21, 2015",12.75
"Apr 21, 2016",10.48
"Apr 21, 2017",10.87
"Apr 21, 2020",7.91
"Apr 22, 2013",14.83
"Apr 22, 2014",16.62
"Apr 22, 2015",12.6
"Apr 22, 2016",10.4
"Apr 22, 2019",13.12
"Apr 22, 2020",7.98
"Apr 23, 2013",14.89
"Apr 23, 2014",16.51
"Apr 23, 2015",12.65
"Apr 23, 2018",14.35
"Apr 23, 2019",13.02
"Apr 23, 2020",8.13
"Apr 24, 2013",14.99
"Apr 24, 2014",16.61
"Apr 24, 2015",12.86
"Apr 24, 2017",11.14
"Apr 24, 2018",14.2
"Apr 24, 2019",12.93
"Apr 24, 2020",8.05
"Apr 25, 2013",15.25
"Apr 25, 2014",16.66
"Apr 25, 2016",10.42
"Apr 25, 2017",11.23
"Apr 25, 2018",13.98
"Apr 25, 2019",12.76
"Apr 26, 2013",15.33
"Apr 26, 2016",10.5
"Apr 26, 2017",11.17
"Apr 26, 2018",14.37
"Apr 26, 2019",12.7
"Apr 27, 2015",12.94
"Apr 27, 2016",10.62
"Apr 27, 2017",11.18
"Apr 27, 2018",14.38
"Apr 27, 2020",8.17
"Apr 28, 2014",16.63
"Apr 28, 2015",12.99
"Apr 28, 2016",10.76
"Apr 28, 2017",11.2
"Apr 28, 2020",8.42
"Apr 29, 2013",15.34
"Apr 29, 2014",17.0
"Apr 29, 2015",12.99
"Apr 29, 2016",10.79
"Apr 29, 2019",12.66
"Apr 29, 2020",8.6
"Apr 30, 2013",15.45
"Apr 30, 2014",17.12
"Apr 30, 2015",13.13
"Apr 30, 2018",14.25
"Apr 30, 2019",12.71
"Apr 30, 2020",8.7
"Aug 01, 2013",15.65
"Aug 01, 2014",16.86
"Aug 01, 2016",10.19
"Aug 01, 2017",12.78
"Aug 01, 2018",14.39
"Aug 01, 2019",11.5
"Aug 02, 2013",15.65
"Aug 02, 2016",10.18
"Aug 02, 2017",12.81
"Aug 02, 2018",14.36
