Date,Close
"Apr 01, 2013",15.28
"Apr 01, 2014",16.72
"Apr 01, 2015",11.76
"Apr 01, 2016",9.81
"Apr 01, 2019",12.69
"Apr 01, 2020",7.94
"Apr 02, 2013",15.38
"Apr 02, 2014",16.84
"Apr 02, 2015",11.82
"Apr 02, 2018",13.69
"Apr 02, 2019",12.72
"Apr 02, 2020",7.92
"Apr 03, 2013",15.49
"Apr 03, 2014",16.7
"Apr 03, 2017",11.21
"Apr 03, 2018",13.69
"Apr 03, 2019",12.84
"Apr 03, 2020",8.04
"Apr 04, 2013",15.31
"Apr 04, 2014",16.7
"Apr 04, 2016",9.81
"Apr 04, 2017",11.12
"Apr 04, 2018",13.46
"Apr 04, 2019",12.79
"Apr 05, 2013",15.13
"Apr 05, 2016",9.57
"Apr 05, 2017",11.16
"Apr 05, 2018",13.73
"Apr 05, 2019",12.74
"Apr 06, 2015",11.97
"Apr 06, 2016",9.69
"Apr 06, 2017",11.15
"Apr 06, 2018",13.75
"Apr 06, 2020",8.07
"Apr 07, 2014",16.52
"Apr 07, 2015",12.14
"Apr 07, 2016",9.68
"Apr 07, 2017",11.13
"Apr 07, 2020",8.6
"Apr 08, 2013",15.29
"Apr 08, 2014",16.39
"Apr 08, 2015",12.22
"Apr 08, 2016",9.84
"Apr 08, 2019",12.94
"Apr 08, 2020",8.36
"Apr 09, 2013",15.41
"Apr 09, 2014",16.59
"Apr 09, 2015",12.21
"Apr 09, 2018",13.81
"Apr 09, 2019",12.91
"Apr 09, 2020",8.66
"Apr 10, 2013",15.48
"Apr 10, 2014",16.59
"Apr 10, 2015",12.3
"Apr 10, 2017",11.12
"Apr 10, 2018",14.01
"Apr 10, 2019",12.82
"Apr 11, 2013",15.55
"Apr 11, 2014",16.22
"Apr 11, 2016",9.96
"Apr 11, 2017",11.19
"Apr 11, 2018",14.1
"Apr 11, 2019",12.96
"Apr 12, 2013",15.5
"Apr 12, 2016",10.07
"Apr 12, 2017",11.24
"Apr 12, 2018",14.17
"Apr 12, 2019",12.95
"Apr 13, 2015",12.48
"Apr 13, 2016",10.23
"Apr 13, 2017",11.23
"Apr 13, 2018",14.32
"Apr 13, 2020",8.57
"Apr 14, 2014",16.27
"Apr 14, 2015",12.64
"Apr 14, 2016",10.34
"Apr 14, 2020",8.53
"Apr 15, 2013",15.28
"Apr 15, 2014",16.36
"Apr 15, 2015",12.81
"Apr 15, 2016",10.25
"Apr 15, 2019",13.07
"Apr 15, 2020",8.2
"Apr 16, 2013",15.13
"Apr 16, 2014",16.49
"Apr 16, 2015",13.12
"Apr 16, 2018",14.32
"Apr 16, 2019",13.09
"Apr 16, 2020",8.16
"Apr 17, 2013",15.0
"Apr 17, 2014",16.47
"Apr 17, 2015",12.94
"Apr 17, 2017",11.19
"Apr 17, 2018",14.29
"Apr 17, 2019",13.18
"Apr 17, 2020",8.39
"Apr 18, 2013",14.87
"Apr 18, 2016",10.16
"Apr 18, 2017",11.11
"Apr 18, 2018",14.5
"Apr 18, 2019",13.12
"Apr 19, 2013",15.09
"Apr 19, 2016",10.5
"Apr 19, 2017",11.08
"Apr 19, 2018",14.63
"Apr 20, 2015",12.82
"Apr 20, 2016",10.63
"Apr 20, 2017",11.0
"Apr 20, 2018",14.41
"Apr 20, 2020",8.27
"Apr 21, 2014",16.61
"Apr 21, 2015",12.86
"Apr 21, 2016",10.66
"Apr 21, 2017",10.95
"Apr 21, 2020",7.98
"Apr 22, 2013",14.95
"Apr 22, 2014",16.62
"Apr 22, 2015",12.73
