Date,Close
"Apr 01, 2013",25.35K
"Apr 01, 2014",9.81K
"Apr 01, 2015",56.24K
"Apr 01, 2016",73.07K
"Apr 01, 2019",16.53K
"Apr 01, 2020",12.10K
"Apr 02, 2013",20.86K
"Apr 02, 2014",44.24K
"Apr 02, 2015",7.80K
"Apr 02, 2018",313.53K
"Apr 02, 2019",36.61K
"Apr 02, 2020",10.43K
"Apr 03, 2013",20.21K
"Apr 03, 2014",25.00K
"Apr 03, 2017",206.12K
"Apr 03, 2018",345.44K
"Apr 03, 2019",35.70K
"Apr 03, 2020",24.33K
"Apr 04, 2013",12.51K
"Apr 04, 2014",43.83K
"Apr 04, 2016",13.06K
"Apr 04, 2017",347.04K
"Apr 04, 2018",60.54K
"Apr 04, 2019",16.73K
"Apr 05, 2013",17.40K
"Apr 05, 2016",29.34K
"Apr 05, 2017",149.77K
"Apr 05, 2018",29.68K
"Apr 05, 2019",19.01K
"Apr 06, 2015",147.39K
"Apr 06, 2016",53.61K
"Apr 06, 2017",26.79K
"Apr 06, 2018",69.67K
"Apr 06, 2020",14.15K
"Apr 07, 2014",284.62K
"Apr 07, 2015",54.08K
"Apr 07, 2016",29.17K
"Apr 07, 2017",67.49K
"Apr 07, 2020",23.16K
"Apr 08, 2013",7.16K
"Apr 08, 2014",18.34K
"Apr 08, 2015",284.29K
"Apr 08, 2016",18.84K
"Apr 08, 2019",47.23K
"Apr 08, 2020",22.92K
"Apr 09, 2013",32.38K
"Apr 09, 2014",8.64K
"Apr 09, 2015",70.40K
"Apr 09, 2018",62.00K
"Apr 09, 2019",40.40K
"Apr 09, 2020",61.93K
"Apr 10, 2013",12.58K
"Apr 10, 2014",17.45K
"Apr 10, 2015",29.17K
"Apr 10, 2017",55.14K
"Apr 10, 2018",359.33K
"Apr 10, 2019",30.75K
"Apr 11, 2013",16.97K
"Apr 11, 2014",30.73K
"Apr 11, 2016",35.11K
"Apr 11, 2017",18.05K
"Apr 11, 2018",93.40K
"Apr 11, 2019",31.52K
"Apr 12, 2013",9.71K
"Apr 12, 2016",43.89K
"Apr 12, 2017",22.71K
"Apr 12, 2018",58.55K
"Apr 12, 2019",18.64K
"Apr 13, 2015",63.66K
"Apr 13, 2016",29.86K
"Apr 13, 2017",97.02K
"Apr 13, 2018",47.93K
"Apr 13, 2020",102.83K
"Apr 14, 2014",10.86K
"Apr 14, 2015",81.68K
"Apr 14, 2016",16.37K
"Apr 14, 2020",49.17K
"Apr 15, 2013",61.19K
"Apr 15, 2014",19.20K
"Apr 15, 2015",108.11K
"Apr 15, 2016",73.02K
"Apr 15, 2019",40.24K
"Apr 15, 2020",18.02K
"Apr 16, 2013",20.95K
"Apr 16, 2014",125.77K
"Apr 16, 2015",417.34K
"Apr 16, 2018",49.59K
"Apr 16, 2019",23.11K
"Apr 16, 2020",13.11K
"Apr 17, 2013",14.31K
"Apr 17, 2014",19.30K
"Apr 17, 2015",119.24K
"Apr 17, 2017",65.81K
"Apr 17, 2018",338.59K
"Apr 17, 2019",38.82K
"Apr 17, 2020",14.69K
"Apr 18, 2013",46.16K
"Apr 18, 2016",47.28K
"Apr 18, 2017",18.86K
"Apr 18, 2018",82.34K
"Apr 18, 2019",109.03K
"Apr 19, 2013",77.11K
"Apr 19, 2016",66.76K
"Apr 19, 2017",43.65K
"Apr 19, 2018",28.67K
"Apr 20, 2015",28.37K
"Apr 20, 2016",117.45K
"Apr 20, 2017",53.82K
"Apr 20, 2018",27.48K
"Apr 20, 2020",45.75K
"Apr 21, 2014",8.46K
"Apr 21, 2015",104.11K
"Apr 21, 2016",52.48K
"Apr 21, 2017",41.24K
"Apr 21, 2020",12.26K
"Apr 22, 2013",95.88K
"Apr 22, 2014",26.01K
"Apr 22, 2015",53.63K
"Apr 22, 2016",30.46K
"Apr 22, 2019",10.63K
"Apr 22, 2020",12.21K
"Apr 23, 2013",12.26K
"Apr 23, 2014",13.75K
"Apr 23, 2015",47.67K
"Apr 23, 2018",45.30K
"Apr 23, 2019",609.67K
"Apr 23, 2020",4.38K
"Apr 24, 2013",15.23K
"Apr 24, 2014",9.39K
"Apr 24, 2015",26.16K
"Apr 24, 2017",152.32K
"Apr 24, 2018",59.77K
"Apr 24, 2019",34.98K
"Apr 24, 2020",40.15K
"Apr 25, 2013",22.74K
"Apr 25, 2014",28.73K
"Apr 25, 2016",60.58K
"Apr 25, 2017",67.86K
"Apr 25, 2018",37.41K
"Apr 25, 2019",77.97K
"Apr 26, 2013",76.24K
"Apr 26, 2016",29.38K
"Apr 26, 2017",57.11K
"Apr 26, 2018",57.81K
"Apr 26, 2019",20.65K
"Apr 27, 2015",100.91K
"Apr 27, 2016",49.13K
"Apr 27, 2017",26.05K
"Apr 27, 2018",18.16K
"Apr 27, 2020",20.56K
"Apr 28, 2014",42.70K
"Apr 28, 2015",165.50K
"Apr 28, 2016",18.23K
"Apr 28, 2017",54.25K
"Apr 28, 2020",23.98K
"Apr 29, 2013",12.53K
"Apr 29, 2014",20.55K
"Apr 29, 2015",39.08K
"Apr 29, 2016",53.15K
"Apr 29, 2019",23.90K
"Apr 29, 2020",19.42K
"Apr 30, 2013",13.80K
"Apr 30, 2014",14.93K
"Apr 30, 2015",58.67K
"Apr 30, 2018",41.21K
"Apr 30, 2019",198.13K
"Apr 30, 2020",12.45K
"Aug 01, 2013",31.42K
"Aug 01, 2014",211.62K
"Aug 01, 2016",14.43K
"Aug 01, 2017",55.84K
"Aug 01, 2018",217.40K
"Aug 01, 2019",15.39K
"Aug 02, 2013",181.70K
"Aug 02, 2016",12.77K
"Aug 02, 2017",27.51K
"Aug 02, 2018",15.93K
"Aug 02, 2019",12.68K
"Aug 02, 2020",-
"Aug 03, 2015",28.20K
"Aug 03, 2016",36.33K
"Aug 03, 2017",38.85K
"Aug 03, 2018",66.50K
"Aug 03, 2020",39.06K
"Aug 04, 2014",118.75K
"Aug 04, 2015",37.51K
"Aug 04, 2016",16.01K
"Aug 04, 2017",92.78K
"Aug 04, 2020",36.95K
"Aug 05, 2013",40.96K
"Aug 05, 2014",215.97K
"Aug 05, 2015",276.19K
"Aug 05, 2016",28.77K
"Aug 05, 2019",96.67K
"Aug 05, 2020",73.10K
"Aug 06, 2013",128.21K
"Aug 06, 2014",97.76K
"Aug 06, 2015",34.66K
"Aug 06, 2018",130.40K
"Aug 06, 2019",26.65K
"Aug 06, 2020",62.75K
"Aug 07, 2013",49.90K
"Aug 07, 2014",131.68K
"Aug 07, 2015",34.99K
"Aug 07, 2017",12.68K
"Aug 07, 2018",47.39K
"Aug 07, 2019",32.09K
"Aug 07, 2020",93.14K
"Aug 08, 2013",24.70K
"Aug 08, 2014",22.20K
"Aug 08, 2016",15.96K
"Aug 08, 2017",42.51K
"Aug 08, 2018",186.39K
"Aug 08, 2019",94.21K
"Aug 08, 2020",-
"Aug 09, 2013",172.35K
"Aug 09, 2016",75.47K
"Aug 09, 2017",195.87K
"Aug 09, 2018",36.90K
"Aug 09, 2019",43.89K
"Aug 09, 2020",-
"Aug 10, 2015",12.72K
"Aug 10, 2016",78.32K
"Aug 10, 2017",51.92K
"Aug 10, 2018",31.37K
"Aug 10, 2020",17.96K
"Aug 11, 2014",30.25K
"Aug 11, 2015",59.45K
"Aug 11, 2016",25.04K
"Aug 11, 2017",22.05K
"Aug 11, 2020",82.91K
"Aug 12, 2013",49.44K
"Aug 12, 2014",43.88K
"Aug 12, 2015",45.40K
"Aug 12, 2016",23.36K
"Aug 12, 2019",47.62K
"Aug 12, 2020",50.16K
"Aug 13, 2013",22.93K
"Aug 13, 2014",41.04K
"Aug 13, 2015",65.76K
"Aug 13, 2018",126.82K
"Aug 13, 2019",32.54K
"Aug 13, 2020",22.73K
"Aug 14, 2013",26.64K
"Aug 14, 2014",39.58K
"Aug 14, 2015",71.47K
"Aug 14, 2017",29.49K
"Aug 14, 2018",59.97K
"Aug 14, 2019",23.59K
"Aug 14, 2020",54.95K
"Aug 15, 2013",24.60K
"Aug 15, 2014",34.27K
"Aug 15, 2016",17.13K
"Aug 15, 2017",47.01K
