Date,Close
1-Apr-14,1.375
1-Apr-15,1.027
1-Apr-16,0.567
1-Apr-19,1.266
1-Apr-20,0.284
1-Aug-13,1.497
1-Aug-14,1.265
1-Aug-16,0.598
1-Aug-17,0.445
1-Aug-18,0.898
1-Aug-19,1.318
1-Dec-14,1.392
1-Dec-15,1.044
1-Dec-16,1.009
1-Dec-17,0.41
1-Dec-20,0.135
1-Feb-13,1.671
1-Feb-15,1.176
1-Feb-16,0.926
1-Feb-17,0.641
1-Feb-18,0.471
1-Feb-19,1.136
1-Jan-13,1.524
1-Jul-13,1.531
1-Jul-14,1.243
1-Jul-15,0.969
1-Jul-16,0.667
1-Jul-17,0.41
1-Jul-19,1.316
1-Jul-20,0.185
1-Jun-14,1.372
1-Jun-15,1.551
1-Jun-16,0.779
1-Jun-17,0.527
1-Jun-18,0.739
1-Mar-13,1.728
1-Mar-16,0.789
1-Mar-17,0.672
1-Mar-18,0.496
1-Mar-19,1.595
1-May-15,1.274
1-Nov-13,1.633
1-Nov-14,1.325
1-Nov-15,0.836
1-Nov-16,0.618
1-Nov-17,0.491
1-Nov-18,0.881
1-Nov-19,1.42
1-Oct-13,1.602
1-Oct-14,1.394
1-Oct-15,0.723
1-Oct-17,0.419
1-Oct-18,0.855
1-Oct-19,1.409
1-Oct-20,-0.047
1-Sep-13,1.632
1-Sep-14,1.312
1-Sep-15,1.158
1-Sep-16,0.825
1-Sep-17,0.456
1-Sep-20,0.062
10-Apr-13,1.736
10-Apr-14,1.381
10-Apr-15,1.104
10-Apr-17,0.539
10-Apr-18,0.614
10-Apr-19,1.304
10-Aug-13,1.549
10-Aug-14,1.215
10-Aug-15,1.081
10-Aug-16,0.577
10-Aug-17,0.426
10-Aug-18,0.631
10-Aug-20,0.074
10-Dec-13,1.582
10-Dec-14,1.552
10-Dec-15,0.917
10-Dec-19,1.533
10-Dec-20,0.183
10-Feb-14,1.493
10-Feb-15,1.179
10-Feb-16,0.967
10-Feb-17,0.632
10-Feb-20,1.429
10-Jan-13,1.684
10-Jan-14,1.426
10-Jan-16,0.71
10-Jan-17,0.626
10-Jan-18,0.439
10-Jan-19,0.984
10-Jan-20,1.531
10-Jul-13,1.53
10-Jul-14,1.273
10-Jul-15,0.975
10-Jul-17,0.417
10-Jul-18,0.829
10-Jul-19,1.316
10-Jul-20,0.064
10-Jun-13,1.635
10-Jun-14,1.409
10-Jun-15,2.289
10-Jun-16,1.693
10-Jun-19,1.106
10-Jun-20,-0.018
10-Mar-14,1.524
10-Mar-15,1.052
10-Mar-16,0.917
10-Mar-17,2.364
10-Mar-20,1.514
10-May-13,1.634
10-May-14,1.42
10-May-16,0.668
10-May-17,0.581
10-May-18,0.717
10-May-19,1.166
10-Nov-14,1.498
10-Nov-15,0.863
10-Nov-16,0.713
10-Nov-17,0.523
10-Nov-20,0.115
10-Oct-13,1.61
10-Oct-14,1.357
10-Oct-16,0.586
10-Oct-17,0.461
10-Oct-18,0.877
10-Oct-19,1.353
10-Sep-13,1.687
10-Sep-14,1.249
10-Sep-15,2.028
10-Sep-18,0.785
10-Sep-19,1.308
10-Sep-20,0.183
11-Apr-13,1.736
11-Apr-14,1.38
11-Apr-16,0.681
11-Apr-17,0.495
11-Apr-18,0.614
11-Apr-19,1.313
11-Aug-13,1.549
11-Aug-14,1.228
11-Aug-15,1.091
11-Aug-16,0.604
11-Aug-17,0.427
11-Aug-20,0.074
11-Dec-13,1.582
11-Dec-14,1.842
11-Dec-15,2.214
11-Dec-17,0.371
11-Dec-18,0.833
11-Dec-19,1.471
11-Dec-20,0.183
11-Feb-13,1.686
11-Feb-14,1.504
11-Feb-15,1.18
11-Feb-16,0.966
11-Feb-19,1.197
11-Feb-20,1.417
11-Jan-13,1.685
11-Jan-16,0.721
11-Jan-17,0.631
11-Jan-18,0.439
11-Jan-19,0.987
11-Jul-13,1.53
11-Jul-14,1.247
11-Jul-16,0.665
11-Jul-17,0.416
11-Jul-18,0.831
11-Jul-19,1.316
11-Jun-13,1.638
11-Jun-14,1.471
11-Jun-15,1.286
11-Jun-18,0.754
11-Jun-19,1.113
11-Jun-20,0.018
11-Mar-13,1.709
11-Mar-14,1.594
11-Mar-15,0.998
11-Mar-16,1.101
11-Mar-19,0.943
11-Mar-20,1.53
11-May-15,1.257
11-May-16,0.601
11-May-17,0.588
11-May-18,0.717
11-May-20,0.046
11-Nov-13,1.531
11-Nov-14,1.504
11-Nov-15,0.856
11-Nov-16,0.712
11-Nov-19,1.461
11-Nov-20,0.111
11-Oct-13,1.602
11-Oct-16,0.579
11-Oct-17,0.463
11-Oct-18,0.881
11-Oct-19,1.328
11-Sep-13,1.738
11-Sep-14,1.212
11-Sep-15,1.471
11-Sep-17,0.518
11-Sep-18,0.714
11-Sep-19,1.303
11-Sep-20,0.073
12-Apr-13,1.736
12-Apr-15,1.085
12-Apr-16,0.686
12-Apr-17,0.566
12-Apr-18,0.631
12-Apr-19,1.316
12-Aug-13,1.578
12-Aug-14,1.301
12-Aug-15,1.046
12-Aug-16,0.525
12-Aug-19,1.319
12-Aug-20,0.078
12-Dec-13,1.582
12-Dec-14,1.101
12-Dec-16,0.906
12-Dec-17,0.414
12-Dec-18,0.837
12-Dec-19,1.526
12-Feb-13,1.727
12-Feb-14,1.505
12-Feb-15,1.183
12-Feb-16,1.012
12-Feb-18,0.528
12-Feb-19,1.178
12-Feb-20,1.389
12-Jan-15,1.177
12-Jan-16,0.715
12-Jan-17,0.663
12-Jan-18,0.429
12-Jul-13,1.531
12-Jul-14,1.189
12-Jul-16,0.669
12-Jul-17,0.417
12-Jul-18,0.634
12-Jul-19,1.316
12-Jun-13,1.589
12-Jun-14,1.286
12-Jun-15,2.963
12-Jun-17,0.67
12-Jun-18,0.739
12-Jun-19,1.116
12-Jun-20,0.036
12-Mar-13,1.793
12-Mar-14,1.619
12-Mar-15,0.0
12-Mar-18,0.563
12-Mar-19,0.978
12-Mar-20,1.638
12-May-14,1.429
12-May-15,1.326
12-May-16,0.68
12-May-17,0.59
12-May-20,0.045
12-Nov-13,1.532
12-Nov-14,1.463
12-Nov-15,0.88
12-Nov-17,0.523
12-Nov-18,0.9
12-Nov-19,1.461
12-Nov-20,0.116
12-Oct-15,0.751
12-Oct-16,0.576
12-Oct-17,0.452
12-Oct-18,0.884
12-Oct-20,0.03
12-Sep-13,1.73
12-Sep-14,1.434
12-Sep-15,37.898
12-Sep-16,1.154
12-Sep-17,0.561
12-Sep-18,0.747
12-Sep-19,1.31
13-Apr-15,1.196
13-Apr-16,0.685
13-Apr-17,0.566
13-Apr-18,0.614
13-Aug-13,1.57
13-Aug-14,1.303
13-Aug-15,1.015
13-Aug-16,0.59
13-Aug-18,0.633
13-Aug-19,1.317
13-Aug-20,0.057
13-Dec-13,1.582
13-Dec-16,1.594
13-Dec-17,0.373
13-Dec-18,0.829
13-Dec-19,1.434
13-Feb-13,1.697
13-Feb-14,1.521
13-Feb-15,1.184
13-Feb-17,0.654
13-Feb-18,0.492
13-Feb-19,1.214
13-Feb-20,1.472
13-Jan-13,1.676
13-Jan-14,1.425
13-Jan-15,1.181
13-Jan-16,0.775
13-Jan-17,0.623
13-Jan-20,1.526
13-Jul-15,0.973
13-Jul-16,0.674
13-Jul-17,0.418
13-Jul-18,0.848
13-Jul-20,0.064
13-Jun-13,1.619
13-Jun-14,2.214
13-Jun-16,99.995
13-Jun-17,0.58
13-Jun-18,0.739
13-Jun-19,1.138
13-Mar-13,1.797
13-Mar-14,1.842
13-Mar-15,1.842
13-Mar-19,0.954
13-Mar-20,0.0
13-May-13,1.665
13-May-14,1.504
13-May-15,1.311
13-May-16,0.706
13-May-17,0.535
13-May-19,1.18
13-May-20,0.133
13-Nov-13,1.531
13-Nov-14,1.434
13-Nov-15,0.873
13-Nov-17,0.538
13-Nov-18,0.905
13-Nov-19,1.562
13-Nov-20,0.121
13-Oct-14,1.361
13-Oct-15,0.781
13-Oct-16,0.575
13-Oct-17,0.469
13-Oct-20,0.034
13-Sep-14,2.813
13-Sep-16,1.347
13-Sep-17,0.52
13-Sep-18,0.953
13-Sep-19,1.362
