Date,Close
"Apr 01, 2014",-2.51%
"Apr 01, 2015",-0.12%
"Apr 01, 2016",6.29%
"Apr 01, 2019",0.42%
"Apr 01, 2020",1.89%
"Apr 02, 2013",0.54%
"Apr 02, 2014",1.44%
"Apr 02, 2016",0.00%
"Apr 02, 2019",0.49%
"Apr 02, 2020",-29.63%
"Apr 03, 2013",0.06%
"Apr 03, 2014",0.00%
"Apr 03, 2017",1.47%
"Apr 03, 2018",-1.23%
"Apr 03, 2019",0.35%
"Apr 03, 2020",0.00%
"Apr 04, 2013",0.00%
"Apr 04, 2014",2.76%
"Apr 04, 2016",0.20%
"Apr 04, 2017",-1.64%
"Apr 04, 2018",-1.18%
"Apr 04, 2019",0.05%
"Apr 05, 2013",0.06%
"Apr 05, 2016",-4.48%
"Apr 05, 2017",2.15%
"Apr 05, 2018",0.61%
"Apr 05, 2019",0.05%
"Apr 06, 2016",-6.40%
"Apr 06, 2017",0.00%
"Apr 06, 2018",1.68%
"Apr 06, 2020",13.60%
"Apr 07, 2014",-2.69%
"Apr 07, 2015",0.35%
"Apr 07, 2016",2.28%
"Apr 07, 2017",2.79%
"Apr 07, 2020",0.00%
"Apr 08, 2013",-0.24%
"Apr 08, 2014",0.07%
"Apr 08, 2015",0.46%
"Apr 08, 2016",11.36%
"Apr 08, 2019",0.06%
"Apr 08, 2020",3.86%
"Apr 09, 2013",-0.12%
"Apr 09, 2014",2.76%
"Apr 09, 2015",-2.40%
"Apr 09, 2016",0.00%
"Apr 09, 2018",7.74%
"Apr 09, 2019",0.05%
"Apr 10, 2013",-0.48%
"Apr 10, 2014",-2.76%
"Apr 10, 2015",4.68%
"Apr 10, 2017",0.16%
"Apr 10, 2018",1.53%
"Apr 10, 2019",-4.56%
"Apr 11, 2013",-0.84%
"Apr 11, 2014",5.53%
"Apr 11, 2016",7.00%
"Apr 11, 2017",-2.79%
"Apr 11, 2018",0.00%
"Apr 11, 2019",5.85%
"Apr 12, 2013",0.06%
"Apr 12, 2015",-0.56%
"Apr 12, 2016",6.17%
"Apr 12, 2017",5.97%
"Apr 12, 2018",0.00%
"Apr 12, 2019",0.06%
"Apr 13, 2015",3.82%
"Apr 13, 2016",1.41%
"Apr 13, 2017",0.00%
"Apr 13, 2018",0.00%
"Apr 14, 2014",-0.71%
"Apr 14, 2015",1.19%
"Apr 14, 2016",-5.38%
"Apr 14, 2020",-8.55%
"Apr 15, 2013",-0.60%
"Apr 15, 2014",1.35%
"Apr 15, 2015",-0.86%
"Apr 15, 2016",6.24%
"Apr 15, 2019",-0.27%
"Apr 15, 2020",-1.22%
"Apr 16, 2013",0.00%
"Apr 16, 2014",0.21%
"Apr 16, 2015",2.27%
"Apr 16, 2019",0.64%
"Apr 16, 2020",2.06%
"Apr 17, 2013",0.00%
"Apr 17, 2015",-1.69%
"Apr 17, 2016",-6.56%
"Apr 17, 2017",0.00%
"Apr 17, 2018",0.75%
"Apr 17, 2019",-3.25%
"Apr 17, 2020",0.81%
"Apr 18, 2013",0.06%
"Apr 18, 2016",-2.03%
"Apr 18, 2017",-1.52%
"Apr 18, 2018",0.00%
"Apr 19, 2013",-0.61%
"Apr 19, 2015",0.21%
"Apr 19, 2016",0.38%
"Apr 19, 2017",-4.08%
"Apr 19, 2018",0.00%
"Apr 20, 2015",-0.32%
"Apr 20, 2016",3.38%
"Apr 20, 2017",0.00%
"Apr 20, 2018",0.00%
"Apr 20, 2020",6.40%
"Apr 21, 2015",0.54%
"Apr 21, 2016",-2.55%
"Apr 21, 2017",4.68%
"Apr 21, 2020",4.89%
"Apr 22, 2013",-0.67%
"Apr 22, 2014",-3.65%
"Apr 22, 2015",-0.43%
"Apr 22, 2016",-1.87%
"Apr 22, 2017",0.00%
"Apr 22, 2020",-1.43%
"Apr 23, 2013",-1.41%
"Apr 23, 2014",0.15%
"Apr 23, 2015",-1.61%
"Apr 23, 2016",0.00%
"Apr 23, 2018",0.00%
"Apr 23, 2019",4.11%
"Apr 23, 2020",1.09%
"Apr 24, 2013",-1.62%
"Apr 24, 2014",0.00%
"Apr 24, 2015",-1.64%
"Apr 24, 2017",9.64%
"Apr 24, 2018",0.00%
"Apr 24, 2019",0.08%
"Apr 24, 2020",-2.88%
"Apr 25, 2013",-0.76%
"Apr 25, 2014",-0.44%
"Apr 25, 2016",7.03%
"Apr 25, 2017",-3.85%
"Apr 25, 2018",0.00%
"Apr 25, 2019",-0.45%
"Apr 26, 2013",-0.51%
"Apr 26, 2016",-0.53%
"Apr 26, 2017",-3.57%
"Apr 26, 2018",0.00%
"Apr 26, 2019",-0.43%
"Apr 27, 2015",1.33%
"Apr 27, 2016",1.61%
"Apr 27, 2017",4.35%
"Apr 27, 2018",0.00%
"Apr 27, 2020",-0.37%
"Apr 28, 2014",-0.07%
"Apr 28, 2015",-0.99%
"Apr 28, 2016",-0.18%
"Apr 28, 2017",-4.11%
"Apr 28, 2020",2.60%
"Apr 29, 2013",0.00%
"Apr 29, 2014",0.15%
"Apr 29, 2015",-1.00%
"Apr 29, 2016",-1.58%
"Apr 29, 2019",0.00%
"Apr 29, 2020",-7.97%
"Apr 30, 2013",-0.38%
"Apr 30, 2014",0.00%
"Apr 30, 2015",2.91%
"Apr 30, 2018",0.00%
"Apr 30, 2019",0.00%
"Apr 30, 2020",-1.18%
"Aug 01, 2013",-1.45%
"Aug 01, 2014",-1.52%
"Aug 01, 2016",-3.09%
"Aug 01, 2017",0.00%
"Aug 01, 2018",-10.45%
"Aug 01, 2019",0.14%
"Aug 02, 2013",0.93%
"Aug 02, 2014",0.00%
"Aug 02, 2016",0.24%
"Aug 02, 2017",0.00%
"Aug 02, 2018",-0.22%
"Aug 02, 2019",-0.43%
"Aug 03, 2015",1.67%
"Aug 03, 2016",-1.75%
"Aug 03, 2017",-1.04%
"Aug 03, 2018",12.14%
"Aug 03, 2020",23.19%
"Aug 04, 2014",-1.06%
"Aug 04, 2015",1.10%
"Aug 04, 2016",-0.87%
"Aug 04, 2017",0.00%
"Aug 04, 2020",-18.82%
"Aug 05, 2013",0.73%
"Aug 05, 2014",1.07%
"Aug 05, 2015",-1.09%
"Aug 05, 2016",-4.49%
"Aug 05, 2019",0.36%
