Date,Close
2013-01-01,
2013-01-02,Handlet
2013-01-03,Handlet
2013-01-04,Handlet
2013-01-07,Handlet
2013-01-08,Handlet
2013-01-09,Handlet
2013-01-10,Handlet
2013-01-11,Handlet
2013-01-14,Handlet
2013-01-15,Handlet
2013-01-16,Handlet
2013-01-17,Handlet
2013-01-18,Handlet
2013-01-21,Handlet
2013-01-22,Handlet
2013-01-23,Handlet
2013-01-24,Handlet
2013-01-25,Handlet
2013-01-28,Handlet
2013-01-29,Handlet
2013-01-30,Handlet
2013-01-31,Handlet
2013-02-01,Handlet
2013-02-04,Handlet
2013-02-05,Handlet
2013-02-06,Handlet
2013-02-07,Handlet
2013-02-08,Handlet
2013-02-11,Handlet
2013-02-12,Handlet
2013-02-13,Handlet
2013-02-14,Handlet
2013-02-15,Handlet
2013-02-18,Anslag
2013-02-19,Handlet
2013-02-20,Handlet
2013-02-21,Handlet
2013-02-22,Anslag
2013-02-25,Handlet
2013-02-26,Handlet
2013-02-27,Handlet
2013-02-28,Handlet
2013-03-01,Handlet
2013-03-04,Handlet
2013-03-05,Handlet
2013-03-06,Handlet
2013-03-07,Handlet
2013-03-08,Handlet
2013-03-11,Handlet
2013-03-12,Handlet
2013-03-13,Handlet
2013-03-14,Handlet
2013-03-15,Handlet
2013-03-18,Handlet
2013-03-19,Handlet
2013-03-20,Handlet
2013-03-21,Handlet
2013-03-22,Handlet
2013-03-25,Handlet
2013-03-26,Handlet
2013-03-27,Handlet
2013-03-28,
2013-03-29,
2013-04-01,
2013-04-02,Handlet
2013-04-03,Handlet
2013-04-04,Handlet
2013-04-05,Handlet
2013-04-08,Handlet
2013-04-09,Handlet
2013-04-10,Handlet
2013-04-11,Handlet
2013-04-12,Handlet
2013-04-15,Handlet
2013-04-16,Handlet
2013-04-17,Handlet
2013-04-18,Handlet
2013-04-19,Handlet
2013-04-22,Handlet
2013-04-23,Handlet
2013-04-24,Handlet
2013-04-25,Handlet
2013-04-26,Handlet
2013-04-29,Handlet
2013-04-30,Handlet
2013-05-01,
2013-05-02,Handlet
2013-05-03,Handlet
2013-05-06,Handlet
2013-05-07,Handlet
2013-05-08,Handlet
2013-05-09,
2013-05-10,Handlet
2013-05-13,Handlet
2013-05-14,Handlet
2013-05-15,Handlet
2013-05-16,Handlet
2013-05-17,
2013-05-20,
2013-05-21,Handlet
2013-05-22,Handlet
2013-05-23,Handlet
2013-05-24,Handlet
2013-05-27,Handlet
2013-05-28,Handlet
2013-05-29,Handlet
2013-05-30,Handlet
2013-05-31,Handlet
2013-06-03,Handlet
2013-06-04,Handlet
2013-06-05,Handlet
2013-06-06,Handlet
2013-06-07,Handlet
2013-06-10,Handlet
2013-06-11,Handlet
2013-06-12,Handlet
2013-06-13,Handlet
2013-06-14,Handlet
2013-06-17,Handlet
2013-06-18,Handlet
2013-06-19,Handlet
2013-06-20,Handlet
2013-06-21,Handlet
2013-06-24,Handlet
2013-06-25,Handlet
2013-06-26,Handlet
2013-06-27,Handlet
2013-06-28,Handlet
2013-07-01,Handlet
2013-07-02,Handlet
2013-07-03,Handlet
2013-07-04,Handlet
2013-07-05,Handlet
2013-07-08,Handlet
2013-07-09,Handlet
2013-07-10,Handlet
2013-07-11,Handlet
2013-07-12,Handlet
2013-07-15,Handlet
2013-07-16,Handlet
2013-07-17,Handlet
2013-07-18,Handlet
2013-07-19,Handlet
2013-07-22,Handlet
2013-07-23,Handlet
2013-07-24,Handlet
2013-07-25,Handlet
2013-07-26,Handlet
2013-07-29,Handlet
2013-07-30,Handlet
2013-07-31,Handlet
2013-08-01,Handlet
2013-08-02,Handlet
2013-08-05,Handlet
2013-08-06,Handlet
2013-08-07,Handlet
2013-08-08,Handlet
2013-08-09,Handlet
2013-08-12,Handlet
2013-08-13,Handlet
2013-08-14,Handlet
2013-08-15,Handlet
2013-08-16,Handlet
2013-08-19,Handlet
2013-08-20,Handlet
2013-08-21,Handlet
2013-08-22,Handlet
2013-08-23,Handlet
2013-08-26,Handlet
2013-08-27,Handlet
2013-08-28,Handlet
2013-08-29,Handlet
2013-08-30,Handlet
2013-09-02,Handlet
2013-09-03,Handlet
2013-09-04,Handlet
2013-09-05,Handlet
2013-09-06,Handlet
2013-09-09,Handlet
2013-09-10,Handlet
2013-09-11,Handlet
2013-09-12,Handlet
2013-09-13,Handlet
2013-09-16,Handlet
2013-09-17,Handlet
2013-09-18,Handlet
2013-09-19,Handlet
2013-09-20,Handlet
2013-09-23,Handlet
2013-09-24,Handlet
2013-09-25,Handlet
2013-09-26,Handlet
2013-09-27,Handlet
2013-09-30,Handlet
2013-10-01,Handlet
2013-10-02,Handlet
2013-10-03,Handlet
2013-10-04,Handlet
2013-10-07,Handlet
2013-10-08,Handlet
2013-10-09,Handlet
2013-10-10,Handlet
2013-10-11,Handlet
2013-10-14,Handlet
2013-10-15,Handlet
2013-10-16,Handlet
2013-10-17,Handlet
2013-10-18,Handlet
2013-10-21,Handlet
2013-10-22,Handlet
2013-10-23,Handlet
2013-10-24,Handlet
2013-10-25,Handlet
2013-10-28,Handlet
2013-10-29,Handlet
2013-10-30,Handlet
2013-10-31,Handlet
2013-11-01,Handlet
2013-11-04,Handlet
2013-11-05,Handlet
2013-11-06,Handlet
2013-11-07,Handlet
2013-11-08,Handlet
2013-11-11,Handlet
2013-11-12,Handlet
2013-11-13,Handlet
2013-11-14,Handlet
2013-11-15,Handlet
2013-11-18,Handlet
2013-11-19,Handlet
2013-11-20,Handlet
2013-11-21,Handlet
2013-11-22,Handlet
2013-11-25,Handlet
2013-11-26,Handlet
2013-11-27,Handlet
2013-11-28,Handlet
2013-11-29,Handlet
2013-12-02,Handlet
2013-12-03,Handlet
2013-12-04,Handlet
2013-12-05,Handlet
2013-12-06,Handlet
2013-12-09,Handlet
2013-12-10,Handlet
2013-12-11,Handlet
2013-12-12,Handlet
2013-12-13,Handlet
2013-12-16,Handlet
2013-12-17,Handlet
2013-12-18,Handlet
2013-12-19,Handlet
2013-12-20,Handlet
2013-12-23,Handlet
2013-12-24,
2013-12-25,
2013-12-26,
2013-12-27,Handlet
2013-12-30,Handlet
2013-12-31,Anslag
2014-01-01,
2014-01-02,Handlet
2014-01-03,Handlet
2014-01-06,Handlet
2014-01-07,Handlet
2014-01-08,Handlet
2014-01-09,Handlet
2014-01-10,Handlet
2014-01-13,Handlet
2014-01-14,Handlet
2014-01-15,Handlet
2014-01-16,Handlet
2014-01-17,Handlet
2014-01-20,Handlet
2014-01-21,Handlet
2014-01-22,Handlet
2014-01-23,Handlet
2014-01-24,Handlet
2014-01-27,Handlet
2014-01-28,Handlet
2014-01-29,Handlet
2014-01-30,Handlet
2014-01-31,Handlet
2014-02-03,Handlet
2014-02-04,Handlet
2014-02-05,Handlet
2014-02-06,Handlet
2014-02-07,Handlet
2014-02-10,Handlet
2014-02-11,Handlet
2014-02-12,Handlet
2014-02-13,Handlet
2014-02-14,Handlet
2014-02-17,Handlet
2014-02-18,Handlet
2014-02-19,Handlet
2014-02-20,Handlet
2014-02-21,Handlet
2014-02-24,Handlet
2014-02-25,Handlet
2014-02-26,Anslag
2014-02-27,Handlet
2014-02-28,Handlet
2014-03-03,Handlet
2014-03-04,Handlet
2014-03-05,Handlet
2014-03-06,Handlet
2014-03-07,Handlet
2014-03-10,Handlet
2014-03-11,Handlet
2014-03-12,Handlet
2014-03-13,Handlet
2014-03-14,Handlet
2014-03-17,Handlet
2014-03-18,Handlet
2014-03-19,Handlet
2014-03-20,Handlet
2014-03-21,Handlet
2014-03-24,Handlet
2014-03-25,Handlet
2014-03-26,Handlet
2014-03-27,Handlet
2014-03-28,Handlet
2014-03-31,Handlet
2014-04-01,Handlet
2014-04-02,Handlet
2014-04-03,Handlet
2014-04-04,Handlet
2014-04-07,Handlet
2014-04-08,Handlet
2014-04-09,Handlet
2014-04-10,Handlet
2014-04-11,Handlet
2014-04-14,Handlet
2014-04-15,Handlet
2014-04-16,Handlet
2014-04-17,
2014-04-18,
2014-04-21,
2014-04-22,Handlet
2014-04-23,Handlet
2014-04-24,Handlet
