Date,Close
2013-01-02,0.283%
2013-01-03,0.287%
2013-01-04,0.307%
2013-01-07,0.292%
2013-01-08,0.284%
2013-01-09,0.280%
2013-01-10,0.272%
2013-01-11,0.277%
2013-01-14,0.269%
2013-01-15,0.273%
2013-01-16,0.274%
2013-01-17,0.294%
2013-01-18,0.287%
2013-01-22,0.279%
2013-01-23,0.267%
2013-01-24,0.271%
2013-01-25,0.300%
2013-01-28,0.309%
2013-01-29,0.305%
2013-01-30,0.297%
2013-01-31,0.289%
2013-02-01,0.289%
2013-02-04,0.285%
2013-02-05,0.285%
2013-02-06,0.273%
2013-02-07,0.273%
2013-02-08,0.278%
2013-02-11,0.286%
2013-02-12,0.286%
2013-02-13,0.298%
2013-02-14,0.294%
2013-02-15,0.294%
2013-02-19,0.294%
2013-02-20,0.298%
2013-02-21,0.278%
2013-02-22,0.278%
2013-02-25,0.278%
2013-02-26,0.270%
2013-02-27,0.266%
2013-02-28,0.273%
2013-03-01,0.257%
2013-03-04,0.262%
2013-03-05,0.261%
2013-03-06,0.269%
2013-03-07,0.277%
2013-03-08,0.313%
2013-03-11,0.277%
2013-03-12,0.281%
2013-03-13,0.293%
2013-03-14,0.289%
2013-03-15,0.282%
2013-03-18,0.269%
2013-03-19,0.261%
2013-03-20,0.273%
2013-03-21,0.269%
2013-03-22,0.269%
2013-03-25,0.273%
2013-03-26,0.273%
2013-03-27,0.273%
2013-03-28,0.262%
2013-04-01,0.270%
2013-04-02,0.262%
2013-04-03,0.262%
2013-04-04,0.254%
2013-04-05,0.250%
2013-04-08,0.250%
2013-04-09,0.254%
2013-04-10,0.258%
2013-04-11,0.254%
2013-04-12,0.250%
2013-04-15,0.246%
2013-04-16,0.242%
2013-04-17,0.242%
2013-04-18,0.246%
2013-04-19,0.246%
2013-04-22,0.254%
2013-04-23,0.242%
2013-04-24,0.250%
2013-04-25,0.254%
2013-04-26,0.250%
2013-04-29,0.231%
2013-04-30,0.243%
2013-05-01,0.231%
2013-05-02,0.227%
2013-05-03,0.236%
2013-05-06,0.240%
2013-05-07,0.244%
2013-05-08,0.248%
2013-05-09,0.244%
2013-05-10,0.261%
2013-05-13,0.265%
2013-05-14,0.265%
2013-05-15,0.273%
2013-05-16,0.257%
2013-05-17,0.270%
2013-05-20,0.262%
2013-05-21,0.258%
2013-05-22,0.267%
2013-05-23,0.267%
2013-05-24,0.272%
2013-05-28,0.309%
2013-05-29,0.332%
2013-05-30,0.321%
2013-05-31,0.333%
2013-06-03,0.329%
2013-06-04,0.321%
2013-06-05,0.325%
2013-06-06,0.317%
2013-06-07,0.353%
2013-06-10,0.338%
2013-06-11,0.358%
2013-06-12,0.358%
2013-06-13,0.346%
2013-06-14,0.302%
2013-06-17,0.294%
2013-06-18,0.302%
2013-06-19,0.347%
2013-06-20,0.379%
2013-06-21,0.392%
2013-06-24,0.466%
2013-06-25,0.434%
2013-06-26,0.445%
2013-06-27,0.399%
2013-06-28,0.383%
2013-07-01,0.387%
2013-07-02,0.379%
2013-07-03,0.367%
2013-07-05,0.415%
2013-07-08,0.419%
2013-07-09,0.391%
2013-07-10,0.391%
2013-07-11,0.355%
2013-07-12,0.355%
2013-07-15,0.363%
2013-07-16,0.343%
2013-07-17,0.343%
2013-07-18,0.323%
2013-07-19,0.322%
2013-07-22,0.314%
2013-07-23,0.328%
2013-07-24,0.367%
