Date,Close
2013-01-02,0.259%
2013-01-03,0.271%
2013-01-04,0.271%
2013-01-07,0.275%
2013-01-08,0.272%
2013-01-09,0.264%
2013-01-10,0.244%
2013-01-11,0.257%
2013-01-14,0.257%
2013-01-15,0.253%
2013-01-16,0.262%
2013-01-17,0.250%
2013-01-18,0.266%
2013-01-22,0.266%
2013-01-23,0.255%
2013-01-24,0.239%
2013-01-25,0.251%
2013-01-28,0.288%
2013-01-29,0.293%
2013-01-30,0.277%
2013-01-31,0.273%
2013-02-01,0.273%
2013-02-04,0.285%
2013-02-05,0.250%
2013-02-06,0.254%
2013-02-07,0.246%
2013-02-08,0.254%
2013-02-11,0.258%
2013-02-12,0.258%
2013-02-13,0.262%
2013-02-14,0.282%
2013-02-15,0.266%
2013-02-19,0.266%
2013-02-20,0.278%
2013-02-21,0.258%
2013-02-22,0.262%
2013-02-25,0.258%
2013-02-26,0.246%
2013-02-27,0.254%
2013-02-28,0.249%
2013-03-01,0.249%
2013-03-04,0.245%
2013-03-05,0.241%
2013-03-06,0.249%
2013-03-07,0.257%
2013-03-08,0.261%
2013-03-11,0.261%
2013-03-12,0.261%
2013-03-13,0.261%
2013-03-14,0.269%
2013-03-15,0.273%
2013-03-18,0.265%
2013-03-19,0.253%
2013-03-20,0.245%
2013-03-21,0.253%
2013-03-22,0.249%
2013-03-25,0.261%
2013-03-26,0.257%
2013-03-27,0.254%
2013-03-28,0.246%
2013-04-01,0.246%
2013-04-02,0.242%
2013-04-03,0.242%
2013-04-04,0.222%
2013-04-05,0.230%
2013-04-08,0.230%
2013-04-09,0.242%
2013-04-10,0.238%
2013-04-11,0.242%
2013-04-12,0.230%
2013-04-15,0.230%
2013-04-16,0.222%
2013-04-17,0.230%
2013-04-18,0.230%
2013-04-19,0.230%
2013-04-22,0.234%
2013-04-23,0.226%
2013-04-24,0.234%
2013-04-25,0.230%
2013-04-26,0.242%
2013-04-29,0.223%
2013-04-30,0.215%
2013-05-01,0.223%
2013-05-02,0.208%
2013-05-03,0.200%
2013-05-06,0.224%
2013-05-07,0.224%
2013-05-08,0.224%
2013-05-09,0.236%
2013-05-10,0.232%
2013-05-13,0.253%
2013-05-14,0.241%
2013-05-15,0.257%
