Date,Close
2013-01-02,0.771%
2013-01-03,0.827%
2013-01-04,0.814%
2013-01-07,0.814%
2013-01-08,0.784%
2013-01-09,0.774%
2013-01-10,0.800%
2013-01-11,0.781%
2013-01-14,0.769%
2013-01-15,0.755%
2013-01-16,0.742%
2013-01-17,0.797%
2013-01-18,0.765%
2013-01-22,0.763%
2013-01-23,0.748%
2013-01-24,0.769%
2013-01-25,0.854%
2013-01-28,0.865%
2013-01-29,0.899%
2013-01-30,0.878%
2013-01-31,0.881%
2013-02-01,0.892%
2013-02-04,0.838%
2013-02-05,0.868%
2013-02-06,0.838%
2013-02-07,0.831%
2013-02-08,0.834%
2013-02-11,0.854%
2013-02-12,0.865%
2013-02-13,0.910%
2013-02-14,0.858%
2013-02-15,0.865%
2013-02-19,0.892%
2013-02-20,0.865%
2013-02-21,0.842%
2013-02-22,0.832%
2013-02-25,0.761%
2013-02-26,0.784%
2013-02-27,0.788%
2013-02-28,0.765%
2013-03-01,0.744%
2013-03-04,0.762%
2013-03-05,0.781%
2013-03-06,0.806%
2013-03-07,0.860%
2013-03-08,0.892%
2013-03-11,0.899%
2013-03-12,0.868%
2013-03-13,0.881%
2013-03-14,0.878%
2013-03-15,0.836%
2013-03-18,0.810%
2013-03-19,0.781%
2013-03-20,0.815%
2013-03-21,0.789%
2013-03-22,0.801%
2013-03-25,0.791%
2013-03-26,0.776%
2013-03-27,0.758%
2013-03-28,0.768%
2013-04-01,0.753%
2013-04-02,0.771%
2013-04-03,0.726%
2013-04-04,0.696%
2013-04-05,0.691%
2013-04-08,0.707%
2013-04-09,0.700%
2013-04-10,0.736%
2013-04-11,0.728%
2013-04-12,0.689%
2013-04-15,0.679%
2013-04-16,0.703%
2013-04-17,0.697%
2013-04-18,0.695%
2013-04-19,0.708%
2013-04-22,0.694%
2013-04-23,0.700%
2013-04-24,0.714%
2013-04-25,0.716%
2013-04-26,0.686%
2013-04-29,0.678%
2013-04-30,0.681%
2013-05-01,0.657%
2013-05-02,0.652%
2013-05-03,0.731%
2013-05-06,0.740%
2013-05-07,0.748%
2013-05-08,0.747%
2013-05-09,0.755%
2013-05-10,0.823%
2013-05-13,0.825%
2013-05-14,0.864%
2013-05-15,0.830%
2013-05-16,0.796%
2013-05-17,0.837%
2013-05-20,0.843%
2013-05-21,0.824%
2013-05-22,0.904%
2013-05-23,0.898%
2013-05-24,0.893%
2013-05-28,1.018%
2013-05-29,1.013%
2013-05-30,1.015%
2013-05-31,1.024%
2013-06-03,1.034%
2013-06-04,1.063%
2013-06-05,1.026%
2013-06-06,1.013%
2013-06-07,1.102%
2013-06-10,1.126%
2013-06-11,1.112%
2013-06-12,1.148%
2013-06-13,1.062%
2013-06-14,1.034%
2013-06-17,1.062%
2013-06-18,1.062%
2013-06-19,1.253%
2013-06-20,1.310%
2013-06-21,1.431%
2013-06-24,1.450%
2013-06-25,1.492%
2013-06-26,1.425%
2013-06-27,1.383%
