Date,Close
2013-01-02,0.833%
2013-01-03,0.829%
2013-01-04,0.861%
2013-01-07,0.824%
2013-01-08,0.819%
2013-01-09,0.800%
2013-01-10,0.803%
2013-01-11,0.821%
2013-01-14,0.782%
2013-01-15,0.769%
2013-01-16,0.752%
2013-01-17,0.802%
2013-01-18,0.811%
2013-01-22,0.790%
2013-01-23,0.763%
2013-01-24,0.787%
2013-01-25,0.859%
2013-01-28,0.903%
2013-01-29,0.899%
2013-01-30,0.920%
2013-01-31,0.897%
2013-02-01,0.907%
2013-02-04,0.921%
2013-02-05,0.884%
2013-02-06,0.873%
2013-02-07,0.860%
2013-02-08,0.862%
2013-02-11,0.857%
2013-02-12,0.878%
2013-02-13,0.913%
2013-02-14,0.915%
2013-02-15,0.894%
2013-02-19,0.892%
2013-02-20,0.902%
2013-02-21,0.873%
2013-02-22,0.853%
2013-02-25,0.853%
2013-02-26,0.784%
2013-02-27,0.790%
2013-02-28,0.789%
2013-03-01,0.770%
2013-03-04,0.766%
2013-03-05,0.787%
2013-03-06,0.813%
2013-03-07,0.861%
2013-03-08,0.924%
2013-03-11,0.907%
2013-03-12,0.908%
2013-03-13,0.900%
2013-03-14,0.913%
2013-03-15,0.890%
2013-03-18,0.836%
2013-03-19,0.821%
2013-03-20,0.817%
2013-03-21,0.815%
2013-03-22,0.812%
2013-03-25,0.831%
2013-03-26,0.817%
2013-03-27,0.783%
2013-03-28,0.780%
2013-04-01,0.792%
2013-04-02,0.779%
2013-04-03,0.787%
2013-04-04,0.740%
2013-04-05,0.716%
2013-04-08,0.710%
2013-04-09,0.716%
2013-04-10,0.742%
2013-04-11,0.750%
2013-04-12,0.732%
2013-04-15,0.705%
2013-04-16,0.716%
2013-04-17,0.711%
2013-04-18,0.708%
2013-04-19,0.716%
2013-04-22,0.726%
2013-04-23,0.703%
2013-04-24,0.714%
2013-04-25,0.732%
2013-04-26,0.716%
2013-04-29,0.689%
2013-04-30,0.684%
2013-05-01,0.682%
2013-05-02,0.673%
2013-05-03,0.742%
2013-05-06,0.755%
2013-05-07,0.761%
2013-05-08,0.761%
2013-05-09,0.757%
2013-05-10,0.834%
2013-05-13,0.846%
2013-05-14,0.865%
2013-05-15,0.867%
2013-05-16,0.844%
2013-05-17,0.843%
2013-05-20,0.851%
