Date,Close
2013-01-02,0.729%
2013-01-03,0.755%
2013-01-04,0.809%
2013-01-07,0.795%
2013-01-08,0.781%
2013-01-09,0.760%
2013-01-10,0.769%
2013-01-11,0.771%
2013-01-14,0.753%
2013-01-15,0.737%
2013-01-16,0.729%
2013-01-17,0.728%
2013-01-18,0.760%
2013-01-22,0.748%
2013-01-23,0.739%
2013-01-24,0.727%
2013-01-25,0.763%
2013-01-28,0.841%
2013-01-29,0.753%
2013-01-30,0.872%
2013-01-31,0.855%
2013-02-01,0.819%
2013-02-04,0.826%
2013-02-05,0.833%
2013-02-06,0.834%
2013-02-07,0.814%
2013-02-08,0.810%
2013-02-11,0.817%
2013-02-12,0.834%
2013-02-13,0.844%
2013-02-14,0.854%
2013-02-15,0.842%
2013-02-19,0.854%
2013-02-20,0.860%
2013-02-21,0.823%
2013-02-22,0.824%
2013-02-25,0.760%
2013-02-26,0.740%
2013-02-27,0.758%
2013-02-28,0.760%
2013-03-01,0.739%
2013-03-04,0.731%
2013-03-05,0.750%
2013-03-06,0.771%
2013-03-07,0.790%
2013-03-08,0.847%
2013-03-11,0.880%
2013-03-12,0.866%
2013-03-13,0.854%
2013-03-14,0.871%
2013-03-15,0.828%
2013-03-18,0.762%
2013-03-19,0.766%
2013-03-20,0.775%
2013-03-21,0.784%
2013-03-22,0.775%
2013-03-25,0.778%
2013-03-26,0.775%
2013-03-27,0.723%
2013-03-28,0.737%
2013-04-01,0.750%
2013-04-02,0.747%
2013-04-03,0.720%
2013-04-04,0.685%
2013-04-05,0.659%
2013-04-08,0.676%
2013-04-09,0.686%
2013-04-10,0.692%
2013-04-11,0.713%
2013-04-12,0.686%
2013-04-15,0.675%
2013-04-16,0.675%
2013-04-17,0.675%
2013-04-18,0.686%
2013-04-19,0.694%
2013-04-22,0.684%
2013-04-23,0.658%
2013-04-24,0.682%
2013-04-25,0.705%
2013-04-26,0.679%
2013-04-29,0.670%
2013-04-30,0.652%
2013-05-01,0.643%
2013-05-02,0.643%
2013-05-03,0.644%
2013-05-06,0.719%
2013-05-07,0.727%
2013-05-08,0.736%
2013-05-09,0.726%
2013-05-10,0.728%
2013-05-13,0.804%
2013-05-14,0.807%
2013-05-15,0.818%
2013-05-16,0.772%
2013-05-17,0.769%
2013-05-20,0.812%
2013-05-21,0.816%
2013-05-22,0.782%
2013-05-23,0.849%
2013-05-24,0.875%
2013-05-28,0.901%
2013-05-29,0.828%
2013-05-30,0.998%
2013-05-31,0.970%
