Date,Close
2013-01-02,112.9
2013-01-03,112.39
2013-01-04,111.74
2013-01-06,
2013-01-07,111.67
2013-01-08,112.44
2013-01-09,111.95
2013-01-10,112.99
2013-01-11,110.74
2013-01-13,
2013-01-14,112.02
2013-01-15,111.91
2013-01-16,110.61
2013-01-17,110.61
2013-01-18,110.61
2013-01-20,
2013-01-22,112.65
2013-01-23,113.15
2013-01-24,113.62
2013-01-25,113.82
2013-01-27,
2013-01-28,113.8
2013-01-29,114.47
2013-01-30,115.22
2013-01-31,115.73
2013-02-01,117.07
2013-02-03,
2013-02-04,116.31
2013-02-05,117.17
2013-02-06,117.03
2013-02-07,117.79
2013-02-08,119.15
2013-02-10,
2013-02-11,118.53
2013-02-12,118.82
2013-02-13,118.92
2013-02-14,118.58
2013-02-15,118.58
2013-02-17,
2013-02-19,117.57
2013-02-20,117.5
2013-02-21,114.37
2013-02-22,114.56
2013-02-24,
2013-02-25,115.82
2013-02-26,114.29
2013-02-27,113.13
2013-02-28,112.56
2013-03-01,110.74
2013-03-03,
2013-03-04,110.88
2013-03-05,111.81
2013-03-06,111.67
2013-03-07,111.4
2013-03-08,110.94
2013-03-10,
2013-03-10,110.48
2013-03-10,
2013-03-10,110.48
2013-03-11,111.18
2013-03-12,109.67
2013-03-13,109.94
2013-03-14,109.38
2013-03-16,
2013-03-17,
2013-03-18,109.28
2013-03-19,108.89
2013-03-20,108.56
2013-03-21,107.95
2013-03-23,
2013-03-24,109.03
2013-03-25,109.53
2013-03-26,109.94
2013-03-27,110.03
2013-03-28,
2013-03-30,
2013-03-31,111.3
2013-04-01,111.78
2013-04-02,110.12
2013-04-03,108.03
2013-04-04,105.89
2013-04-06,
2013-04-07,105.55
2013-04-08,106.5
2013-04-09,106.12
2013-04-10,105.92
2013-04-11,103.24
2013-04-13,
2013-04-14,101.42
2013-04-15,100.36
2013-04-16,100.36
2013-04-17,99.77
2013-04-18,100.11
2013-04-20,
2013-04-21,101.01
2013-04-22,100.57
2013-04-23,101.98
2013-04-24,103.48
2013-04-25,103.46
2013-04-27,
2013-04-28,103.93
2013-04-29,103.89
2013-04-30,101.17
2013-05-01,102.96
2013-05-02,104.9
2013-05-04,
2013-05-05,105.53
2013-05-06,105.93
2013-05-07,104.79
2013-05-08,104.52
2013-05-09,104.05
2013-05-11,
2013-05-12,103.6
2013-05-13,102.91
2013-05-14,103.79
2013-05-15,104.04
2013-05-16,103.72
2013-05-18,
2013-05-19,103.72
2013-05-20,104.6
2013-05-21,103.78
2013-05-22,102.66
2013-05-23,102.77
2013-05-25,
2013-05-27,104.68
2013-05-28,104.38
2013-05-29,102.85
2013-05-30,101.8
2013-06-01,
2013-06-02,102.38
2013-06-03,103.55
2013-06-04,104.06
2013-06-05,103.94
2013-06-06,105
2013-06-08,
2013-06-09,104.39
2013-06-10,103
2013-06-11,104.05
2013-06-12,104.25
2013-06-13,104.29
2013-06-15,
2013-06-16,
2013-06-17,106.22
2013-06-18,106.53
2013-06-19,104.44
2013-06-20,102.7
2013-06-22,
2013-06-23,101.62
2013-06-24,101.91
