Date,Close
2013-01-02,111.76
2013-01-03,111.7
2013-01-04,110.72
2013-01-06,
2013-01-07,110.58
2013-01-08,111.48
2013-01-09,111.13
2013-01-10,111.66
2013-01-11,109.7
2013-01-13,
2013-01-14,110.41
2013-01-15,110.3
2013-01-16,110.44
2013-01-17,110.61
2013-01-18,110.61
2013-01-20,
2013-01-22,111.57
2013-01-23,112.21
2013-01-24,112.43
2013-01-25,112.84
2013-01-27,
2013-01-28,112.64
2013-01-29,113.19
2013-01-30,114.26
2013-01-31,114.31
2013-02-01,115.78
2013-02-03,
2013-02-04,115.34
2013-02-05,116.44
2013-02-06,115.73
2013-02-07,116.75
2013-02-08,118.1
2013-02-10,
2013-02-11,117.55
2013-02-12,117.96
2013-02-13,118.36
2013-02-14,118.58
2013-02-15,118.58
2013-02-17,
2013-02-19,116.56
2013-02-20,115.03
2013-02-21,113.33
2013-02-22,113.64
2013-02-24,
2013-02-25,113.47
2013-02-26,112.41
2013-02-27,111.66
2013-02-28,110.87
2013-03-01,109.84
2013-03-03,
2013-03-04,109.58
2013-03-05,110.42
2013-03-06,110.46
2013-03-07,110.42
2013-03-08,109.15
2013-03-10,
2013-03-10,109.54
2013-03-10,
2013-03-10,109.54
2013-03-11,109.32
2013-03-12,108.32
2013-03-13,108.97
2013-03-14,109.38
2013-03-16,
2013-03-17,
2013-03-18,107.28
2013-03-19,107.75
2013-03-20,107.1
2013-03-21,107.01
2013-03-23,
2013-03-24,107.29
2013-03-25,107.96
2013-03-26,109.05
2013-03-27,109.02
2013-03-28,
2013-03-30,
2013-03-31,109.64
2013-04-01,110.02
2013-04-02,106.83
2013-04-03,105.31
2013-04-04,103.63
2013-04-06,
2013-04-07,103.44
2013-04-08,104.29
2013-04-09,105.17
2013-04-10,103.73
2013-04-11,101.3
2013-04-13,
2013-04-14,100.35
2013-04-15,100.36
2013-04-16,100.36
2013-04-17,97.55
2013-04-18,99.05
2013-04-20,
2013-04-21,99.24
2013-04-22,99.03
2013-04-23,100.49
2013-04-24,101.65
2013-04-25,102.3
2013-04-27,
2013-04-28,102.96
2013-04-29,101.5
2013-04-30,98.76
2013-05-01,100.22
2013-05-02,103.37
2013-05-04,
2013-05-05,103.91
2013-05-06,104.03
2013-05-07,103.53
2013-05-08,103.46
2013-05-09,101.57
2013-05-11,
2013-05-12,102.27
2013-05-13,101.97
2013-05-14,101.25
2013-05-15,103.56
2013-05-16,103.72
2013-05-18,
2013-05-19,103.72
2013-05-20,103.51
2013-05-21,102.24
2013-05-22,100.66
2013-05-23,101.67
2013-05-25,
2013-05-27,103.99
2013-05-28,102.19
2013-05-29,101.1
2013-05-30,100.05
2013-06-01,
2013-06-02,101.02
2013-06-03,101.5
2013-06-04,102.85
2013-06-05,102.9
2013-06-06,102.9
2013-06-08,
2013-06-09,103.72
2013-06-10,101.82
2013-06-11,102.91
2013-06-12,103.09
2013-06-13,104.29
2013-06-15,
2013-06-16,
2013-06-17,105.26
2013-06-18,105.46
2013-06-19,101.75
2013-06-20,100.08
2013-06-22,
2013-06-23,99.72
2013-06-24,100.94
2013-06-25,100.27
2013-06-26,101.83
2013-06-27,101.88
2013-06-29,
2013-06-30,102.52
2013-07-01,102.98
2013-07-03,
2013-07-04,106.18
2013-07-06,
2013-07-07,106.8
2013-07-08,106.85
2013-07-09,107.87
2013-07-10,107.31
2013-07-11,107.77
2013-07-13,
2013-07-14,108.49
2013-07-15,109.15
2013-07-16,109.36
2013-07-17,
2013-07-18,107.04
2013-07-20,
2013-07-21,107.58
2013-07-22,107.79
2013-07-23,106.27
2013-07-24,106.67
2013-07-25,106.53
2013-07-27,
2013-07-28,106.84
2013-07-29,106.56
2013-07-30,105.74
2013-07-31,108.53
2013-08-01,108.39
2013-08-03,
2013-08-04,107.56
2013-08-05,107.47
2013-08-06,107.09
2013-08-07,105.85
2013-08-08,106.62
2013-08-10,
2013-08-11,107.55
2013-08-12,109.02
2013-08-13,109.05
2013-08-14,110.56
2013-08-15,111.17
2013-08-17,
2013-08-18,
2013-08-19,108.8
2013-08-20,109.56
2013-08-21,109.41
