Date,Close
2013-01-02,111.94
2013-01-03,111.92
2013-01-04,110.72
2013-01-06,
2013-01-07,110.8
2013-01-08,112.39
2013-01-09,111.89
2013-01-10,112.97
2013-01-11,110.69
2013-01-13,
2013-01-14,111.15
2013-01-15,111.74
2013-01-16,110.52
2013-01-17,110.61
2013-01-18,110.61
2013-01-20,
2013-01-22,112.2
2013-01-23,112.39
2013-01-24,112.43
2013-01-25,113.63
2013-01-27,
2013-01-28,112.97
2013-01-29,113.3
2013-01-30,114.93
2013-01-31,114.79
2013-02-01,115.87
2013-02-03,
2013-02-04,115.96
2013-02-05,116.58
2013-02-06,116.18
2013-02-07,117.69
2013-02-08,118.22
2013-02-10,
2013-02-11,118.03
2013-02-12,118.82
2013-02-13,118.72
2013-02-14,118.58
2013-02-15,118.58
2013-02-17,
2013-02-19,117.31
2013-02-20,117.49
2013-02-21,114.37
2013-02-22,114.19
2013-02-24,
2013-02-25,115.51
2013-02-26,113.15
2013-02-27,113.08
2013-02-28,112.08
2013-03-01,110.56
2013-03-03,
2013-03-04,110.4
2013-03-05,110.56
2013-03-06,111.42
2013-03-07,110.79
2013-03-08,109.77
2013-03-10,
2013-03-10,110.17
2013-03-10,
2013-03-10,110.17
2013-03-11,109.84
2013-03-12,109.66
2013-03-13,108.97
2013-03-14,109.38
2013-03-16,
2013-03-17,
2013-03-18,109.01
2013-03-19,108.17
2013-03-20,108.37
2013-03-21,107.55
2013-03-23,
2013-03-24,108.38
2013-03-25,108.34
2013-03-26,109.55
2013-03-27,109.88
2013-03-28,
2013-03-30,
2013-03-31,109.68
2013-04-01,111.41
2013-04-02,109.94
2013-04-03,107.18
2013-04-04,105.69
2013-04-06,
2013-04-07,105.37
2013-04-08,105.34
2013-04-09,105.81
2013-04-10,105.73
2013-04-11,102.95
2013-04-13,
2013-04-14,101.42
2013-04-15,100.36
2013-04-16,100.36
2013-04-17,98.81
2013-04-18,100.11
2013-04-20,
2013-04-21,100.66
2013-04-22,99.53
2013-04-23,100.93
2013-04-24,102
2013-04-25,102.7
2013-04-27,
2013-04-28,103.18
2013-04-29,103.68
2013-04-30,100.8
2013-05-01,100.84
2013-05-02,103.44
2013-05-04,
2013-05-05,104.68
2013-05-06,105.08
2013-05-07,103.74
2013-05-08,103.81
2013-05-09,103.88
2013-05-11,
2013-05-12,102.72
2013-05-13,102.08
2013-05-14,102.23
2013-05-15,103.84
2013-05-16,103.72
2013-05-18,
2013-05-19,103.72
2013-05-20,104.35
2013-05-21,103.27
2013-05-22,102.02
2013-05-23,102.25
2013-05-25,
2013-05-27,104.07
2013-05-28,103.9
2013-05-29,101.85
2013-05-30,101.79
2013-06-01,
2013-06-02,101.06
2013-06-03,101.69
2013-06-04,103.36
2013-06-05,103
2013-06-06,104.13
2013-06-08,
2013-06-09,104.17
2013-06-10,102.77
2013-06-11,103.3
2013-06-12,103.09
2013-06-13,104.29
2013-06-15,
2013-06-16,
2013-06-17,105.28
2013-06-18,106.34
2013-06-19,104.22
2013-06-20,102.63
2013-06-22,
2013-06-23,100.79
2013-06-24,101.85
2013-06-25,101.22
2013-06-26,102.07
2013-06-27,102.91
2013-06-29,
2013-06-30,102.72
2013-07-01,102.98
2013-07-03,
2013-07-04,106.35
2013-07-06,
2013-07-07,107.09
2013-07-08,107.18
2013-07-09,108.14
2013-07-10,108.19
2013-07-11,107.8
2013-07-13,
2013-07-14,108.49
2013-07-15,109.15
2013-07-16,109.36
2013-07-17,
2013-07-18,108.96
2013-07-20,
2013-07-21,108.37
2013-07-22,108.02
2013-07-23,107.8
2013-07-24,106.67
2013-07-25,107.1
2013-07-27,
2013-07-28,107.6
2013-07-29,107.24
2013-07-30,106.09
2013-07-31,109.2
2013-08-01,109.34
2013-08-03,
2013-08-04,108.14
2013-08-05,108.76
2013-08-06,107.69
2013-08-07,106.95
2013-08-08,107.37
2013-08-10,
2013-08-11,108.02
2013-08-12,109.59
2013-08-13,109.05
2013-08-14,110.98
2013-08-15,111.17
2013-08-17,
2013-08-18,
2013-08-19,109.41
2013-08-20,109.68
2013-08-21,109.94
2013-08-22,110.13
2013-08-24,
2013-08-25,110.9
2013-08-26,111.95
2013-08-27,115.27
2013-08-28,116.05
2013-08-29,115.11
2013-08-31,
2013-09-02,115.07
2013-09-03,115.17
2013-09-04,115.3
2013-09-05,115.35
2013-09-07,
2013-09-08,115.2
2013-09-09,113.39
2013-09-10,111.83
2013-09-11,112.45
2013-09-12,112.27
2013-09-14,
2013-09-15,
2013-09-16,
2013-09-17,108.23
2013-09-18,110.95
2013-09-19,109.21
2013-09-21,
2013-09-22,109.23
2013-09-23,107.88
2013-09-24,109.83
2013-09-25,108.86
2013-09-26,108.66
2013-09-28,
2013-09-29,107.7
2013-09-30,108.35
2013-10-01,107.94
2013-10-02,109.43
2013-10-03,109.29
2013-10-05,
2013-10-06,108.31
2013-10-07,110.59
2013-10-08,110.01
2013-10-09,109.95
2013-10-10,111.44
2013-10-12,
2013-10-13,110.42
2013-10-14,110.12
2013-10-15,109.81
2013-10-16,110.97
2013-10-17,
2013-10-19,
2013-10-20,109.67
2013-10-21,110.13
2013-10-22,110.13
2013-10-23,107.7
2013-10-24,107.03
2013-10-26,
2013-10-27,107.17
2013-10-28,109.27
2013-10-29,108.66
2013-10-30,109.8
2013-10-31,109.18
2013-11-02,
2013-11-04,105.97
2013-11-05,106.41
2013-11-06,105.88
2013-11-07,104.94
2013-11-08,103.39
2013-11-10,
2013-11-11,105.65
2013-11-12,106.19
2013-11-13,106.02
2013-11-14,107.14
2013-11-15,108.55
2013-11-17,
2013-11-18,
2013-11-19,108.14
2013-11-20,107.32
2013-11-21,107.85
2013-11-22,109.99
2013-11-24,
2013-11-25,109.9
2013-11-26,110.81
2013-11-27,110.92
2013-11-29,
2013-12-01,
2013-12-02,109.75
2013-12-03,111.45
2013-12-04,112.94
2013-12-05,111.66
2013-12-06,111.27
2013-12-08,
2013-12-09,111.67
2013-12-10,109.47
2013-12-11,109.43
2013-12-12,109.76
2013-12-13,108.67
2013-12-15,
2013-12-16,109.35
2013-12-17,110.41
2013-12-18,
2013-12-19,109.13
2013-12-20,109.96
2013-12-22,
2013-12-23,112
2013-12-24,
2013-12-26,112.02
2013-12-27,111.92
2013-12-29,
2013-12-30,112.36
2013-12-31,111.21
2014-01-02,110.8
2014-01-03,107.92
2014-01-05,
2014-01-06,107.04
2014-01-07,107.18
2014-01-08,107.45
2014-01-09,107.51
2014-01-10,106.7
2014-01-12,
2014-01-13,107.64
2014-01-14,106.63
2014-01-15,106.26
2014-01-16,106.92
2014-01-17,107.06
2014-01-19,
2014-01-21,
2014-01-22,106.99
2014-01-23,108.05
2014-01-24,107.68
2014-01-26,
2014-01-27,107.71
2014-01-28,106.92
2014-01-29,107.39
2014-01-30,107.97
2014-01-31,107.88
2014-02-02,
2014-02-03,106.07
2014-02-04,106.04
2014-02-05,105.98
2014-02-06,106.3
2014-02-07,107.32
2014-02-09,
2014-02-10,109.65
2014-02-11,108.68
2014-02-12,108.83
2014-02-13,108.23
2014-02-14,108.73
2014-02-16,
2014-02-18,
2014-02-19,110.31
2014-02-20,110.07
2014-02-21,110.24
2014-02-23,
2014-02-24,109.9
2014-02-25,110.5
2014-02-26,109.29
2014-02-27,109.3
2014-02-28,108.84
2014-03-02,
2014-03-03,110.37
2014-03-04,111.42
2014-03-05,109.16
2014-03-06,107.6
2014-03-07,108.3
2014-03-09,
2014-03-09,108.57
2014-03-09,
2014-03-09,108.57
2014-03-10,107.87
2014-03-11,108.32
2014-03-12,108.23
2014-03-13,107.6
2014-03-15,
2014-03-16,108.54
2014-03-17,106.39
2014-03-18,106.59
2014-03-19,105.8
2014-03-20,106.24
2014-03-22,
2014-03-23,106.76
2014-03-24,106.7
2014-03-25,107.17
2014-03-26,107
2014-03-27,107.7
2014-03-29,
2014-03-30,107.86
2014-03-31,107.69
2014-04-01,105.43
2014-04-02,104.65
2014-04-03,106.19
2014-04-05,
2014-04-06,106.5
2014-04-07,106.02
2014-04-08,107.67
2014-04-09,107.69
2014-04-10,107.3
2014-04-12,
2014-04-13,107.6
2014-04-14,108.66
