Date,Close
2013-01-02,1343
2013-01-03,752
2013-01-04,1279
2013-01-06,
2013-01-07,1860
2013-01-08,1385
2013-01-09,1368
2013-01-10,1495
2013-01-11,1141
2013-01-13,
2013-01-14,1019
2013-01-15,1227
2013-01-16,33
2013-01-17,
2013-01-18,5410
2013-01-20,
2013-01-22,7873
2013-01-23,5558
2013-01-24,5086
2013-01-25,3821
2013-01-27,
2013-01-28,4057
2013-01-29,3241
2013-01-30,2414
2013-01-31,3222
2013-02-01,4956
2013-02-03,
2013-02-04,2301
2013-02-05,5214
2013-02-06,3179
2013-02-07,6168
2013-02-08,3395
2013-02-10,
2013-02-11,2152
2013-02-12,1556
2013-02-13,225
2013-02-14,
2013-02-15,5321
2013-02-17,
2013-02-19,3321
2013-02-20,4641
2013-02-21,4022
2013-02-22,2836
2013-02-24,
2013-02-25,4213
2013-02-26,3942
2013-02-27,4940
2013-02-28,5369
2013-03-01,5687
2013-03-03,
2013-03-04,3618
2013-03-05,5330
2013-03-06,4002
2013-03-07,4272
2013-03-08,4486
2013-03-10,
2013-03-10,2427
2013-03-10,
2013-03-10,2427
2013-03-11,2388
2013-03-12,950
2013-03-13,269
2013-03-14,2567
2013-03-16,
2013-03-17,
2013-03-18,3327
2013-03-19,2745
2013-03-20,3484
2013-03-21,2605
2013-03-23,
2013-03-24,355
2013-03-25,3355
2013-03-26,3926
2013-03-27,2175
2013-03-28,
2013-03-30,
2013-03-31,1788
2013-04-01,4299
2013-04-02,5172
2013-04-03,7158
2013-04-04,8817
2013-04-06,
2013-04-07,3754
2013-04-08,4934
2013-04-09,3159
2013-04-10,2429
2013-04-11,34
2013-04-13,
2013-04-14,1126
2013-04-15,
2013-04-16,4442
2013-04-17,6283
2013-04-18,4312
2013-04-20,
2013-04-21,3890
2013-04-22,4381
2013-04-23,4467
2013-04-24,5471
2013-04-25,4974
2013-04-27,
2013-04-28,4138
2013-04-29,6356
2013-04-30,8670
2013-05-01,7583
2013-05-02,7412
2013-05-04,
2013-05-05,3668
2013-05-06,7856
2013-05-07,7772
2013-05-08,5308
2013-05-09,5241
2013-05-11,
2013-05-12,5649
2013-05-13,3504
2013-05-14,2940
2013-05-15,512
2013-05-16,
2013-05-18,
2013-05-19,3976
2013-05-20,3839
2013-05-21,4718
2013-05-22,4740
2013-05-23,2671
2013-05-25,
