Date,Close
2013-01-02,3.7245
2013-01-03,3.7015
2013-01-04,3.6785
2013-01-06,
2013-01-07,3.663
2013-01-08,3.657
2013-01-09,3.6565
2013-01-10,3.6945
2013-01-11,3.6395
2013-01-13,
2013-01-14,3.6195
2013-01-15,3.623
2013-01-16,3.591
2013-01-17,3.647
2013-01-18,3.6635
2013-01-20,
2013-01-22,3.691
2013-01-23,3.671
2013-01-24,3.6645
2013-01-25,3.6395
2013-01-27,
2013-01-28,3.649
2013-01-29,3.6775
2013-01-30,3.74
2013-01-31,3.7235
2013-02-01,3.7755
2013-02-03,
2013-02-04,3.7585
2013-02-05,3.7615
2013-02-06,3.7335
2013-02-07,3.72
2013-02-08,3.7535
2013-02-10,
2013-02-11,3.718
2013-02-12,3.7365
2013-02-13,3.734
2013-02-14,3.73
2013-02-15,3.731
2013-02-17,
2013-02-19,3.6445
2013-02-20,3.6055
2013-02-21,3.5505
2013-02-22,3.53
2013-02-24,
2013-02-25,3.541
2013-02-26,3.5665
2013-02-27,3.545
2013-02-28,3.5275
2013-03-01,3.4815
2013-03-03,
2013-03-04,3.483
2013-03-05,3.4965
2013-03-06,3.474
2013-03-07,3.5015
2013-03-08,3.4915
2013-03-10,
2013-03-11,3.5
2013-03-12,3.538
2013-03-13,3.5095
2013-03-14,3.5235
2013-03-15,3.508
2013-03-17,
2013-03-18,3.417
2013-03-19,3.3955
2013-03-20,3.4355
2013-03-21,3.423
2013-03-22,3.454
2013-03-24,
2013-03-25,3.435
2013-03-26,3.4325
2013-03-27,3.435
2013-03-28,3.395
2013-03-29,
2013-03-31,
2013-04-01,3.3675
2013-04-02,3.372
2013-04-03,3.3255
2013-04-04,3.3455
2013-04-05,3.34
2013-04-07,
2013-04-08,3.368
2013-04-09,3.438
2013-04-10,3.414
2013-04-11,3.428
2013-04-12,3.349
2013-04-14,
2013-04-15,3.28
2013-04-16,3.3065
2013-04-17,3.188
2013-04-18,3.2045
2013-04-19,3.1515
2013-04-21,
2013-04-22,3.132
2013-04-23,3.094
2013-04-24,3.158
2013-04-25,3.238
2013-04-26,3.185
2013-04-28,
2013-04-29,3.2255
2013-04-30,3.1875
2013-05-01,3.0825
2013-05-02,3.1045
2013-05-03,3.3135
2013-05-05,
2013-05-06,3.31
2013-05-07,3.3005
2013-05-08,3.371
2013-05-09,3.3415
2013-05-10,3.356
2013-05-12,
2013-05-13,3.362
2013-05-14,3.2905
2013-05-15,3.267
2013-05-16,3.292
2013-05-17,3.321
2013-05-19,
2013-05-20,3.357
2013-05-21,3.339
2013-05-22,3.3775
2013-05-23,3.2995
2013-05-24,3.2915
2013-05-26,
2013-05-28,3.3115
2013-05-29,3.291
2013-05-30,3.3105
2013-05-31,3.289
2013-06-02,
2013-06-03,3.327
2013-06-04,3.365
2013-06-05,3.367
2013-06-06,3.316
2013-06-07,3.266
2013-06-09,
2013-06-10,3.239
2013-06-11,3.193
2013-06-12,3.225
2013-06-13,3.185
2013-06-14,3.2045
2013-06-16,
2013-06-17,3.202
2013-06-18,3.157
2013-06-19,3.1435
2013-06-20,3.0615
2013-06-21,3.0965
2013-06-23,
2013-06-24,3.026
2013-06-25,3.071
2013-06-26,3.041
2013-06-27,3.0525
2013-06-28,3.0505
2013-06-30,
2013-07-01,3.155
2013-07-02,3.142
2013-07-03,
2013-07-05,3.08
2013-07-07,
2013-07-08,3.1115
2013-07-09,3.076
2013-07-10,3.101
2013-07-11,3.1835
2013-07-12,3.1705
