Date,Close
2013-01-02,3.745
2013-01-03,3.7315
2013-01-04,3.69
2013-01-06,
2013-01-07,3.685
2013-01-08,3.6635
2013-01-09,3.6925
2013-01-10,3.7
2013-01-11,3.6745
2013-01-13,
2013-01-14,3.674
2013-01-15,3.6235
2013-01-16,3.6035
2013-01-17,3.65
2013-01-18,3.678
2013-01-20,
2013-01-22,3.691
2013-01-23,3.68
2013-01-24,3.675
2013-01-25,3.665
2013-01-27,
2013-01-28,3.66
2013-01-29,3.6775
2013-01-30,3.7405
2013-01-31,3.753
2013-02-01,3.7755
2013-02-03,
2013-02-04,3.767
2013-02-05,3.7685
2013-02-06,3.7555
2013-02-07,3.74
2013-02-08,3.758
2013-02-10,
2013-02-11,3.733
2013-02-12,3.739
2013-02-13,3.75
2013-02-14,3.7375
2013-02-15,3.7375
2013-02-17,
2013-02-19,3.705
2013-02-20,3.62
2013-02-21,3.5505
2013-02-22,3.544
2013-02-24,
2013-02-25,3.557
2013-02-26,3.5665
2013-02-27,3.5775
2013-02-28,3.581
2013-03-01,3.5365
2013-03-03,
2013-03-04,3.5045
2013-03-05,3.5265
2013-03-06,3.52
2013-03-07,3.512
2013-03-08,3.51
2013-03-10,
2013-03-11,3.5035
2013-03-12,3.55
2013-03-13,3.55
2013-03-14,3.526
2013-03-15,3.53
2013-03-17,
2013-03-18,3.495
2013-03-19,3.424
2013-03-20,3.4475
2013-03-21,3.4765
2013-03-22,3.4675
2013-03-24,
2013-03-25,3.471
2013-03-26,3.459
2013-03-27,3.4495
2013-03-28,3.4485
2013-03-29,
2013-03-31,
2013-04-01,3.38
2013-04-02,3.372
2013-04-03,3.36
2013-04-04,3.358
2013-04-05,3.344
2013-04-07,
2013-04-08,3.3725
2013-04-09,3.4455
2013-04-10,3.425
2013-04-11,3.4325
2013-04-12,3.4195
2013-04-14,
2013-04-15,3.3465
2013-04-16,3.3065
2013-04-17,3.31
2013-04-18,3.205
2013-04-19,3.1875
2013-04-21,
2013-04-22,3.1385
2013-04-23,3.128
2013-04-24,3.178
2013-04-25,3.253
2013-04-26,3.185
2013-04-28,
2013-04-29,3.241
2013-04-30,3.2445
2013-05-01,3.187
2013-05-02,3.134
2013-05-03,3.315
2013-05-05,
2013-05-06,3.324
2013-05-07,3.3055
2013-05-08,3.39
2013-05-09,3.355
2013-05-10,3.3855
2013-05-12,
2013-05-13,3.3755
2013-05-14,3.347
2013-05-15,3.2865
2013-05-16,3.303
2013-05-17,3.326
2013-05-19,
2013-05-20,3.3645
2013-05-21,3.371
2013-05-22,3.405
2013-05-23,3.316
2013-05-24,3.301
2013-05-26,
2013-05-28,3.331
2013-05-29,3.291
2013-05-30,3.323
2013-05-31,3.3115
2013-06-02,
2013-06-03,3.3325
2013-06-04,3.365
2013-06-05,3.39
2013-06-06,3.3585
2013-06-07,3.321
2013-06-09,
2013-06-10,3.241
2013-06-11,3.2445
2013-06-12,3.225
2013-06-13,3.227
2013-06-14,3.2105
2013-06-16,
2013-06-17,3.234
2013-06-18,3.1625
2013-06-19,3.165
2013-06-20,3.12
2013-06-21,3.1025
2013-06-23,
2013-06-24,3.0485
2013-06-25,3.085
2013-06-26,3.065
2013-06-27,3.0785
2013-06-28,3.08
2013-06-30,
2013-07-01,3.161
2013-07-02,3.16
2013-07-03,
2013-07-05,3.175
2013-07-07,
2013-07-08,3.1165
2013-07-09,3.1215
2013-07-10,3.1045
2013-07-11,3.2075
2013-07-12,3.191
2013-07-14,
2013-07-15,3.1685
2013-07-16,3.2
2013-07-17,3.2015
2013-07-18,3.148
2013-07-19,3.1625
2013-07-21,
2013-07-22,3.204
2013-07-23,3.2165
2013-07-24,3.2295
2013-07-25,3.189
2013-07-26,3.163
2013-07-28,
2013-07-29,3.1165
2013-07-30,3.0935
2013-07-31,3.122
2013-08-01,3.184
2013-08-02,3.1965
2013-08-04,
2013-08-05,3.1675
2013-08-06,3.203
2013-08-07,3.187
2013-08-08,3.2795
2013-08-09,3.311
2013-08-11,
2013-08-12,3.3295
2013-08-13,3.327
2013-08-14,3.3405
2013-08-15,3.3515
2013-08-16,3.378
2013-08-18,
2013-08-19,3.345
