Date,Close
2013-01-02,3.6405
2013-01-03,3.6785
2013-01-04,3.6785
2013-01-06,
2013-01-07,3.6425
2013-01-08,3.652
2013-01-09,3.6535
2013-01-10,3.657
2013-01-11,3.6395
2013-01-13,
2013-01-14,3.6195
2013-01-15,3.597
2013-01-16,3.591
2013-01-17,3.6325
2013-01-18,3.6525
2013-01-20,
2013-01-22,3.654
2013-01-23,3.6685
2013-01-24,3.652
2013-01-25,3.6335
2013-01-27,
2013-01-28,3.6335
2013-01-29,3.646
2013-01-30,3.694
2013-01-31,3.7225
2013-02-01,3.731
2013-02-03,
2013-02-04,3.7585
2013-02-05,3.7525
2013-02-06,3.7315
2013-02-07,3.7175
2013-02-08,3.7525
2013-02-10,
2013-02-11,3.71
2013-02-12,3.731
2013-02-13,3.73
2013-02-14,3.73
2013-02-15,3.721
2013-02-17,
2013-02-19,3.6445
2013-02-20,3.597
2013-02-21,3.5455
2013-02-22,3.53
2013-02-24,
2013-02-25,3.523
2013-02-26,3.5165
2013-02-27,3.5435
2013-02-28,3.525
2013-03-01,3.454
2013-03-03,
2013-03-04,3.468
2013-03-05,3.4965
2013-03-06,3.47
2013-03-07,3.4785
2013-03-08,3.485
2013-03-10,
2013-03-11,3.465
2013-03-12,3.49
2013-03-13,3.5095
2013-03-14,3.5
2013-03-15,3.5045
2013-03-17,
2013-03-18,3.4
2013-03-19,3.3805
2013-03-20,3.3865
2013-03-21,3.4155
2013-03-22,3.442
2013-03-24,
2013-03-25,3.43
2013-03-26,3.4325
2013-03-27,3.416
2013-03-28,3.3935
2013-03-29,
2013-03-31,
2013-04-01,3.351
2013-04-02,3.355
2013-04-03,3.32
2013-04-04,3.3005
2013-04-05,3.3325
2013-04-07,
2013-04-08,3.3575
2013-04-09,3.395
2013-04-10,3.411
2013-04-11,3.401
2013-04-12,3.3325
2013-04-14,
2013-04-15,3.2425
2013-04-16,3.292
2013-04-17,3.188
2013-04-18,3.148
2013-04-19,3.148
2013-04-21,
2013-04-22,3.121
2013-04-23,3.0685
2013-04-24,3.15
2013-04-25,3.2275
2013-04-26,3.185
2013-04-28,
2013-04-29,3.151
2013-04-30,3.1775
2013-05-01,3.051
2013-05-02,3.0705
2013-05-03,3.143
2013-05-05,
2013-05-06,3.2905
2013-05-07,3.265
2013-05-08,3.302
2013-05-09,3.318
2013-05-10,3.324
2013-05-12,
2013-05-13,3.3455
2013-05-14,3.282
2013-05-15,3.2355
2013-05-16,3.239
2013-05-17,3.2825
2013-05-19,
2013-05-20,3.29
2013-05-21,3.333
2013-05-22,3.3635
2013-05-23,3.266
2013-05-24,3.2815
2013-05-26,
2013-05-28,3.297
2013-05-29,3.2715
2013-05-30,3.258
2013-05-31,3.2655
2013-06-02,
2013-06-03,3.2945
2013-06-04,3.327
2013-06-05,3.357
2013-06-06,3.305
2013-06-07,3.255
2013-06-09,
2013-06-10,3.219
2013-06-11,3.177
2013-06-12,3.1805
2013-06-13,3.17
2013-06-14,3.192
2013-06-16,
2013-06-17,3.19
2013-06-18,3.152
2013-06-19,3.129
2013-06-20,3.0445
2013-06-21,3.0445
2013-06-23,
2013-06-24,3.0065
2013-06-25,3.025
2013-06-26,3.0385
2013-06-27,3.035
2013-06-28,3.008
2013-06-30,
2013-07-01,3.032
2013-07-02,3.1275
2013-07-03,
2013-07-05,3.0655
2013-07-07,
2013-07-08,3.076
2013-07-09,3.0395
2013-07-10,3.048
2013-07-11,3.134
2013-07-12,3.155
2013-07-14,
2013-07-15,3.141
2013-07-16,3.156
2013-07-17,3.125
2013-07-18,3.132
2013-07-19,3.1425
2013-07-21,
2013-07-22,3.1865
2013-07-23,3.176
2013-07-24,3.1725
2013-07-25,3.154
2013-07-26,3.1065
2013-07-28,
2013-07-29,3.1015
2013-07-30,3.037
2013-07-31,3.067
2013-08-01,3.135
2013-08-02,3.142
2013-08-04,
2013-08-05,3.1485
2013-08-06,3.171
