Date,Close
2013-01-02,3.6405
2013-01-03,3.7185
2013-01-04,3.6845
2013-01-06,
2013-01-07,3.685
2013-01-08,3.662
2013-01-09,3.6825
2013-01-10,3.657
2013-01-11,3.6705
2013-01-13,
2013-01-14,3.6625
2013-01-15,3.597
2013-01-16,3.593
2013-01-17,3.6325
2013-01-18,3.66
2013-01-20,
2013-01-22,3.654
2013-01-23,3.68
2013-01-24,3.658
2013-01-25,3.665
2013-01-27,
2013-01-28,3.6375
2013-01-29,3.646
2013-01-30,3.694
2013-01-31,3.753
2013-02-01,3.731
2013-02-03,
2013-02-04,3.767
2013-02-05,3.7635
2013-02-06,3.7555
2013-02-07,3.74
2013-02-08,3.758
2013-02-10,
2013-02-11,3.733
2013-02-12,3.731
2013-02-13,3.75
2013-02-14,3.7375
2013-02-15,3.7375
2013-02-17,
2013-02-19,3.705
2013-02-20,3.62
2013-02-21,3.5455
2013-02-22,3.544
2013-02-24,
2013-02-25,3.553
2013-02-26,3.5165
2013-02-27,3.573
2013-02-28,3.5555
2013-03-01,3.532
2013-03-03,
2013-03-04,3.488
2013-03-05,3.502
2013-03-06,3.509
2013-03-07,3.487
2013-03-08,3.5005
2013-03-10,
2013-03-11,3.485
2013-03-12,3.505
2013-03-13,3.539
2013-03-14,3.5065
2013-03-15,3.53
2013-03-17,
2013-03-18,3.495
2013-03-19,3.424
2013-03-20,3.3865
2013-03-21,3.441
2013-03-22,3.4435
2013-03-24,
2013-03-25,3.4705
2013-03-26,3.455
2013-03-27,3.4345
2013-03-28,3.4485
2013-03-29,
2013-03-31,
2013-04-01,3.38
2013-04-02,3.36
2013-04-03,3.35
2013-04-04,3.3005
2013-04-05,3.3395
2013-04-07,
2013-04-08,3.3725
2013-04-09,3.4
2013-04-10,3.421
2013-04-11,3.401
2013-04-12,3.41
2013-04-14,
2013-04-15,3.345
2013-04-16,3.292
2013-04-17,3.31
2013-04-18,3.17
2013-04-19,3.1875
2013-04-21,
2013-04-22,3.1385
2013-04-23,3.128
2013-04-24,3.1595
2013-04-25,3.2295
2013-04-26,3.185
2013-04-28,
2013-04-29,3.1765
2013-04-30,3.222
2013-05-01,3.187
2013-05-02,3.0705
2013-05-03,3.1435
2013-05-05,
2013-05-06,3.296
2013-05-07,3.2925
2013-05-08,3.302
2013-05-09,3.355
2013-05-10,3.3445
2013-05-12,
2013-05-13,3.35
2013-05-14,3.347
2013-05-15,3.2865
2013-05-16,3.268
2013-05-17,3.2825
2013-05-19,
2013-05-20,3.29
2013-05-21,3.367
2013-05-22,3.3975
2013-05-23,3.3
2013-05-24,3.295
2013-05-26,
2013-05-28,3.3
2013-05-29,3.2725
2013-05-30,3.28
2013-05-31,3.3075
2013-06-02,
2013-06-03,3.299
2013-06-04,3.327
2013-06-05,3.357
2013-06-06,3.3585
2013-06-07,3.321
2013-06-09,
2013-06-10,3.219
2013-06-11,3.236
2013-06-12,3.181
2013-06-13,3.217
2013-06-14,3.2105
2013-06-16,
2013-06-17,3.234
2013-06-18,3.1625
2013-06-19,3.164
2013-06-20,3.12
2013-06-21,3.045
2013-06-23,
2013-06-24,3.0175
2013-06-25,3.025
2013-06-26,3.0385
2013-06-27,3.051
2013-06-28,3.049
2013-06-30,
2013-07-01,3.032
2013-07-02,3.155
2013-07-03,
2013-07-05,3.175
2013-07-07,
2013-07-08,3.0885
2013-07-09,3.1045
2013-07-10,3.083
2013-07-11,3.134
2013-07-12,3.1815
2013-07-14,
2013-07-15,3.1685
2013-07-16,3.156
2013-07-17,3.188
2013-07-18,3.1345
2013-07-19,3.1505
2013-07-21,
2013-07-22,3.193
2013-07-23,3.19
2013-07-24,3.195
2013-07-25,3.1825
2013-07-26,3.161
2013-07-28,
2013-07-29,3.115
2013-07-30,3.0935
2013-07-31,3.0815
2013-08-01,3.135
2013-08-02,3.163
2013-08-04,
2013-08-05,3.1485
2013-08-06,3.2015
2013-08-07,3.1655
2013-08-08,3.2485
2013-08-09,3.265
2013-08-11,
2013-08-12,3.3295
2013-08-13,3.3245
2013-08-14,3.3155
2013-08-15,3.3245
2013-08-16,3.3545
2013-08-18,
2013-08-19,3.343
2013-08-20,3.32
2013-08-21,3.3275
2013-08-22,3.3645
2013-08-23,3.35
2013-08-25,
2013-08-26,3.374
2013-08-27,3.36
2013-08-28,3.31
2013-08-29,3.304
2013-08-30,3.237
2013-09-01,
2013-09-03,3.25
2013-09-04,3.2975
2013-09-05,3.2405
2013-09-06,3.2395
2013-09-08,
2013-09-09,3.258
2013-09-10,3.26
2013-09-11,3.268
2013-09-12,3.2715
2013-09-13,3.201
2013-09-15,
2013-09-16,3.27
2013-09-17,3.231
2013-09-18,3.22
2013-09-19,3.3255
2013-09-20,3.345
2013-09-22,
2013-09-23,3.2825
2013-09-24,3.2935
2013-09-25,3.273
2013-09-26,3.3045
2013-09-27,3.299
2013-09-29,
2013-09-30,3.293
2013-10-01,3.3185
2013-10-02,3.2675
2013-10-03,3.3045
2013-10-04,3.264
2013-10-06,
2013-10-07,3.272
2013-10-08,3.2865
