Date,Close
2013-01-02,35.0
2013-01-03,140.0
2013-01-04,199.0
2013-01-06,
2013-01-07,49.0
2013-01-08,17.0
2013-01-09,9.0
2013-01-10,9.0
2013-01-11,147.0
2013-01-13,
2013-01-14,10.0
2013-01-15,20.0
2013-01-16,11.0
2013-01-17,81.0
2013-01-18,14.0
2013-01-20,
2013-01-22,15.0
2013-01-23,28.0
2013-01-24,13.0
2013-01-25,44.0
2013-01-27,
2013-01-28,82.0
2013-01-29,145863.0
2013-01-30,44893.0
2013-01-31,6044.0
2013-02-01,3250.0
2013-02-03,
2013-02-04,450.0
2013-02-05,353.0
2013-02-06,376.0
2013-02-07,475.0
2013-02-08,289.0
2013-02-10,
2013-02-11,868.0
2013-02-12,85.0
2013-02-13,236.0
2013-02-14,219.0
2013-02-15,460.0
2013-02-17,
2013-02-19,272.0
2013-02-20,278.0
2013-02-21,2019.0
2013-02-22,76.0
2013-02-24,
2013-02-25,118.0
2013-02-26,1158.0
2013-02-27,700.0
2013-02-28,102.0
2013-03-01,68.0
2013-03-03,
2013-03-04,64.0
2013-03-05,65.0
2013-03-06,106.0
2013-03-07,52.0
2013-03-08,68.0
2013-03-10,
2013-03-11,1115.0
2013-03-12,159.0
2013-03-13,396.0
2013-03-14,137.0
2013-03-15,11.0
2013-03-17,
2013-03-18,613.0
2013-03-19,202.0
2013-03-20,5.0
2013-03-21,7.0
2013-03-22,101.0
2013-03-24,
2013-03-25,27.0
2013-03-26,165484.0
2013-03-27,50450.0
2013-03-28,4717.0
2013-03-29,
2013-03-31,
2013-04-01,688.0
2013-04-02,2289.0
2013-04-03,2171.0
2013-04-04,829.0
2013-04-05,1184.0
2013-04-07,
2013-04-08,101.0
2013-04-09,215.0
2013-04-10,359.0
2013-04-11,1070.0
2013-04-12,881.0
2013-04-14,
2013-04-15,1309.0
2013-04-16,619.0
2013-04-17,92.0
2013-04-18,57.0
2013-04-19,241.0
2013-04-21,
2013-04-22,70.0
2013-04-23,334.0
2013-04-24,138.0
2013-04-25,222.0
2013-04-26,976.0
2013-04-28,
2013-04-29,269.0
2013-04-30,534.0
2013-05-01,131.0
2013-05-02,244.0
2013-05-03,68.0
2013-05-05,
2013-05-06,33.0
2013-05-07,91.0
