Date,Close
2013-01-02,3.0463
2013-01-03,3.0251
2013-01-04,3.0177
2013-01-06,
2013-01-07,3.0321
2013-01-08,3.0585
2013-01-09,3.0699
2013-01-10,3.0543
2013-01-11,3.0085
2013-01-13,
2013-01-14,3.0625
2013-01-15,3.0113
2013-01-16,2.9991
2013-01-17,3.0212
2013-01-18,3.0525
2013-01-20,
2013-01-22,3.0682
2013-01-23,3.0781
2013-01-24,3.0864
2013-01-25,3.0568
2013-01-27,
2013-01-28,3.0616
2013-01-29,3.1092
2013-01-30,3.1173
2013-01-31,3.1298
2013-02-01,3.1606
2013-02-03,
2013-02-04,3.154
2013-02-05,3.1913
2013-02-06,3.1858
2013-02-07,3.1995
2013-02-08,3.2384
2013-02-10,
2013-02-11,3.2315
2013-02-12,3.2362
2013-02-13,3.2188
2013-02-14,3.2237
2013-02-15,3.2104
2013-02-17,
2013-02-19,3.1806
2013-02-20,3.1563
2013-02-21,3.0957
2013-02-22,3.1042
2013-02-24,
2013-02-25,3.0989
2013-02-26,3.0317
2013-02-27,2.9879
2013-02-28,2.9719
2013-03-01,2.9301
2013-03-03,
2013-03-04,2.9191
2013-03-05,2.973
2013-03-06,2.9756
2013-03-07,2.9795
2013-03-08,2.9749
2013-03-10,
2013-03-11,2.9691
2013-03-12,2.9484
2013-03-13,2.9242
2013-03-14,2.9295
2013-03-15,2.939
2013-03-17,
2013-03-18,2.9267
2013-03-19,2.8641
2013-03-20,2.8921
2013-03-21,2.8963
2013-03-22,2.8843
2013-03-24,
2013-03-25,2.8772
2013-03-26,2.8813
2013-03-27,2.9154
2013-03-28,
2013-03-29,
2013-03-31,
2013-04-01,3.0687
2013-04-02,3.0874
2013-04-03,3.002
2013-04-04,2.9636
2013-04-05,2.9098
2013-04-07,
2013-04-08,2.9537
2013-04-09,2.9613
2013-04-10,2.9479
2013-04-11,2.8991
2013-04-12,2.8718
2013-04-14,
2013-04-15,2.8292
2013-04-16,2.8065
2013-04-17,2.7346
2013-04-18,2.7791
2013-04-19,2.7876
2013-04-21,
2013-04-22,2.8094
2013-04-23,2.8117
2013-04-24,2.8413
2013-04-25,2.9017
2013-04-26,2.9012
2013-04-28,
2013-04-29,2.9007
2013-04-30,2.8734
2013-05-01,2.7889
2013-05-02,2.8555
2013-05-03,2.8844
2013-05-05,
2013-05-06,2.9202
2013-05-07,2.9277
2013-05-08,2.9147
2013-05-09,2.9366
2013-05-10,2.9062
2013-05-12,
2013-05-13,2.891
2013-05-14,2.873
2013-05-15,2.8801
2013-05-16,2.9087
2013-05-17,2.937
2013-05-19,
2013-05-20,2.9508
2013-05-21,2.929
2013-05-22,2.8736
2013-05-23,2.86
