Date,Close
2013-01-02,3.0702
2013-01-03,3.0429
2013-01-04,3.0241
2013-01-06,
2013-01-07,3.0455
2013-01-08,3.0752
2013-01-09,3.0753
2013-01-10,3.1137
2013-01-11,3.0566
2013-01-13,
2013-01-14,3.0684
2013-01-15,3.0774
2013-01-16,3.0385
2013-01-17,3.0362
2013-01-18,3.0573
2013-01-20,
2013-01-22,3.0911
2013-01-23,3.0883
2013-01-24,3.0958
2013-01-25,3.091
2013-01-27,
2013-01-28,3.085
2013-01-29,3.1118
2013-01-30,3.1341
2013-01-31,3.1351
2013-02-01,3.1691
2013-02-03,
2013-02-04,3.1699
2013-02-05,3.2011
2013-02-06,3.1987
2013-02-07,3.2175
2013-02-08,3.2575
2013-02-10,
2013-02-11,3.2513
2013-02-12,3.2486
2013-02-13,3.243
2013-02-14,3.2317
2013-02-15,3.2285
2013-02-17,
2013-02-19,3.2208
2013-02-20,3.1969
2013-02-21,3.1563
2013-02-22,3.1188
2013-02-24,
2013-02-25,3.15
2013-02-26,3.0854
2013-02-27,3.0502
2013-02-28,3.001
2013-03-01,2.9598
2013-03-03,
2013-03-04,2.9425
2013-03-05,2.9907
2013-03-06,3.0024
2013-03-07,2.9855
2013-03-08,2.9817
2013-03-10,
2013-03-11,2.9829
2013-03-12,3.0074
2013-03-13,2.9679
2013-03-14,2.939
2013-03-15,2.9667
2013-03-17,
2013-03-18,2.9436
2013-03-19,2.9255
2013-03-20,2.898
2013-03-21,2.8986
2013-03-22,2.8993
2013-03-24,
2013-03-25,2.9274
2013-03-26,2.8914
2013-03-27,2.92
2013-03-28,
2013-03-29,
2013-03-31,
2013-04-01,3.0902
2013-04-02,3.1044
2013-04-03,3.0951
2013-04-04,3.015
2013-04-05,2.9729
2013-04-07,
2013-04-08,2.9634
2013-04-09,2.9688
2013-04-10,2.977
2013-04-11,2.9492
2013-04-12,2.9172
2013-04-14,
2013-04-15,2.8718
2013-04-16,2.8208
2013-04-17,2.8217
2013-04-18,2.7946
2013-04-19,2.8078
2013-04-21,
2013-04-22,2.8296
2013-04-23,2.8179
2013-04-24,2.8585
2013-04-25,2.9032
2013-04-26,2.9216
2013-04-28,
2013-04-29,2.9071
2013-04-30,2.907
2013-05-01,2.8396
2013-05-02,2.8584
2013-05-03,2.9056
2013-05-05,
2013-05-06,2.9226
2013-05-07,2.9474
2013-05-08,2.9324
2013-05-09,2.9393
2013-05-10,2.9297
2013-05-12,
2013-05-13,2.9162
2013-05-14,2.8986
2013-05-15,2.8848
2013-05-16,2.9192
2013-05-17,2.951
