Date,Close
2013-01-02,3.0325
2013-01-03,3.006
2013-01-04,2.9809
2013-01-06,
2013-01-07,3.0086
2013-01-08,3.0323
2013-01-09,3.0472
2013-01-10,3.049
2013-01-11,2.9957
2013-01-13,
2013-01-14,3.0065
2013-01-15,3.01
2013-01-16,2.9858
2013-01-17,2.9977
2013-01-18,3.0117
2013-01-20,
2013-01-22,3.0423
2013-01-23,3.0574
2013-01-24,3.0693
2013-01-25,3.0551
2013-01-27,
2013-01-28,3.0456
2013-01-29,3.0555
2013-01-30,3.098
2013-01-31,3.0978
2013-02-01,3.1095
2013-02-03,
2013-02-04,3.1433
2013-02-05,3.148
2013-02-06,3.1623
2013-02-07,3.184
2013-02-08,3.2126
2013-02-10,
2013-02-11,3.214
2013-02-12,3.2198
2013-02-13,3.2121
2013-02-14,3.2112
2013-02-15,3.1744
2013-02-17,
2013-02-19,3.1657
2013-02-20,3.1364
2013-02-21,3.0886
2013-02-22,3.092
2013-02-24,
2013-02-25,3.0754
2013-02-26,3.0209
2013-02-27,2.9844
2013-02-28,2.9639
2013-03-01,2.9182
2013-03-03,
2013-03-04,2.9038
2013-03-05,2.9156
2013-03-06,2.955
2013-03-07,2.958
2013-03-08,2.9488
2013-03-10,
2013-03-11,2.955
2013-03-12,2.9365
2013-03-13,2.9059
2013-03-14,2.907
2013-03-15,2.927
2013-03-17,
2013-03-18,2.893
2013-03-19,2.843
2013-03-20,2.8588
2013-03-21,2.8716
2013-03-22,2.87
2013-03-24,
2013-03-25,2.8544
2013-03-26,2.86
2013-03-27,2.879
2013-03-28,
2013-03-29,
2013-03-31,
2013-04-01,3.0181
2013-04-02,3.0675
2013-04-03,2.9923
2013-04-04,2.9345
2013-04-05,2.9056
2013-04-07,
2013-04-08,2.9069
2013-04-09,2.9293
2013-04-10,2.9363
2013-04-11,2.8899
2013-04-12,2.8346
2013-04-14,
2013-04-15,2.791
2013-04-16,2.7712
2013-04-17,2.7266
2013-04-18,2.7255
2013-04-19,2.7767
2013-04-21,
2013-04-22,2.7833
2013-04-23,2.7727
2013-04-24,2.8091
2013-04-25,2.8406
2013-04-26,2.8873
2013-04-28,
2013-04-29,2.8771
2013-04-30,2.8559
2013-05-01,2.7597
2013-05-02,2.782
2013-05-03,2.8432
2013-05-05,
2013-05-06,2.8718
2013-05-07,2.9074
2013-05-08,2.8982
2013-05-09,2.9025
2013-05-10,2.8535
2013-05-12,
