Date,Close
2013-01-02,3.0329
2013-01-03,3.042
2013-01-04,3.0225
2013-01-06,
2013-01-07,3.0185
2013-01-08,3.0401
2013-01-09,3.0591
2013-01-10,3.0762
2013-01-11,3.0543
2013-01-13,
2013-01-14,3.0065
2013-01-15,3.0693
2013-01-16,3.0227
2013-01-17,3.009
2013-01-18,3.026
2013-01-20,
2013-01-22,3.0473
2013-01-23,3.071
2013-01-24,3.0795
2013-01-25,3.0895
2013-01-27,
2013-01-28,3.0592
2013-01-29,3.059
2013-01-30,3.1091
2013-01-31,3.1232
2013-02-01,3.1208
2013-02-03,
2013-02-04,3.165
2013-02-05,3.1588
2013-02-06,3.195
2013-02-07,3.1882
2013-02-08,3.215
2013-02-10,
2013-02-11,3.2475
2013-02-12,3.2315
2013-02-13,3.2416
2013-02-14,3.2239
2013-02-15,3.2245
2013-02-17,
2013-02-19,3.2146
2013-02-20,3.1839
2013-02-21,3.1506
2013-02-22,3.1021
2013-02-24,
2013-02-25,3.104
2013-02-26,3.074
2013-02-27,3.029
2013-02-28,2.9948
2013-03-01,2.9509
2013-03-03,
2013-03-04,2.9263
2013-03-05,2.9184
2013-03-06,2.9874
2013-03-07,2.9704
2013-03-08,2.9718
2013-03-10,
2013-03-11,2.9701
2013-03-12,2.9583
2013-03-13,2.9542
2013-03-14,2.9225
2013-03-15,2.9358
2013-03-17,
2013-03-18,2.939
2013-03-19,2.9255
2013-03-20,2.861
2013-03-21,2.8879
2013-03-22,2.887
2013-03-24,
2013-03-25,2.8735
2013-03-26,2.8722
2013-03-27,2.8885
2013-03-28,
2013-03-29,
2013-03-31,
2013-04-01,3.0494
2013-04-02,3.0778
2013-04-03,3.0888
2013-04-04,3.0088
2013-04-05,2.9703
2013-04-07,
2013-04-08,2.9155
2013-04-09,2.9579
2013-04-10,2.9599
2013-04-11,2.9479
2013-04-12,2.9069
2013-04-14,
2013-04-15,2.8716
2013-04-16,2.7938
2013-04-17,2.8217
2013-04-18,2.7325
2013-04-19,2.7889
2013-04-21,
2013-04-22,2.7875
2013-04-23,2.814
2013-04-24,2.812
2013-04-25,2.8605
2013-04-26,2.8959
2013-04-28,
2013-04-29,2.9009
2013-04-30,2.907
2013-05-01,2.8278
2013-05-02,2.7876
2013-05-03,2.8555
2013-05-05,
2013-05-06,2.8824
2013-05-07,2.917
2013-05-08,2.9224
2013-05-09,2.921
2013-05-10,2.9273
2013-05-12,
2013-05-13,2.9162
2013-05-14,2.8836
2013-05-15,2.871
2013-05-16,2.8795
2013-05-17,2.9055
2013-05-19,
2013-05-20,2.9396
2013-05-21,2.9548
2013-05-22,2.9172
2013-05-23,2.8715
2013-05-24,2.858
2013-05-26,
2013-05-28,2.8541
2013-05-29,2.9085
2013-05-30,2.8635
2013-05-31,2.8433
2013-06-02,
2013-06-03,2.7805
2013-06-04,2.8431
2013-06-05,2.8815
2013-06-06,2.8566
2013-06-07,2.8726
2013-06-09,
2013-06-10,2.8947
2013-06-11,2.8846
2013-06-12,2.8543
2013-06-13,2.8895
2013-06-14,2.9381
2013-06-16,
2013-06-17,2.9685
2013-06-18,2.9504
2013-06-19,2.9627
2013-06-20,2.9635
2013-06-21,2.874
2013-06-23,
2013-06-24,2.8415
2013-06-25,2.8548
2013-06-26,2.854
2013-06-27,2.8596
2013-06-28,2.884
2013-06-30,
2013-07-01,2.8595
2013-07-02,2.8777
2013-07-03,
2013-07-05,2.9518
2013-07-07,
2013-07-08,2.9998
2013-07-09,2.9747
2013-07-10,2.9859
2013-07-11,2.9945
2013-07-12,2.9946
2013-07-14,
2013-07-15,3.0285
2013-07-16,3.0305
2013-07-17,3.0465
2013-07-18,3.0796
2013-07-19,3.1172
2013-07-21,
2013-07-22,3.095
2013-07-23,3.0721
2013-07-24,3.0726
2013-07-25,3.0433
2013-07-26,3.0301
2013-07-28,
2013-07-29,3.0166
2013-07-30,3.0162
2013-07-31,3.0097
2013-08-01,3.0565
2013-08-02,3.0975
2013-08-04,
2013-08-05,3.0714
2013-08-06,3.0476
2013-08-07,3.0083
2013-08-08,2.966
2013-08-09,2.9619
2013-08-11,
2013-08-12,2.9918
2013-08-13,3.0236
2013-08-14,3.0351
2013-08-15,3.0526
2013-08-16,3.0695
2013-08-18,
2013-08-19,3.088
2013-08-20,3.068
2013-08-21,3.0774
2013-08-22,3.0755
2013-08-23,3.0718
2013-08-25,
2013-08-26,3.0996
2013-08-27,3.0875
2013-08-28,3.166
2013-08-29,3.1925
2013-08-30,3.1706
2013-09-01,
2013-09-03,3.1275
2013-09-04,3.1464
2013-09-05,3.1347
2013-09-06,3.1395
2013-09-08,
2013-09-09,3.1579
2013-09-10,3.1081
2013-09-11,3.066
2013-09-12,3.0811
2013-09-13,3.1217
2013-09-15,
2013-09-16,3.1047
2013-09-17,3.0573
2013-09-18,2.9869
2013-09-19,3.035
2013-09-20,3.005
2013-09-22,
2013-09-23,3.006
2013-09-24,2.9472
2013-09-25,2.96
2013-09-26,2.9667
2013-09-27,2.9952
2013-09-29,
2013-09-30,2.9817
2013-10-01,2.9692
2013-10-02,2.9547
2013-10-03,2.9917
2013-10-04,2.9996
2013-10-06,
2013-10-07,2.9991
2013-10-08,3.0062
2013-10-09,3.0332
2013-10-10,3.0127
2013-10-11,3.0581
2013-10-13,
2013-10-14,3.0339
2013-10-15,3.0296
2013-10-16,3.0086
2013-10-17,3.0384
2013-10-18,2.999
2013-10-20,
2013-10-21,3.035
2013-10-22,3.0083
2013-10-23,2.9939
2013-10-24,2.92
2013-10-25,2.9003
2013-10-27,
2013-10-28,2.9142
2013-10-29,2.9569
2013-10-30,2.9601
2013-10-31,2.975
2013-11-01,2.9553
2013-11-03,
2013-11-04,2.8833
2013-11-05,2.8741
2013-11-06,2.8723
2013-11-07,2.8679
2013-11-08,2.8422
2013-11-10,
2013-11-11,2.8664
2013-11-12,2.8908
2013-11-13,2.8575
2013-11-14,2.8926
2013-11-15,2.9304
2013-11-17,
2013-11-18,2.939
2013-11-19,2.9168
2013-11-20,2.9113
2013-11-21,2.9535
2013-11-22,3.0066
2013-11-24,
2013-11-25,3.0175
2013-11-26,3.0314
2013-11-27,3.0486
2013-11-29,
2013-12-01,
2013-12-02,3.0302
2013-12-03,3.0504
2013-12-04,3.0699
2013-12-05,3.0561
2013-12-06,3.057
2013-12-08,
2013-12-09,3.0631
2013-12-10,3.0109
2013-12-11,3.019
2013-12-12,3.0212
2013-12-13,2.9775
2013-12-15,
2013-12-16,2.9836
2013-12-17,2.987
2013-12-18,2.9635
2013-12-19,3.0041
2013-12-20,3.0275
2013-12-22,
2013-12-23,3.075
2013-12-24,
2013-12-26,3.0874
2013-12-27,3.1042
