Date,Close
2013-01-02,13331
2013-01-03,13319
2013-01-04,13346
2013-01-06,
2013-01-07,13307
2013-01-08,13267
2013-01-09,13325
2013-01-10,13406
2013-01-11,13433
2013-01-13,
2013-01-14,13433
2013-01-15,13463
2013-01-16,13437
2013-01-17,13542
2013-01-18,13576
2013-01-20,
2013-01-22,13696
2013-01-23,13719
2013-01-24,13781
2013-01-25,13812
2013-01-27,
2013-01-28,13832
2013-01-29,13908
2013-01-30,13838
2013-01-31,13797
2013-02-01,13930
2013-02-03,
2013-02-04,13845
2013-02-05,13910
2013-02-06,13928
2013-02-07,13898
2013-02-08,13926
2013-02-10,
2013-02-11,13924
2013-02-12,13973
2013-02-13,13958
2013-02-14,13950
2013-02-15,13948
2013-02-17,
2013-02-19,147
2013-02-20,13889
2013-02-21,13872
2013-02-22,13981
2013-02-24,
2013-02-25,13788
2013-02-26,13859
2013-02-27,1460
2013-02-28,1438
2013-03-01,1474
2013-03-03,
2013-03-04,14116
2013-03-05,14233
2013-03-06,14265
2013-03-07,14316
2013-03-08,14373
2013-03-10,
2013-03-10,14444
2013-03-10,
2013-03-10,14444
2013-03-11,14450
2013-03-12,14462
2013-03-13,14523
2013-03-14,14493.8
2013-03-16,
2013-03-17,14390
2013-03-18,14388
2013-03-19,14408
2013-03-20,14347
2013-03-21,14459
2013-03-23,
2013-03-24,14386
2013-03-25,14478
2013-03-26,14445
2013-03-27,14497
2013-03-28,
2013-03-30,
2013-03-31,14489
2013-04-01,14584
2013-04-02,14487
2013-04-03,14531
2013-04-04,14484
2013-04-06,
2013-04-07,14563
2013-04-08,14610
2013-04-09,14733
2013-04-10,14796
2013-04-11,14784
2013-04-13,
2013-04-14,14512
2013-04-15,14685
2013-04-16,14552
2013-04-17,14410
2013-04-18,14470
2013-04-20,
2013-04-21,14499
2013-04-22,14644
2013-04-23,14615
2013-04-24,14653
2013-04-25,14649
2013-04-27,
2013-04-28,14748
2013-04-29,14773
2013-04-30,14636
2013-05-01,14760
2013-05-02,14898
2013-05-04,
2013-05-05,14906
2013-05-06,14983
2013-05-07,1562
2013-05-08,1544
2013-05-09,1568
2013-05-11,
2013-05-12,1557
2013-05-13,15175
2013-05-14,15235
2013-05-15,15212
2013-05-16,15315
2013-05-18,
2013-05-19,15319
2013-05-20,15355
2013-05-21,15320
2013-05-22,15289
2013-05-23,15307
2013-05-25,
2013-05-27,15373
2013-05-28,15290
2013-05-29,15319
2013-05-30,15100
2013-06-01,
2013-06-02,15217
2013-06-03,15179
2013-06-04,14959
2013-06-05,1536
2013-06-06,15208
2013-06-08,
2013-06-09,15228
2013-06-10,15138
2013-06-11,14978
2013-06-12,15186
2013-06-13,1556
2013-06-15,
2013-06-16,15190
2013-06-17,15313
2013-06-18,15116
2013-06-19,14776
2013-06-20,14867.8
2013-06-22,
2013-06-23,14588
2013-06-24,14690
2013-06-25,14824
2013-06-26,14936
2013-06-27,14824
2013-06-29,
2013-06-30,14882
2013-07-01,14861
2013-07-03,
2013-07-04,1576
2013-07-06,
2013-07-07,15160
2013-07-08,15222
2013-07-09,15243
2013-07-10,15393
2013-07-11,15369
2013-07-13,
2013-07-14,15416
2013-07-15,15391
2013-07-16,15440
2013-07-17,15481
2013-07-18,15506
2013-07-20,
2013-07-21,15491
2013-07-22,15513
2013-07-23,15500
2013-07-24,15484
2013-07-25,15498
2013-07-27,
2013-07-28,15483
2013-07-29,15493
2013-07-30,15433
2013-07-31,15550
2013-08-01,15590
2013-08-03,
2013-08-04,15554
2013-08-05,15474
2013-08-06,15442
2013-08-07,15452
2013-08-08,15375
2013-08-10,
2013-08-11,15387
2013-08-12,15411
2013-08-13,15304
2013-08-14,1570
2013-08-15,1538
2013-08-17,
2013-08-18,152
2013-08-19,14985
2013-08-20,14847
2013-08-21,14939
2013-08-22,14990
2013-08-24,
2013-08-25,14931
2013-08-26,14758
2013-08-27,14806
2013-08-28,14834
2013-08-29,14795
2013-08-31,
2013-09-02,14827
2013-09-03,14924
2013-09-04,14917
2013-09-05,14909
2013-09-07,
2013-09-08,1536
