Date,Close
2013-01-02,13344
2013-01-03,13360
2013-01-04,13377
2013-01-06,
2013-01-07,13366
2013-01-08,13324
2013-01-09,13356
2013-01-10,13430
2013-01-11,13436
2013-01-13,
2013-01-14,13457
2013-01-15,13482
2013-01-16,13480
2013-01-17,13575
2013-01-18,13586
2013-01-20,
2013-01-22,13718
2013-01-23,13733
2013-01-24,13818
2013-01-25,13840
2013-01-27,
2013-01-28,13859
2013-01-29,13918
2013-01-30,13919
2013-01-31,13886
2013-02-01,13962
2013-02-03,
2013-02-04,13949
2013-02-05,13958
2013-02-06,13955
2013-02-07,13958
2013-02-08,13975
2013-02-10,
2013-02-11,13963
2013-02-12,13992
2013-02-13,146
2013-02-14,13967
2013-02-15,13977
2013-02-17,
2013-02-19,1423
2013-02-20,1435
2013-02-21,13910
2013-02-22,13995
2013-02-24,
2013-02-25,1464
2013-02-26,13900
2013-02-27,1491
2013-02-28,14133
2013-03-01,1493
2013-03-03,
2013-03-04,14133
2013-03-05,14270
2013-03-06,14309
2013-03-07,14340
2013-03-08,14427
2013-03-10,
2013-03-10,14448
2013-03-10,
2013-03-10,14448
2013-03-11,14473
2013-03-12,14472
2013-03-13,14540
2013-03-14,14553
2013-03-16,
2013-03-17,14448
2013-03-18,14443
2013-03-19,14476
2013-03-20,14441
2013-03-21,14471
2013-03-23,
2013-03-24,14517
2013-03-25,14487
2013-03-26,14495
2013-03-27,14511
2013-03-28,
2013-03-30,
2013-03-31,14533
2013-04-01,14610
2013-04-02,14606
2013-04-03,14557
2013-04-04,14534
2013-04-06,
2013-04-07,14588
2013-04-08,14651
2013-04-09,14763
2013-04-10,14823
2013-04-11,14811
2013-04-13,
2013-04-14,14797
2013-04-15,14698
2013-04-16,14691
2013-04-17,14615
2013-04-18,14505
2013-04-20,
2013-04-21,14550
2013-04-22,14661
2013-04-23,14693
2013-04-24,14711
2013-04-25,14684
2013-04-27,
2013-04-28,14786
2013-04-29,14786
2013-04-30,14793
2013-05-01,14776
2013-05-02,14953
2013-05-04,
2013-05-05,14927
2013-05-06,14997
2013-05-07,1567
2013-05-08,15106
2013-05-09,15112
2013-05-11,
2013-05-12,1570
2013-05-13,15185
2013-05-14,15278
2013-05-15,15278
2013-05-16,15334
2013-05-18,
2013-05-19,15367
2013-05-20,15414
2013-05-21,15523
2013-05-22,15345
2013-05-23,15334
2013-05-25,
2013-05-27,15508
2013-05-28,15390
2013-05-29,15389
2013-05-30,15382
2013-06-01,
2013-06-02,15242
2013-06-03,15298
2013-06-04,15189
2013-06-05,1549
2013-06-06,15249
2013-06-08,
2013-06-09,15293
2013-06-10,15247
2013-06-11,15241
2013-06-12,15205
2013-06-13,15210
2013-06-15,
2013-06-16,15265
2013-06-17,15343
2013-06-18,15348
2013-06-19,15115
2013-06-20,14884
2013-06-22,
2013-06-23,14731
2013-06-24,14738
2013-06-25,14865
2013-06-26,153
2013-06-27,152
2013-06-29,
2013-06-30,1512
2013-07-01,14980
2013-07-03,
2013-07-04,15112
2013-07-06,
2013-07-07,15200
2013-07-08,15258
2013-07-09,15318
2013-07-10,15419
2013-07-11,15433
2013-07-13,
2013-07-14,15444
2013-07-15,15433
2013-07-16,15459
2013-07-17,15533
2013-07-18,15511
2013-07-20,
2013-07-21,15541
2013-07-22,15547
2013-07-23,15564
2013-07-24,15504
2013-07-25,15522
2013-07-27,
2013-07-28,15505
2013-07-29,15537
2013-07-30,15580
2013-07-31,15595
2013-08-01,15600
2013-08-03,
2013-08-04,15597
2013-08-05,15564
2013-08-06,15466
2013-08-07,15523
2013-08-08,15472
2013-08-10,
2013-08-11,15404
2013-08-12,15474
2013-08-13,15426
