Date,Close
2013-01-02,13166
2013-01-03,13287
2013-01-04,13296
2013-01-06,
2013-01-07,13272
2013-01-08,13232
2013-01-09,13264
2013-01-10,13316
2013-01-11,13377
2013-01-13,
2013-01-14,13396
2013-01-15,13378
2013-01-16,13388
2013-01-17,13394
2013-01-18,13514
2013-01-20,
2013-01-22,13531
2013-01-23,13673
2013-01-24,13701
2013-01-25,13744
2013-01-27,
2013-01-28,13803
2013-01-29,13799
2013-01-30,13822
2013-01-31,13797
2013-02-01,13828
2013-02-03,
2013-02-04,13806
2013-02-05,13834
2013-02-06,13852
2013-02-07,13802
2013-02-08,13883
2013-02-10,
2013-02-11,13891
2013-02-12,13888
2013-02-13,13918
2013-02-14,13882
2013-02-15,13879
2013-02-17,
2013-02-19,13933
2013-02-20,13883
2013-02-21,13811
2013-02-22,13876
2013-02-24,
2013-02-25,13746
2013-02-26,13770
2013-02-27,13846
2013-02-28,1412
2013-03-01,13919
2013-03-03,
2013-03-04,143
2013-03-05,14113
2013-03-06,14234
2013-03-07,14260
2013-03-08,14302
2013-03-10,
2013-03-10,14352
2013-03-10,
2013-03-10,14352
2013-03-11,14406
2013-03-12,14409
2013-03-13,14453
2013-03-14,14493.8
2013-03-16,
2013-03-17,14269
2013-03-18,14308
2013-03-19,14347
2013-03-20,14309
2013-03-21,14325
2013-03-23,
2013-03-24,14320
2013-03-25,14385
2013-03-26,14364
2013-03-27,14396
2013-03-28,
2013-03-30,
2013-03-31,14453
2013-04-01,14487
2013-04-02,14454
2013-04-03,14466
2013-04-04,14361
2013-04-06,
2013-04-07,14432
2013-04-08,14532
2013-04-09,14593
2013-04-10,14721
2013-04-11,14726
2013-04-13,
2013-04-14,14468
2013-04-15,14504
2013-04-16,14494
2013-04-17,14403
2013-04-18,14407
2013-04-20,
2013-04-21,14394
2013-04-22,14444
2013-04-23,14608
2013-04-24,14595
2013-04-25,14597
2013-04-27,
2013-04-28,14631
2013-04-29,14673
2013-04-30,14626
2013-05-01,14644
2013-05-02,14742
2013-05-04,
2013-05-05,14881
2013-05-06,14876
2013-05-07,14960
2013-05-08,159
2013-05-09,14998
2013-05-11,
2013-05-12,1512
2013-05-13,1513
2013-05-14,15144
2013-05-15,15192
2013-05-16,15213
2013-05-18,
2013-05-19,15290
2013-05-20,15298
2013-05-21,15241
2013-05-22,15143
2013-05-23,15181
2013-05-25,
2013-05-27,15270
2013-05-28,15209
2013-05-29,15239
2013-05-30,1598
2013-06-01,
2013-06-02,1599
2013-06-03,1588
2013-06-04,14933
2013-06-05,14835
2013-06-06,14996
2013-06-08,
2013-06-09,15178
2013-06-10,1574
2013-06-11,14972
2013-06-12,14873
2013-06-13,1541
2013-06-15,
2013-06-16,1546
2013-06-17,15177
2013-06-18,1595
2013-06-19,14729
2013-06-20,14770
2013-06-22,
2013-06-23,14474
2013-06-24,14527
2013-06-25,14621
2013-06-26,14820
2013-06-27,14801
2013-06-29,
2013-06-30,14791
2013-07-01,14795
2013-07-03,
2013-07-04,14895
2013-07-06,
2013-07-07,1563
2013-07-08,15162
2013-07-09,15192
2013-07-10,15299
2013-07-11,15347
2013-07-13,
2013-07-14,15361
2013-07-15,15352
2013-07-16,15345
2013-07-17,15400
2013-07-18,15429
2013-07-20,
2013-07-21,15458
2013-07-22,15486
2013-07-23,15438
2013-07-24,15398
2013-07-25,15343
2013-07-27,
2013-07-28,15422
2013-07-29,15419
2013-07-30,15431
2013-07-31,15472
2013-08-01,15496
2013-08-03,
2013-08-04,15524
2013-08-05,15414
2013-08-06,15375
2013-08-07,15371
2013-08-08,15305
2013-08-10,
2013-08-11,15290
2013-08-12,15306
2013-08-13,15281
2013-08-14,1556
2013-08-15,1528
2013-08-17,
2013-08-18,14977
2013-08-19,14959
2013-08-20,14826
2013-08-21,14802
2013-08-22,14904
2013-08-24,
2013-08-25,14920
2013-08-26,14744
2013-08-27,14740
2013-08-28,14782
2013-08-29,14745
2013-08-31,
2013-09-02,14761
2013-09-03,14782
2013-09-04,14895
2013-09-05,14776
2013-09-07,
2013-09-08,14892
2013-09-09,1540
2013-09-10,15162
2013-09-11,15284
2013-09-12,15282
2013-09-14,
2013-09-15,15445
2013-09-16,15480
2013-09-17,15472
2013-09-18,15628
2013-09-19,15622
2013-09-21,
2013-09-22,15305
2013-09-23,15261
2013-09-24,15183
2013-09-25,15208
2013-09-26,15134
2013-09-28,
2013-09-29,151
2013-09-30,1533
2013-10-01,14968
2013-10-02,14870
2013-10-03,14891
2013-10-05,
2013-10-06,14841
2013-10-07,14677
2013-10-08,14648
2013-10-09,14720
2013-10-10,14949
2013-10-12,
2013-10-13,1537
2013-10-14,1582
2013-10-15,1586
2013-10-16,15137
2013-10-17,15260
2013-10-19,
2013-10-20,15297
2013-10-21,15304
2013-10-22,15303
2013-10-23,15347
2013-10-24,15416
2013-10-26,
2013-10-27,15468
2013-10-28,15483
2013-10-29,15508
2013-10-30,15477
2013-10-31,15481
2013-11-02,
2013-11-04,15523
2013-11-05,15456
2013-11-06,15546
2013-11-07,15539
2013-11-08,15495
2013-11-10,
2013-11-11,15677
2013-11-12,15657
2013-11-13,15613
2013-11-14,15763
2013-11-15,15825
2013-11-17,
2013-11-18,15895
2013-11-19,15909
2013-11-20,15834
2013-11-21,15848
2013-11-22,15948
2013-11-24,
2013-11-25,1628
2013-11-26,1645
2013-11-27,1643
2013-11-29,
2013-12-01,
2013-12-02,15972
2013-12-03,15847
2013-12-04,15785
2013-12-05,15802
2013-12-06,15819
2013-12-08,
2013-12-09,163
2013-12-10,15962
2013-12-11,15820
2013-12-12,15702
2013-12-13,15716
2013-12-15,
2013-12-16,15665
2013-12-17,15835
2013-12-18,15810
2013-12-19,1698
2013-12-20,16172
2013-12-22,
2013-12-23,16205
2013-12-24,
2013-12-26,16306
2013-12-27,16390
2013-12-29,
2013-12-30,16406
2013-12-31,16436
2014-01-02,16353
2014-01-03,16336
2014-01-05,
2014-01-06,16336
2014-01-07,16355
2014-01-08,16356
2014-01-09,16313
2014-01-10,16317
2014-01-12,
2014-01-13,16179
2014-01-14,16182
2014-01-15,16290
2014-01-16,16312
2014-01-17,16321
2014-01-19,
2014-01-21,16253
2014-01-22,16274
2014-01-23,1678
2014-01-24,15795
2014-01-26,
2014-01-27,15722
2014-01-28,15761
2014-01-29,15643
2014-01-30,15666
2014-01-31,15550
2014-02-02,
2014-02-03,15280
2014-02-04,15282
2014-02-05,15276
2014-02-06,15377
2014-02-07,15471
2014-02-09,
2014-02-10,15675
2014-02-11,15736
2014-02-12,15897
2014-02-13,15822
2014-02-14,15911
2014-02-16,
2014-02-18,1677
2014-02-19,164
2014-02-20,15947
2014-02-21,1672
2014-02-23,
2014-02-24,1639
2014-02-25,16122
2014-02-26,16135
2014-02-27,16102
2014-02-28,16210
2014-03-02,
2014-03-03,1658
2014-03-04,16152
2014-03-05,16330
2014-03-06,16344
2014-03-07,16389
2014-03-09,
2014-03-09,16326
2014-03-09,
2014-03-09,16326
2014-03-10,16320
2014-03-11,16256
2014-03-12,1684
2014-03-13,1647
2014-03-15,
2014-03-16,15979
2014-03-17,16200
2014-03-18,16120
2014-03-19,16153
2014-03-20,16317
2014-03-22,
2014-03-23,16134
2014-03-24,16192
2014-03-25,16170
2014-03-26,16112
2014-03-27,16181
2014-03-29,
2014-03-30,16276
2014-03-31,16359
2014-04-01,16431
2014-04-02,16451
2014-04-03,16312
2014-04-05,
2014-04-06,16167
2014-04-07,16107
