Date,Close
2013-01-02,13177
2013-01-03,13324
2013-01-04,13322
2013-01-06,
2013-01-07,13361
2013-01-08,13312
2013-01-09,13266
2013-01-10,13328
2013-01-11,13425
2013-01-13,
2013-01-14,13432
2013-01-15,13438
2013-01-16,13476
2013-01-17,13434
2013-01-18,13540
2013-01-20,
2013-01-22,13574
2013-01-23,13706
2013-01-24,13702
2013-01-25,13752
2013-01-27,
2013-01-28,13816
2013-01-29,13825
2013-01-30,13905
2013-01-31,13830
2013-02-01,13833
2013-02-03,
2013-02-04,13941
2013-02-05,13838
2013-02-06,13935
2013-02-07,13932
2013-02-08,13898
2013-02-10,
2013-02-11,13938
2013-02-12,13922
2013-02-13,13984
2013-02-14,13955
2013-02-15,13952
2013-02-17,
2013-02-19,13937
2013-02-20,147
2013-02-21,13895
2013-02-22,13876
2013-02-24,
2013-02-25,13985
2013-02-26,13773
2013-02-27,13870
2013-02-28,1462
2013-03-01,1443
2013-03-03,
2013-03-04,1458
2013-03-05,14127
2013-03-06,14247
2013-03-07,14276
2013-03-08,14320
2013-03-10,
2013-03-10,14366
2013-03-10,
2013-03-10,14366
2013-03-11,14440
2013-03-12,14450
2013-03-13,14462
2013-03-14,14522
2013-03-16,
2013-03-17,14368
2013-03-18,14389
2013-03-19,14365
2013-03-20,14412
2013-03-21,14347
2013-03-23,
2013-03-24,14451
2013-03-25,14399
2013-03-26,14481
2013-03-27,14445
2013-03-28,
2013-03-30,
2013-03-31,14508
2013-04-01,14501
2013-04-02,14592
2013-04-03,14489
2013-04-04,14530
2013-04-06,
2013-04-07,14479
2013-04-08,14580
2013-04-09,14610
2013-04-10,14747
2013-04-11,14799
2013-04-13,
2013-04-14,14787
2013-04-15,14505
2013-04-16,14681
2013-04-17,14545
2013-04-18,14424
2013-04-20,
2013-04-21,14475
2013-04-22,14512
2013-04-23,14647
2013-04-24,14610
2013-04-25,14660
2013-04-27,
2013-04-28,14648
2013-04-29,14754
2013-04-30,14783
2013-05-01,14648
2013-05-02,14758
2013-05-04,
2013-05-05,14901
2013-05-06,14901
2013-05-07,14983
2013-05-08,1556
2013-05-09,1554
2013-05-11,
2013-05-12,1539
2013-05-13,1555
2013-05-14,15178
2013-05-15,15239
2013-05-16,15217
2013-05-18,
2013-05-19,15301
2013-05-20,15315
2013-05-21,15358
2013-05-22,15333
2013-05-23,15298
2013-05-25,
2013-05-27,15305
2013-05-28,15369
2013-05-29,15292
2013-05-30,15323
2013-06-01,
2013-06-02,15118
2013-06-03,15220
2013-06-04,15169
2013-06-05,14962
2013-06-06,1531
2013-06-08,
2013-06-09,15194
2013-06-10,15225
2013-06-11,15140
2013-06-12,14984
2013-06-13,15192
2013-06-15,
2013-06-16,1552
2013-06-17,15192
2013-06-18,15335
2013-06-19,15101
2013-06-20,14775
2013-06-22,
2013-06-23,14715
2013-06-24,14595
2013-06-25,14684
2013-06-26,14831
