Date,Close
2013-01-02,151501
2013-01-03,116327
2013-01-04,100235
2013-01-06,
2013-01-07,86399
2013-01-08,103867
2013-01-09,84372
2013-01-10,112191
2013-01-11,81514
2013-01-13,
2013-01-14,89707
2013-01-15,101346
2013-01-16,87864
2013-01-17,121261
2013-01-18,89755
2013-01-20,
2013-01-22,117582
2013-01-23,85885
2013-01-24,1266
2013-01-25,1001
2013-01-27,
2013-01-28,83452
2013-01-29,90592
2013-01-30,110101
2013-01-31,102363
2013-02-01,120751
2013-02-03,
2013-02-04,114174
2013-02-05,113758
2013-02-06,115320
2013-02-07,140869
2013-02-08,10150
2013-02-10,
2013-02-11,84679
2013-02-12,85827
2013-02-13,87775
2013-02-14,9749
2013-02-15,108785
2013-02-17,
2013-02-19,10216
2013-02-20,134966
2013-02-21,182609
2013-02-22,136269
2013-02-24,
2013-02-25,222411
2013-02-26,233528
2013-02-27,183260
2013-02-28,151404
2013-03-01,197210
2013-03-03,
2013-03-04,1415
2013-03-05,150612
2013-03-06,130149
2013-03-07,104517
2013-03-08,92522
2013-03-10,
2013-03-10,39282
2013-03-10,
2013-03-10,39282
2013-03-11,31938
2013-03-12,21275
2013-03-13,25134
2013-03-14,97955
2013-03-16,
2013-03-17,167584
2013-03-18,210333
2013-03-19,134708
2013-03-20,165101
2013-03-21,138866
2013-03-23,
2013-03-24,207407
2013-03-25,111768
2013-03-26,130736
2013-03-27,12151
2013-03-28,
2013-03-30,
2013-03-31,86213
2013-04-01,129304
2013-04-02,17730
2013-04-03,175242
2013-04-04,184154
2013-04-06,
2013-04-07,118391
2013-04-08,131463
2013-04-09,135206
2013-04-10,130447
2013-04-11,141370
2013-04-13,
2013-04-14,258391
2013-04-15,187105
2013-04-16,238623
2013-04-17,211144
2013-04-18,153797
2013-04-20,
2013-04-21,166375
2013-04-22,182635
2013-04-23,12820
2013-04-24,137560
2013-04-25,121928
2013-04-27,
2013-04-28,105831
2013-04-29,116165
2013-04-30,112691
2013-05-01,136614
2013-05-02,138865
2013-05-04,
2013-05-05,73286
2013-05-06,105798
2013-05-07,98396
2013-05-08,13779
2013-05-09,136164
