Date,Close
2020-01-24,0.48688
2020-01-26,0.48125
2020-01-27,0.48125
2020-01-28,0.47438
2020-01-29,0.48375
2020-01-30,0.495
2020-01-31,0.4825
2020-02-02,0.4775
2020-02-03,0.4775
2020-02-04,0.45625
2020-02-05,0.4525
2020-02-06,0.4625
2020-02-07,0.46875
2020-02-09,0.47438
2020-02-10,0.47438
2020-02-11,0.46313
2020-02-12,0.4625
2020-02-13,0.47188
2020-02-14,0.47188
2020-02-16,0.4725
2020-02-18,0.4725
2020-02-19,0.47875
2020-02-20,0.50625
2020-02-21,0.51
2020-02-23,0.50125
2020-02-24,0.50125
2020-02-25,0.485
2020-02-26,0.48188
2020-02-27,0.4725
2020-02-28,0.47438
2020-03-01,0.47375
2020-03-02,0.47375
2020-03-03,0.48188
2020-03-04,0.48
2020-03-05,0.47438
2020-03-06,0.46438
2020-03-08,0.44625
2020-03-09,0.44625
2020-03-10,0.39188
2020-03-11,0.40688
2020-03-12,0.40125
2020-03-13,0.39188
2020-03-15,0.40875
2020-03-16,0.40875
2020-03-17,0.38125
2020-03-18,0.37
2020-03-19,0.34938
2020-03-20,0.35875
2020-03-22,0.34688
2020-03-23,0.34688
2020-03-24,0.32563
2020-03-25,0.34437
2020-03-26,0.35
2020-03-27,0.35313
2020-03-29,0.35563
2020-03-30,0.35563
2020-03-31,0.35563
2020-04-01,0.37375
2020-04-02,0.35563
2020-04-03,0.37188
2020-04-05,0.38313
2020-04-06,0.38313
2020-04-07,0.37375
2020-04-08,0.37438
2020-04-09,0.38188
2020-04-12,0.39375
2020-04-13,0.39375
2020-04-14,0.41063
2020-04-15,0.41125
2020-04-16,0.405
2020-04-17,0.40813
2020-04-19,0.43375
2020-04-20,0.43375
2020-04-21,0.41313
2020-04-22,0.375
2020-04-23,0.41125
2020-04-24,0.4025
2020-04-26,0.3925
2020-04-27,0.3925
2020-04-28,0.3825
2020-04-29,0.38813
2020-04-30,0.395
2020-05-01,0.38625
2020-05-03,0.37875
2020-05-04,0.37875
