Date,Close
2013-01-02,2738.75
2013-01-03,2725.5
2013-01-04,2713
2013-01-06,
2013-01-07,2717.75
2013-01-08,2714
2013-01-09,2722
2013-01-10,2737
2013-01-11,2743.75
2013-01-13,
2013-01-14,2728.75
2013-01-15,2714.25
2013-01-16,2726
2013-01-17,2740.5
2013-01-18,2733.75
2013-01-20,
2013-01-22,2751
2013-01-23,2759
2013-01-24,2718.25
2013-01-25,2728
2013-01-27,
2013-01-28,2737.5
2013-01-29,2742.75
2013-01-30,2735.75
2013-01-31,2725
2013-02-01,2756.5
2013-02-03,
2013-02-04,2711.5
2013-02-05,2749.25
2013-02-06,2737.25
2013-02-07,2742
2013-02-08,2772
2013-02-10,
2013-02-11,2770.5
2013-02-12,2760.75
2013-02-13,2770.25
2013-02-14,2767.25
2013-02-15,2761.25
2013-02-17,
2013-02-19,2780.75
2013-02-20,2737.5
2013-02-21,2714
2013-02-22,2735.75
2013-02-24,
2013-02-25,2702.25
2013-02-26,2707.75
2013-02-27,2740.5
2013-02-28,2738
2013-03-01,2748.75
2013-03-03,
2013-03-04,2760
2013-03-05,2798.25
2013-03-06,2788.25
2013-03-07,2799.25
2013-03-08,2801.5
2013-03-10,
2013-03-10,2809.75
2013-03-10,
2013-03-10,2809.75
2013-03-11,2803
2013-03-12,2799
2013-03-13,2806
2013-03-14,2807
2013-03-16,
2013-03-17,2787
2013-03-18,2779.5
2013-03-19,2785.25
2013-03-20,2769.75
2013-03-21,2793.5
2013-03-23,
2013-03-24,2784.25
2013-03-25,2799.75
2013-03-26,2801
2013-03-27,2811
2013-03-28,
2013-03-30,
2013-03-31,2788
2013-04-01,2812.75
2013-04-02,2787
2013-04-03,2785
2013-04-04,2763
2013-04-06,
2013-04-07,2781
2013-04-08,2797.5
2013-04-09,2853.25
2013-04-10,2853.25
2013-04-11,2846.25
2013-04-13,
2013-04-14,2783.5
2013-04-15,2828
2013-04-16,2774.5
2013-04-17,2739.5
2013-04-18,2768.25
2013-04-20,
2013-04-21,2797.25
2013-04-22,2823
2013-04-23,2824
2013-04-24,2844
2013-04-25,2830.5
2013-04-27,
2013-04-28,2858.75
2013-04-29,2880
2013-04-30,2863.5
2013-05-01,2902
2013-05-02,2935
2013-05-04,
2013-05-05,2947.5
2013-05-06,2946.5
2013-05-07,2961.75
2013-05-08,2958
2013-05-09,2975.5
2013-05-11,
2013-05-12,2981
2013-05-13,2995.25
2013-05-14,31
2013-05-15,2998.25
2013-05-16,322.75
2013-05-18,
2013-05-19,321
2013-05-20,321.5
2013-05-21,31
2013-05-22,2992.25
2013-05-23,2992.25
2013-05-25,
2013-05-27,33.5
2013-05-28,2995.5
2013-05-29,310
2013-05-30,2980.25
2013-06-01,
2013-06-02,2985.5
2013-06-03,2974.75
2013-06-04,2938.5
2013-06-05,2949.5
2013-06-06,2980.5
2013-06-08,
2013-06-09,2987
2013-06-10,2963.5
2013-06-11,2920.25
2013-06-12,2962.25
2013-06-13,2942
2013-06-15,
2013-06-16,2970
2013-06-17,2993.5
2013-06-18,2961.5
2013-06-19,2886.5
2013-06-20,2895.5
2013-06-22,
2013-06-23,2844
2013-06-24,2858.25
2013-06-25,2883
2013-06-26,2899.5
2013-06-27,2901.25
2013-06-29,
2013-06-30,2917
2013-07-01,2923.25
2013-07-03,
2013-07-04,2956.5
2013-07-06,
2013-07-07,2958.75
2013-07-08,2974.25
2013-07-09,2996.25
2013-07-10,355
2013-07-11,362
2013-07-13,
2013-07-14,373
2013-07-15,370.75
2013-07-16,379.25
2013-07-17,347.5
2013-07-18,340.75
2013-07-20,
2013-07-21,347.5
2013-07-22,326
2013-07-23,348
2013-07-24,350
2013-07-25,370.5
2013-07-27,
2013-07-28,365.5
2013-07-29,385.5
2013-07-30,383
2013-07-31,3112.75
2013-08-01,3136
2013-08-03,
2013-08-04,3136
2013-08-05,3118
2013-08-06,3116
2013-08-07,3127
2013-08-08,3113.25
2013-08-10,
2013-08-11,3124
2013-08-12,3137
2013-08-13,3123.25
2013-08-14,371
2013-08-15,369.75
2013-08-17,
2013-08-18,370.5
2013-08-19,381
2013-08-20,362.5
2013-08-21,3101.75
2013-08-22,3121.25
2013-08-24,
2013-08-25,3121
2013-08-26,359.5
2013-08-27,368.25
2013-08-28,389.5
2013-08-29,373.5
2013-08-31,
2013-09-02,386.5
2013-09-03,3128.25
2013-09-04,3128
2013-09-05,3129.5
2013-09-07,
2013-09-08,3165
2013-09-09,3182.75
2013-09-10,3178.5
2013-09-11,3176
2013-09-12,3177.75
2013-09-14,
2013-09-15,3167.75
2013-09-16,3190.75
2013-09-17,3228.75
2013-09-18,3239.25
2013-09-19,3248
2013-09-21,
2013-09-22,3209
2013-09-23,3213.25
2013-09-24,3200
2013-09-25,3226
2013-09-26,3223
2013-09-28,
2013-09-29,3209
2013-09-30,3245.5
2013-10-01,3237.5
2013-10-02,3202.25
2013-10-03,3234.5
2013-10-05,
2013-10-06,3205
2013-10-07,3150.75
2013-10-08,3132.5
2013-10-09,3193.5
2013-10-10,3225.5
2013-10-12,
2013-10-13,3248.25
2013-10-14,3240.75
2013-10-15,3264
2013-10-16,3301
2013-10-17,3342
2013-10-19,
2013-10-20,3354
2013-10-21,3356.5
2013-10-22,3340
2013-10-23,3371
2013-10-24,3373.75
2013-10-26,
2013-10-27,3383.25
2013-10-28,3384
2013-10-29,3392.25
2013-10-30,3369
2013-10-31,3368
2013-11-02,
2013-11-04,3377.5
2013-11-05,3379.75
2013-11-06,3376
2013-11-07,3319.5
2013-11-08,3360.5
2013-11-10,
2013-11-11,3354.25
2013-11-12,3364.5
2013-11-13,3402
2013-11-14,3410.5
2013-11-15,3416.5
2013-11-17,
2013-11-18,3384
2013-11-19,3375.5
2013-11-20,3366.5
2013-11-21,3400.5
2013-11-22,3420
2013-11-24,
2013-11-25,3429
2013-11-26,3447.25
2013-11-27,3468.5
2013-11-29,
2013-12-01,
2013-12-02,3483
2013-12-03,3475.75
2013-12-04,3482.5
2013-12-05,3478.75
2013-12-06,3504
2013-12-08,
2013-12-09,3518.5
2013-12-10,3516
2013-12-11,3470.5
2013-12-12,3459.5
2013-12-13,3457.5
2013-12-15,
2013-12-16,3474.5
2013-12-17,3465.25
2013-12-18,3512.75
2013-12-19,3497
2013-12-20,3503
2013-12-22,
2013-12-23,3564.75
2013-12-24,
2013-12-26,3581.75
2013-12-27,3570.25
2013-12-29,
2013-12-30,3565.75
2013-12-31,3583.75
2014-01-02,3559.25
2014-01-03,3531.5
2014-01-05,
2014-01-06,3517.75
2014-01-07,3548.75
2014-01-08,3564.75
2014-01-09,3547.75
2014-01-10,3561.5
2014-01-12,
2014-01-13,3509.5
2014-01-14,3573.75
2014-01-15,3598.25
2014-01-16,3595.25
2014-01-17,3584.75
2014-01-19,
2014-01-21,3609.5
2014-01-22,3620.5
2014-01-23,3613.75
2014-01-24,3532.25
2014-01-26,
2014-01-27,3503
2014-01-28,3501
2014-01-29,3473
2014-01-30,3502
2014-01-31,3514
2014-02-02,
2014-02-03,3430
2014-02-04,3452
2014-02-05,3445.5
2014-02-06,3487.25
2014-02-07,3558
2014-02-09,
2014-02-10,3577.5
2014-02-11,3612.75
2014-02-12,3624.5
2014-02-13,3651
2014-02-14,3661
2014-02-16,
2014-02-18,3675
2014-02-19,3654.5
2014-02-20,3671.5
2014-02-21,3664.5
2014-02-23,
2014-02-24,3688
2014-02-25,3688.5
2014-02-26,3673.75
2014-02-27,3701.5
2014-02-28,3695.25
2014-03-02,
2014-03-03,3668.75
2014-03-04,3716.75
2014-03-05,3728.25
2014-03-06,3722
2014-03-07,3704.25
2014-03-09,
2014-03-09,3707.5
2014-03-09,
2014-03-09,3707.5
2014-03-10,3688.5
2014-03-11,3706.75
2014-03-12,3651.25
2014-03-13,3627.75
2014-03-15,
2014-03-16,3658.25
2014-03-17,3701.5
2014-03-18,3681.75
2014-03-19,3699
2014-03-20,3718
2014-03-22,
2014-03-23,3611
2014-03-24,3623.75
2014-03-25,3572.75
2014-03-26,3554.25
2014-03-27,3563
2014-03-29,
2014-03-30,3586.25
2014-03-31,3650.25
2014-04-01,3658.25
2014-04-02,3630.75
2014-04-03,3537.5
2014-04-05,
2014-04-06,3499.25
2014-04-07,3528.5
2014-04-08,3591
2014-04-09,3480
2014-04-10,3444
2014-04-12,
2014-04-13,3470.25
2014-04-14,3491.25
2014-04-15,3501.5
2014-04-16,3523.25
2014-04-19,
2014-04-20,3551.25
2014-04-21,3585
2014-04-22,3554.5
2014-04-23,3584.75
2014-04-24,3530.5
2014-04-26,
2014-04-27,3540.75
2014-04-28,3563.75
2014-04-29,3573.25
2014-04-30,3586.75
2014-05-01,3579.25
2014-05-03,
2014-05-04,3590.75
2014-05-05,3551
2014-05-06,3540.5
2014-05-07,3537.5
2014-05-08,3548
2014-05-10,
2014-05-11,3607.75
2014-05-12,3608.75
2014-05-13,3596.25
2014-05-14,3563.25
2014-05-15,3582.75
2014-05-17,
2014-05-18,3613.25
2014-05-19,3596.5
2014-05-20,3633.5
2014-05-21,3648
2014-05-22,3675
2014-05-24,
2014-05-26,3721.25
2014-05-27,3716
2014-05-28,3735.5
2014-05-29,3735.5
2014-05-31,
2014-06-01,3727.5
2014-06-02,3730.75
2014-06-03,3743.25
2014-06-04,3776.25
2014-06-05,3798
2014-06-07,
2014-06-08,3793.75
2014-06-09,3800.5
2014-06-10,3798.25
2014-06-11,3771.25
2014-06-12,3775.75
2014-06-14,
2014-06-15,3779.25
2014-06-16,3779.5
2014-06-17,3803.5
2014-06-18,3797.25
2014-06-19,3806
2014-06-21,
2014-06-22,3794.5
2014-06-23,3794.5
2014-06-24,3814.75
2014-06-25,3817.5
2014-06-26,3831.5
2014-06-28,
2014-06-29,3840.5
2014-06-30,3884.75
2014-07-01,3889.75
2014-07-03,
2014-07-05,
2014-07-06,3904.25
2014-07-07,3863.25
2014-07-08,3885.5
2014-07-09,3873.75
2014-07-10,3897.5
2014-07-12,
2014-07-13,3919.25
2014-07-14,3912.5
2014-07-15,3922.5
2014-07-16,3876
2014-07-17,3930.25
2014-07-19,
2014-07-20,3925.75
2014-07-21,3950.5
2014-07-22,3975.5
2014-07-23,3971.75
2014-07-24,3955.5
2014-07-26,
2014-07-27,3960
2014-07-28,3952.25
2014-07-29,3968.5
2014-07-30,3884.75
2014-07-31,3873.25
2014-08-02,
2014-08-03,3896.75
2014-08-04,3871.75
2014-08-05,3868.75
2014-08-06,3856.75
2014-08-07,3873.5
2014-08-09,
2014-08-10,3905
2014-08-11,3903.5
2014-08-12,3945.75
2014-08-13,3968
2014-08-14,3985
2014-08-16,
2014-08-17,413.25
2014-08-18,434.25
2014-08-19,439.5
2014-08-20,447.5
2014-08-21,454.75
2014-08-23,
2014-08-24,463.5
2014-08-25,472.25
2014-08-26,472.75
2014-08-27,469.75
2014-08-28,482
2014-08-30,
2014-09-01,492
2014-09-02,471.75
2014-09-03,469.25
2014-09-04,486.5
2014-09-06,
2014-09-07,493
2014-09-08,466
2014-09-09,493
2014-09-10,491
2014-09-11,469.75
2014-09-13,
2014-09-14,433.5
2014-09-15,466
2014-09-16,472.5
2014-09-17,4103.75
2014-09-18,4118.5
2014-09-20,
2014-09-21,452.75
2014-09-22,437
2014-09-23,487.75
2014-09-24,47.5
2014-09-25,445.75
2014-09-27,
2014-09-28,435.5
2014-09-29,444.75
2014-09-30,3982.5
2014-10-01,3978
2014-10-02,416
2014-10-04,
2014-10-05,47
2014-10-06,3956.25
2014-10-07,430.5
2014-10-08,3970.25
2014-10-09,3853
2014-10-11,
2014-10-12,3798.5
2014-10-13,3811.75
2014-10-14,3752
2014-10-15,3741.5
2014-10-16,3804
2014-10-18,
2014-10-19,3866
2014-10-20,3971.5
2014-10-21,3949.25
2014-10-22,45.25
2014-10-23,434.75
2014-10-25,
2014-10-26,438.25
2014-10-27,494
2014-10-28,472.25
2014-10-29,489.5
2014-10-30,4150.5
2014-11-01,
2014-11-03,4157.25
2014-11-04,4143.5
2014-11-05,4142.5
2014-11-06,4162.75
2014-11-07,4150.75
2014-11-09,
2014-11-10,4170.25
2014-11-11,4183.25
2014-11-12,4196
2014-11-13,4205
2014-11-14,4222
2014-11-16,
2014-11-17,4212.25
2014-11-18,4238
2014-11-19,4223.75
2014-11-20,4245
2014-11-21,4249.25
2014-11-23,
2014-11-24,4282
2014-11-25,4292.5
2014-11-26,4317.75
2014-11-28,
2014-11-30,
2014-12-01,4286.5
2014-12-02,4305.5
2014-12-03,4310.5
2014-12-04,4313.5
2014-12-05,4313.25
2014-12-07,
2014-12-08,4279
2014-12-09,4290.75
2014-12-10,4227
2014-12-11,4236.5
2014-12-12,4189.5
2014-12-14,
2014-12-15,4163.75
2014-12-16,486.5
2014-12-17,4162.75
2014-12-18,4265
2014-12-19,4261
2014-12-21,
2014-12-22,4291.75
2014-12-23,4278
2014-12-24,
2014-12-26,4310.25
2014-12-28,
2014-12-29,4311
2014-12-30,4282.75
2014-12-31,4232.75
2015-01-02,4214.25
2015-01-04,
2015-01-05,4161.75
2015-01-06,4102.25
2015-01-07,4151.5
2015-01-08,4232.25
2015-01-09,4200.75
2015-01-11,
2015-01-12,4166.5
2015-01-13,4158.5
2015-01-14,4145.5
2015-01-15,489
2015-01-16,4134
2015-01-18,
2015-01-20,4167
2015-01-21,4182.75
2015-01-22,4264.75
2015-01-23,4267
2015-01-25,
2015-01-26,4269.25
2015-01-27,4177.5
2015-01-28,4124.25
2015-01-29,4185.75
2015-01-30,4141.25
2015-02-01,
2015-02-02,4185.5
2015-02-03,4216.25
2015-02-04,4204
2015-02-05,4247.5
2015-02-06,4227.5
2015-02-08,
2015-02-09,4214.25
2015-02-10,4276
2015-02-11,4296.5
2015-02-12,4344.75
2015-02-13,4377
2015-02-15,
2015-02-17,4381.75
2015-02-18,4386
2015-02-19,4413.25
2015-02-20,4438
2015-02-22,
2015-02-23,4444.5
2015-02-24,4450.25
2015-02-25,4436.75
2015-02-26,4461.75
2015-02-27,4442.5
2015-03-01,
2015-03-02,4477
2015-03-03,4456.5
2015-03-04,4444.25
2015-03-05,4449.5
2015-03-06,4405
2015-03-08,
2015-03-08,4413.5
2015-03-08,
2015-03-08,4413.5
2015-03-09,4331.25
2015-03-10,4307.5
2015-03-11,4330.75
2015-03-12,4308.75
2015-03-14,
2015-03-15,4359.5
2015-03-16,4377.75
2015-03-17,4427.25
