Date,Close
2013-01-02,2686.25
2013-01-03,2719
2013-01-04,2711.25
2013-01-06,
2013-01-07,2702.5
2013-01-08,2698.5
2013-01-09,2711.25
2013-01-10,2713.75
2013-01-11,2732.25
2013-01-13,
2013-01-14,2719.25
2013-01-15,2705.25
2013-01-16,2710.5
2013-01-17,2716.5
2013-01-18,2722.5
2013-01-20,
2013-01-22,2720.75
2013-01-23,2728.5
2013-01-24,2707.75
2013-01-25,2711.75
2013-01-27,
2013-01-28,2726.25
2013-01-29,2716.25
2013-01-30,2726.25
2013-01-31,2723.75
2013-02-01,2730.5
2013-02-03,
2013-02-04,2709
2013-02-05,2709.25
2013-02-06,2733
2013-02-07,2712.75
2013-02-08,2741
2013-02-10,
2013-02-11,2763.5
2013-02-12,2758.75
2013-02-13,2762.75
2013-02-14,2756
2013-02-15,2754.25
2013-02-17,
2013-02-19,2758.25
2013-02-20,2725
2013-02-21,2699.5
2013-02-22,2714.25
2013-02-24,
2013-02-25,2691.75
2013-02-26,2689
2013-02-27,2703.25
2013-02-28,2732.5
2013-03-01,2711.75
2013-03-03,
2013-03-04,2732.75
2013-03-05,2761
2013-03-06,2788.25
2013-03-07,2788.5
2013-03-08,2792.5
2013-03-10,
2013-03-10,2791.25
2013-03-10,
2013-03-10,2791.25
2013-03-11,2787.75
2013-03-12,2787.75
2013-03-13,2797.5
2013-03-14,2804.5
2013-03-16,
2013-03-17,2748.25
2013-03-18,2755.25
2013-03-19,2771.75
2013-03-20,2761.25
2013-03-21,2763.25
2013-03-23,
2013-03-24,2771
2013-03-25,2784.5
2013-03-26,2776.5
2013-03-27,2791.5
2013-03-28,
2013-03-30,
2013-03-31,2784.25
2013-04-01,2786.25
2013-04-02,2780.25
2013-04-03,2772.5
2013-04-04,2737.5
2013-04-06,
2013-04-07,2757
2013-04-08,2773
2013-04-09,2794.75
2013-04-10,2843.25
2013-04-11,2828.25
2013-04-13,
2013-04-14,2771.25
2013-04-15,2785.25
2013-04-16,2758.25
2013-04-17,2724
2013-04-18,2736.75
2013-04-20,
2013-04-21,2770.75
2013-04-22,2785
2013-04-23,2816
2013-04-24,2814
2013-04-25,2822.25
2013-04-27,
2013-04-28,2827.5
2013-04-29,2853.25
2013-04-30,2862.25
2013-05-01,2867.25
2013-05-02,2900.25
2013-05-04,
2013-05-05,2936.5
2013-05-06,2937.25
2013-05-07,2941.75
2013-05-08,2950
2013-05-09,2958.75
2013-05-11,
2013-05-12,2960.5
2013-05-13,2971.25
2013-05-14,2982.5
2013-05-15,2996
2013-05-16,2998
2013-05-18,
2013-05-19,310
2013-05-20,310
2013-05-21,2983.75
2013-05-22,2961.25
2013-05-23,2963.5
2013-05-25,
2013-05-27,2985
2013-05-28,2978.25
2013-05-29,2981.75
2013-05-30,2976.25
2013-06-01,
2013-06-02,2950
2013-06-03,2961
2013-06-04,2932
2013-06-05,2910.5
2013-06-06,2940
2013-06-08,
2013-06-09,2976.25
2013-06-10,2949.5
2013-06-11,2919.5
2013-06-12,2897.75
2013-06-13,2938.75
2013-06-15,
2013-06-16,2936.5
2013-06-17,2971
2013-06-18,2958.25
2013-06-19,2882.25
2013-06-20,2882.25
2013-06-22,
2013-06-23,2817.75
2013-06-24,2830.75
2013-06-25,2845.75
2013-06-26,2882.25
2013-06-27,2884.25
2013-06-29,
2013-06-30,2894.25
2013-07-01,2907.25
2013-07-03,
2013-07-04,2927.75
2013-07-06,
2013-07-07,2948.75
2013-07-08,2959
2013-07-09,2969
2013-07-10,311.5
2013-07-11,349.25
2013-07-13,
2013-07-14,362.75
2013-07-15,363.75
2013-07-16,365.5
2013-07-17,346
2013-07-18,330.5
2013-07-20,
2013-07-21,338.5
2013-07-22,323.5
2013-07-23,328.75
2013-07-24,327.5
2013-07-25,337.5
2013-07-27,
2013-07-28,356.75
2013-07-29,365.5
2013-07-30,379.25
2013-07-31,388.75
2013-08-01,3112.25
2013-08-03,
2013-08-04,3128
2013-08-05,3106.25
2013-08-06,390.75
2013-08-07,3108.5
2013-08-08,3107
2013-08-10,
2013-08-11,394.25
2013-08-12,3104.75
2013-08-13,3114.25
2013-08-14,366.5
2013-08-15,368.25
2013-08-17,
2013-08-18,360.25
2013-08-19,363.5
2013-08-20,359.25
2013-08-21,355.5
2013-08-22,396.5
2013-08-24,
2013-08-25,3117.25
2013-08-26,352.5
2013-08-27,356
2013-08-28,364
2013-08-29,362
2013-08-31,
2013-09-02,376
2013-09-03,383.25
2013-09-04,3124
2013-09-05,396.5
2013-09-07,
2013-09-08,3130.5
2013-09-09,3167.25
2013-09-10,3160
2013-09-11,3170.25
2013-09-12,3161.75
2013-09-14,
2013-09-15,3163
2013-09-16,3163
2013-09-17,3189.75
2013-09-18,3232
2013-09-19,3234
2013-09-21,
2013-09-22,3198
2013-09-23,3202.75
2013-09-24,3195.75
2013-09-25,3202.25
2013-09-26,3203
2013-09-28,
2013-09-29,3178.25
2013-09-30,3213
2013-10-01,3221
2013-10-02,3189.25
2013-10-03,3199.5
2013-10-05,
2013-10-06,3201.75
2013-10-07,3144.25
2013-10-08,3110.75
2013-10-09,3132.75
2013-10-10,3175.75
2013-10-12,
2013-10-13,3195
2013-10-14,3234
2013-10-15,3234.75
2013-10-16,3255.25
2013-10-17,3306.75
2013-10-19,
2013-10-20,3342.5
2013-10-21,3338
2013-10-22,3322.25
2013-10-23,3335.5
2013-10-24,3361.25
2013-10-26,
2013-10-27,3360.75
2013-10-28,3368.5
2013-10-29,3364.25
2013-10-30,3360.75
2013-10-31,3357.5
2013-11-02,
2013-11-04,3366.75
2013-11-05,3355.75
2013-11-06,3370.25
2013-11-07,3314.25
2013-11-08,3310
2013-11-10,
2013-11-11,3345.5
2013-11-12,3343.75
2013-11-13,3338.25
2013-11-14,3386.75
2013-11-15,3405.25
2013-11-17,
2013-11-18,3380.25
2013-11-19,3370.75
2013-11-20,3358.5
2013-11-21,3360.25
2013-11-22,3400
2013-11-24,
2013-11-25,3420.25
2013-11-26,3422.75
2013-11-27,3445.75
2013-11-29,
2013-12-01,
2013-12-02,3476.75
2013-12-03,3466.25
2013-12-04,3453.25
2013-12-05,3468.75
2013-12-06,3477
2013-12-08,
2013-12-09,3505
2013-12-10,3507.75
2013-12-11,3464.5
2013-12-12,3455.5
2013-12-13,3449.75
2013-12-15,
2013-12-16,3434.5
2013-12-17,3460.75
2013-12-18,3422
2013-12-19,3482.5
2013-12-20,3496
2013-12-22,
2013-12-23,3541
2013-12-24,
2013-12-26,3568.25
2013-12-27,3567
2013-12-29,
2013-12-30,3556
2013-12-31,3565
2014-01-02,3549
2014-01-03,3527.25
2014-01-05,
2014-01-06,3505.75
2014-01-07,3516
2014-01-08,3544
2014-01-09,3535.5
2014-01-10,3529.5
2014-01-12,
2014-01-13,3492.5
2014-01-14,3503.25
2014-01-15,3570.75
2014-01-16,3594
2014-01-17,3574.25
2014-01-19,
2014-01-21,3577.5
2014-01-22,3605
2014-01-23,3581.5
2014-01-24,3527.75
2014-01-26,
2014-01-27,3468
2014-01-28,3465.75
2014-01-29,3454.25
2014-01-30,3471
2014-01-31,3479.25
2014-02-02,
2014-02-03,3425.25
2014-02-04,3431.5
2014-02-05,3412
2014-02-06,3447.75
2014-02-07,3479.5
2014-02-09,
2014-02-10,3550.5
2014-02-11,3578.5
2014-02-12,3610.25
2014-02-13,3596.75
2014-02-14,3638
2014-02-16,
2014-02-18,3654
2014-02-19,3645.25
2014-02-20,3638.25
2014-02-21,3660.75
2014-02-23,
2014-02-24,3655
