Date,Close
2013-01-02,2686.25
2013-01-03,2739
2013-01-04,2726.5
2013-01-06,
2013-01-07,2716.25
2013-01-08,2718.75
2013-01-09,2715
2013-01-10,2722.5
2013-01-11,2742.5
2013-01-13,
2013-01-14,2744
2013-01-15,2731
2013-01-16,2720.75
2013-01-17,2726.25
2013-01-18,2735.5
2013-01-20,
2013-01-22,2734.25
2013-01-23,2756.5
2013-01-24,2716.25
2013-01-25,2714.25
2013-01-27,
2013-01-28,2729.5
2013-01-29,2734.75
2013-01-30,2745.5
2013-01-31,2734
2013-02-01,2733
2013-02-03,
2013-02-04,2759.25
2013-02-05,2710
2013-02-06,2753.5
2013-02-07,2739.5
2013-02-08,2742
2013-02-10,
2013-02-11,2771.25
2013-02-12,2770.75
2013-02-13,2765.25
2013-02-14,2766.75
2013-02-15,2769.25
2013-02-17,
2013-02-19,2759.75
2013-02-20,2784.5
2013-02-21,2736
2013-02-22,2716
2013-02-24,
2013-02-25,2736.75
2013-02-26,2702.25
2013-02-27,2711
2013-02-28,2741
2013-03-01,2738
2013-03-03,
2013-03-04,2745.5
2013-03-05,2762.5
2013-03-06,2800.75
2013-03-07,2790.5
2013-03-08,2798.5
2013-03-10,
2013-03-10,2801.5
2013-03-10,
2013-03-10,2801.5
2013-03-11,2809.75
2013-03-12,2803
2013-03-13,2800.25
2013-03-14,2805
2013-03-16,
2013-03-17,2774
2013-03-18,2787.25
2013-03-19,2776.75
2013-03-20,2788.25
2013-03-21,2769.25
2013-03-23,
2013-03-24,2793.5
2013-03-25,2788.25
2013-03-26,2802.25
2013-03-27,2801.25
2013-03-28,
2013-03-30,
2013-03-31,2811
2013-04-01,2789.75
2013-04-02,2814.25
2013-04-03,2788
2013-04-04,2785
2013-04-06,
2013-04-07,2763.25
2013-04-08,2784.75
2013-04-09,2799
2013-04-10,2852
2013-04-11,2853.75
2013-04-13,
2013-04-14,2846.5
2013-04-15,2786
2013-04-16,2830.5
2013-04-17,2770.5
2013-04-18,2746.25
2013-04-20,
2013-04-21,2772.5
2013-04-22,2800.75
2013-04-23,2829.5
2013-04-24,2821.75
2013-04-25,2841
2013-04-27,
2013-04-28,2833.75
2013-04-29,2859.75
2013-04-30,2884
2013-05-01,2868
2013-05-02,2902
2013-05-04,
2013-05-05,2936.75
2013-05-06,2947.5
2013-05-07,2946.75
2013-05-08,2961
2013-05-09,2961.25
2013-05-11,
2013-05-12,2972.25
2013-05-13,2981.25
2013-05-14,2995.75
2013-05-15,34.25
2013-05-16,31
2013-05-18,
2013-05-19,321.25
2013-05-20,319.5
2013-05-21,321.75
2013-05-22,36.25
2013-05-23,2995.75
