Date,Close
2013-01-02,285939
2013-01-03,216626
2013-01-04,212859
2013-01-06,
2013-01-07,174832
2013-01-08,200787
2013-01-09,15991
2013-01-10,244792
2013-01-11,140405
2013-01-13,
2013-01-14,207499
2013-01-15,210640
2013-01-16,181659
2013-01-17,211220
2013-01-18,1719
2013-01-20,
2013-01-22,195839
2013-01-23,189334
2013-01-24,289636
2013-01-25,234408
2013-01-27,
2013-01-28,202433
2013-01-29,221674
2013-01-30,25262
2013-01-31,216929
2013-02-01,222751
2013-02-03,
2013-02-04,275933
2013-02-05,24355
2013-02-06,217756
2013-02-07,27381
2013-02-08,211104
2013-02-10,
2013-02-11,146485
2013-02-12,171647
2013-02-13,164467
2013-02-14,154958
2013-02-15,169760
2013-02-17,
2013-02-19,16331
2013-02-20,230436
2013-02-21,283845
2013-02-22,187525
2013-02-24,
2013-02-25,383420
2013-02-26,321127
2013-02-27,281226
2013-02-28,248960
2013-03-01,278656
2013-03-03,
2013-03-04,24322
2013-03-05,249527
2013-03-06,224481
2013-03-07,194930
2013-03-08,147817
2013-03-10,
2013-03-10,120851
2013-03-10,
2013-03-10,120851
2013-03-11,90209
2013-03-12,78283
2013-03-13,36307
2013-03-14,151634
2013-03-16,
2013-03-17,261520
2013-03-18,280858
2013-03-19,213748
2013-03-20,221279
2013-03-21,180406
2013-03-23,
2013-03-24,249371
2013-03-25,168868
2013-03-26,185710
2013-03-27,145542
2013-03-28,
2013-03-30,
2013-03-31,145803
2013-04-01,214259
2013-04-02,256746
2013-04-03,226614
2013-04-04,265278
2013-04-06,
2013-04-07,176139
2013-04-08,237574
2013-04-09,25970
2013-04-10,199356
2013-04-11,198997
2013-04-13,
2013-04-14,326433
2013-04-15,236656
2013-04-16,378577
2013-04-17,345298
2013-04-18,273830
2013-04-20,
2013-04-21,230393
2013-04-22,269327
2013-04-23,25776
2013-04-24,196635
2013-04-25,165108
2013-04-27,
2013-04-28,175223
2013-04-29,190418
2013-04-30,15474
2013-05-01,199370
2013-05-02,19383
2013-05-04,
2013-05-05,134824
2013-05-06,176584
2013-05-07,144664
2013-05-08,18518
2013-05-09,169255
2013-05-11,
2013-05-12,162112
2013-05-13,192387
2013-05-14,20661
2013-05-15,203738
2013-05-16,188115
2013-05-18,
2013-05-19,193256
2013-05-20,185202
2013-05-21,363785
2013-05-22,313279
2013-05-23,203972
2013-05-25,
2013-05-27,238818
2013-05-28,242455
2013-05-29,215945
2013-05-30,273254
2013-06-01,
2013-06-02,322752
2013-06-03,283605
2013-06-04,302592
2013-06-05,280562
2013-06-06,266604
2013-06-08,
2013-06-09,242507
2013-06-10,31261
2013-06-11,328526
2013-06-12,284586
2013-06-13,119403
2013-06-15,
2013-06-16,113841
2013-06-17,96353
2013-06-18,652
2013-06-19,8124
2013-06-20,399203
2013-06-22,
2013-06-23,358805
2013-06-24,257859
2013-06-25,196345
2013-06-26,173476
2013-06-27,239222
2013-06-29,
2013-06-30,200624
2013-07-01,202883
2013-07-03,
2013-07-04,228913
2013-07-06,
2013-07-07,200400
2013-07-08,162518
2013-07-09,198676
2013-07-10,200923
2013-07-11,148453
2013-07-13,
2013-07-14,112409
2013-07-15,147259
2013-07-16,186222
2013-07-17,179562
2013-07-18,203203
2013-07-20,
2013-07-21,140933
2013-07-22,161677
2013-07-23,314733
2013-07-24,214945
2013-07-25,183575
2013-07-27,
2013-07-28,189954
2013-07-29,237285
2013-07-30,254202
2013-07-31,153830
2013-08-01,162654
2013-08-03,
2013-08-04,114587
2013-08-05,170125
2013-08-06,228788
2013-08-07,215700
2013-08-08,199820
2013-08-10,
2013-08-11,171281
2013-08-12,239126
2013-08-13,23487
2013-08-14,30734
2013-08-15,18935
2013-08-17,
2013-08-18,210781
2013-08-19,1641
2013-08-20,295659
2013-08-21,190514
2013-08-22,194415
2013-08-24,
2013-08-25,189292
2013-08-26,360118
2013-08-27,188487
2013-08-28,246337
2013-08-29,253781
2013-08-31,
2013-09-02,314381
2013-09-03,216735
2013-09-04,152933
2013-09-05,281130
2013-09-07,
2013-09-08,196240
2013-09-09,230771
2013-09-10,220768
2013-09-11,227594
2013-09-12,12290
2013-09-14,
