Date,Close
2013-01-02,3.358
2013-01-03,3.236
2013-01-04,3.299
2013-01-06,
2013-01-07,3.352
2013-01-08,3.281
2013-01-09,3.227
2013-01-10,3.211
2013-01-11,3.341
2013-01-13,
2013-01-14,3.411
2013-01-15,3.464
2013-01-16,3.457
2013-01-17,3.529
2013-01-18,3.579
2013-01-20,
2013-01-22,3.645
2013-01-23,3.596
2013-01-24,3.592
2013-01-25,3.48
2013-01-27,
2013-01-28,3.396
2013-01-29,3.275
2013-01-30,3.344
2013-01-31,3.395
2013-02-01,3.387
2013-02-03,
2013-02-04,3.354
2013-02-05,3.427
2013-02-06,3.459
2013-02-07,3.453
2013-02-08,3.327
2013-02-10,
2013-02-11,3.295
2013-02-12,3.314
2013-02-13,3.323
2013-02-14,3.309
2013-02-15,3.194
2013-02-17,
2013-02-19,3.279
2013-02-20,3.313
2013-02-21,3.337
2013-02-22,3.294
2013-02-24,
2013-02-25,3.425
2013-02-26,3.455
2013-02-27,3.554
2013-02-28,3.508
2013-03-01,3.52
2013-03-03,
2013-03-04,3.54
2013-03-05,3.594
2013-03-06,3.55
2013-03-07,3.603
2013-03-08,3.635
2013-03-10,
2013-03-11,3.652
2013-03-12,3.676
2013-03-13,3.696
2013-03-14,3.834
2013-03-15,3.924
2013-03-17,
2013-03-18,3.965
2013-03-19,3.973
2013-03-20,3.976
2013-03-21,4.025
2013-03-22,4.006
2013-03-24,
2013-03-25,3.996
2013-03-26,3.991
2013-03-27,4.103
2013-03-28,4.121
2013-03-29,
2013-03-31,
2013-04-01,4.044
2013-04-02,4.044
2013-04-03,3.985
2013-04-04,3.976
2013-04-05,4.146
2013-04-07,
2013-04-08,4.18
2013-04-09,4.104
2013-04-10,4.161
2013-04-11,4.185
2013-04-12,4.264
2013-04-14,
2013-04-15,4.29
2013-04-16,4.2
2013-04-17,4.244
2013-04-18,4.429
2013-04-19,4.42
2013-04-21,
2013-04-22,4.397
2013-04-23,4.319
2013-04-24,4.276
2013-04-25,4.251
2013-04-26,4.196
2013-04-28,
2013-04-29,4.395
2013-04-30,4.397
2013-05-01,4.444
2013-05-02,4.364
2013-05-03,4.07
2013-05-05,
2013-05-06,4.056
2013-05-07,4.005
2013-05-08,3.989
2013-05-09,4.02
2013-05-10,4.01
2013-05-12,
2013-05-13,3.977
2013-05-14,4.03
2013-05-15,4.078
2013-05-16,4.095
2013-05-17,4.096
2013-05-19,
2013-05-20,4.159
2013-05-21,4.21
2013-05-22,4.228
2013-05-23,4.269
2013-05-24,4.295
2013-05-26,
2013-05-28,4.308
2013-05-29,4.179
2013-05-30,4.184
2013-05-31,4.064
2013-06-02,
2013-06-03,4.04
2013-06-04,4.033
2013-06-05,4.027
2013-06-06,4.002
2013-06-07,3.869
2013-06-09,
2013-06-10,3.868
2013-06-11,3.803
2013-06-12,3.789
2013-06-13,3.85
2013-06-14,3.831
2013-06-16,
2013-06-17,3.913
2013-06-18,3.952
2013-06-19,3.983
2013-06-20,3.964
2013-06-21,3.904
2013-06-23,
2013-06-24,3.822
2013-06-25,3.76
2013-06-26,3.728
2013-06-27,3.757
2013-06-28,3.618
2013-06-30,
2013-07-01,3.607
2013-07-02,3.667
2013-07-03,
2013-07-05,3.699
2013-07-07,
2013-07-08,3.764
2013-07-09,3.747
2013-07-10,3.787
2013-07-11,3.702
2013-07-12,3.692
2013-07-14,
2013-07-15,3.689
2013-07-16,3.718
2013-07-17,3.683
2013-07-18,3.835
2013-07-19,3.827
2013-07-21,
2013-07-22,3.763
2013-07-23,3.762
2013-07-24,3.78
2013-07-25,3.759
2013-07-26,3.654
2013-07-28,
2013-07-29,3.52
2013-07-30,3.488
2013-07-31,3.472
2013-08-01,3.454
2013-08-02,3.407
2013-08-04,
2013-08-05,3.361
2013-08-06,3.357
2013-08-07,3.318
2013-08-08,3.326
2013-08-09,3.326
2013-08-11,
2013-08-12,3.361
2013-08-13,3.334
2013-08-14,3.376
2013-08-15,3.433
2013-08-16,3.434
2013-08-18,
2013-08-19,3.501
2013-08-20,3.5
2013-08-21,3.495
2013-08-22,3.559
2013-08-23,3.562
2013-08-25,
2013-08-26,3.545
2013-08-27,3.547
2013-08-28,3.589
2013-08-29,3.655
2013-08-30,3.653
2013-09-01,
2013-09-03,3.689
2013-09-04,3.699
2013-09-05,3.719
2013-09-06,3.595
2013-09-08,
2013-09-09,3.621
2013-09-10,3.629
2013-09-11,3.618
2013-09-12,3.665
2013-09-13,3.689
2013-09-15,
2013-09-16,3.749
2013-09-17,3.776
2013-09-18,3.754
2013-09-19,3.82
2013-09-20,3.715
2013-09-22,
2013-09-23,3.681
2013-09-24,3.617
2013-09-25,3.546
2013-09-26,3.515
2013-09-27,3.608
2013-09-29,
2013-09-30,3.583
2013-10-01,3.653
2013-10-02,3.647
2013-10-03,3.57
2013-10-04,3.535
2013-10-06,
2013-10-07,3.661
2013-10-08,3.73
2013-10-09,3.734
2013-10-10,3.795
2013-10-11,3.792
2013-10-13,
2013-10-14,3.855
2013-10-15,3.855
2013-10-16,3.869
2013-10-17,3.801
2013-10-18,3.785
2013-10-20,
2013-10-21,3.838
2013-10-22,3.669
2013-10-23,3.639
2013-10-24,3.645
2013-10-25,3.731
2013-10-27,
2013-10-28,3.681
2013-10-29,3.589
2013-10-30,3.662
2013-10-31,3.659
2013-11-01,3.578
2013-11-03,
2013-11-04,3.475
2013-11-05,3.491
2013-11-06,3.547
2013-11-07,3.622
2013-11-08,3.589
2013-11-10,
2013-11-11,3.598
2013-11-12,3.656
2013-11-13,3.662
2013-11-14,3.624
2013-11-15,3.667
2013-11-17,
2013-11-18,3.705
2013-11-19,3.647
2013-11-20,3.681
2013-11-21,3.743
2013-11-22,3.787
2013-11-24,
2013-11-25,3.849
2013-11-26,3.837
2013-11-27,3.918
2013-11-29,
2013-12-01,
2013-12-02,3.993
2013-12-03,4.017
2013-12-04,4.013
2013-12-05,4.152
2013-12-06,4.199
2013-12-08,
2013-12-09,4.248
2013-12-10,4.287
2013-12-11,4.348
2013-12-12,4.434
2013-12-13,4.443
2013-12-15,
2013-12-16,4.318
2013-12-17,4.326
2013-12-18,4.334
2013-12-19,4.471
2013-12-20,4.492
2013-12-22,
2013-12-23,4.532
2013-12-24,
2013-12-26,4.465
2013-12-27,4.438
2013-12-29,
2013-12-30,4.472
2013-12-31,4.448
2014-01-02,4.331
2014-01-03,4.39
2014-01-05,
2014-01-06,4.379
2014-01-07,4.43
2014-01-08,4.365
2014-01-09,4.194
2014-01-10,4.099
2014-01-12,
2014-01-13,4.313
2014-01-14,4.382
2014-01-15,4.432
2014-01-16,4.495
2014-01-17,4.385
2014-01-19,
2014-01-21,4.475
2014-01-22,4.725
2014-01-23,4.947
2014-01-24,5.246
2014-01-26,
2014-01-27,5.442
2014-01-28,5.115
2014-01-29,5.725
2014-01-30,5.477
2014-01-31,4.995
2014-02-02,
2014-02-03,4.986
2014-02-04,5.397
2014-02-05,5.737
2014-02-06,5.396
2014-02-07,5.049
2014-02-09,
2014-02-10,4.787
2014-02-11,4.97
2014-02-12,5.028
2014-02-13,5.239
2014-02-14,5.389
2014-02-16,
2014-02-18,5.612
2014-02-19,6.275
2014-02-20,6.4
2014-02-21,6.308
2014-02-23,
2014-02-24,6.493
2014-02-25,5.492
2014-02-26,5.005
2014-02-27,4.567
2014-02-28,4.658
2014-03-02,
2014-03-03,4.736
2014-03-04,4.676
2014-03-05,4.722
2014-03-06,4.695
2014-03-07,4.681
2014-03-09,
2014-03-10,4.733
2014-03-11,4.683
2014-03-12,4.631
2014-03-13,4.496
2014-03-14,4.439
2014-03-16,
2014-03-17,4.587
2014-03-18,4.549
2014-03-19,4.504
2014-03-20,4.474
2014-03-21,4.378
2014-03-23,
2014-03-24,4.35
2014-03-25,4.43
2014-03-26,4.428
2014-03-27,4.615
2014-03-28,4.568
2014-03-30,
2014-03-31,4.487
2014-04-01,4.39
2014-04-02,4.39
2014-04-03,4.483
2014-04-04,4.478
2014-04-06,
2014-04-07,4.528
2014-04-08,4.552
2014-04-09,4.593
2014-04-10,4.703
2014-04-11,4.673
2014-04-13,
2014-04-14,4.646
2014-04-15,4.633
2014-04-16,4.603
2014-04-17,4.746
2014-04-20,
2014-04-21,4.789
2014-04-22,4.757
2014-04-23,4.785
2014-04-24,4.805
2014-04-25,4.72
2014-04-27,
2014-04-28,4.808
2014-04-29,4.848
2014-04-30,4.852
2014-05-01,4.823
2014-05-02,4.765
2014-05-04,
2014-05-05,4.775
2014-05-06,4.806
2014-05-07,4.827
2014-05-08,4.754
2014-05-09,4.598
2014-05-11,
2014-05-12,4.549
2014-05-13,4.469
2014-05-14,4.403
2014-05-15,4.509
2014-05-16,4.458
2014-05-18,
2014-05-19,4.523
2014-05-20,4.57
2014-05-21,4.575
2014-05-22,4.515
2014-05-23,4.411
2014-05-25,
2014-05-27,4.512
2014-05-28,4.635
2014-05-29,4.665
2014-05-30,4.592
2014-06-01,
2014-06-02,4.62
2014-06-03,4.662
2014-06-04,4.653
2014-06-05,4.723
2014-06-06,4.736
2014-06-08,
2014-06-09,4.743
2014-06-10,4.636
2014-06-11,4.573
2014-06-12,4.769
2014-06-13,4.793
2014-06-15,
2014-06-16,4.886
2014-06-17,4.739
2014-06-18,4.773
2014-06-19,4.7
2014-06-20,4.614
2014-06-22,
2014-06-23,4.577
2014-06-24,4.556
2014-06-25,4.587
2014-06-26,4.597
2014-06-27,4.466
2014-06-29,
2014-06-30,4.493
2014-07-01,4.488
2014-07-02,4.459
2014-07-03,
2014-07-06,
2014-07-07,4.402
2014-07-08,4.238
2014-07-09,4.23
2014-07-10,4.193
2014-07-11,4.159
2014-07-13,
2014-07-14,4.173
2014-07-15,4.158
2014-07-16,4.146
2014-07-17,4.11
2014-07-18,3.976
2014-07-20,
2014-07-21,3.893
2014-07-22,3.866
2014-07-23,3.817
2014-07-24,3.886
2014-07-25,3.862
2014-07-27,
2014-07-28,3.85
2014-07-29,3.834
2014-07-30,3.83
2014-07-31,3.89
2014-08-01,3.877
2014-08-03,
2014-08-04,3.853
2014-08-05,3.915
2014-08-06,3.95
2014-08-07,3.981
2014-08-08,3.975
2014-08-10,
2014-08-11,4.012
2014-08-12,4.02
2014-08-13,3.986
2014-08-14,3.947
2014-08-15,3.906
2014-08-17,
2014-08-18,3.825
2014-08-19,3.915
2014-08-20,3.888
2014-08-21,3.955
2014-08-22,3.893
2014-08-24,
2014-08-25,3.944
2014-08-26,3.978
2014-08-27,3.996
2014-08-28,4.101
2014-08-29,4.085
2014-08-31,
2014-09-02,4.078
2014-09-03,3.917
2014-09-04,3.879
2014-09-05,3.848
2014-09-07,
2014-09-08,3.898
2014-09-09,4.016
2014-09-10,3.994
2014-09-11,3.963
2014-09-12,3.859
2014-09-14,
2014-09-15,3.952
2014-09-16,3.993
2014-09-17,4.04
2014-09-18,4.027
2014-09-19,3.922
2014-09-21,
2014-09-22,3.878
2014-09-23,3.903
2014-09-24,3.922
2014-09-25,3.974
2014-09-26,3.996
2014-09-28,
2014-09-29,4.162
2014-09-30,4.178
2014-10-01,4.184
2014-10-02,4.059
2014-10-03,4.047
2014-10-05,
2014-10-06,4.0
2014-10-07,3.968
2014-10-08,3.947
2014-10-09,3.941
2014-10-10,3.888
2014-10-12,
