Date,Close
2013-01-02,3.348
2013-01-03,3.231
2013-01-04,3.198
2013-01-06,
2013-01-07,3.277
2013-01-08,3.276
2013-01-09,3.218
2013-01-10,3.13
2013-01-11,3.193
2013-01-13,
2013-01-14,3.379
2013-01-15,3.383
2013-01-16,3.445
2013-01-17,3.435
2013-01-18,3.485
2013-01-20,
2013-01-22,3.572
2013-01-23,3.573
2013-01-24,3.57
2013-01-25,3.452
2013-01-27,
2013-01-28,3.392
2013-01-29,3.273
2013-01-30,3.262
2013-01-31,3.335
2013-02-01,3.328
2013-02-03,
2013-02-04,3.313
2013-02-05,3.33
2013-02-06,3.424
2013-02-07,3.439
2013-02-08,3.295
2013-02-10,
2013-02-11,3.26
2013-02-12,3.28
2013-02-13,3.241
2013-02-14,3.297
2013-02-15,3.17
2013-02-17,
2013-02-19,3.166
2013-02-20,3.271
2013-02-21,3.268
2013-02-22,3.241
2013-02-24,
2013-02-25,3.32
2013-02-26,3.416
2013-02-27,3.449
2013-02-28,3.418
2013-03-01,3.491
2013-03-03,
2013-03-04,3.469
2013-03-05,3.535
2013-03-06,3.523
2013-03-07,3.472
2013-03-08,3.585
2013-03-10,
2013-03-11,3.636
2013-03-12,3.64
2013-03-13,3.637
2013-03-14,3.686
2013-03-15,3.825
2013-03-17,
2013-03-18,3.907
2013-03-19,3.882
2013-03-20,3.967
2013-03-21,3.95
2013-03-22,3.93
2013-03-24,
2013-03-25,3.943
2013-03-26,3.875
2013-03-27,3.999
2013-03-28,4.091
2013-03-29,
2013-03-31,
2013-04-01,3.969
2013-04-02,4.031
2013-04-03,3.959
2013-04-04,3.904
2013-04-05,3.947
2013-04-07,
2013-04-08,4.163
2013-04-09,4.085
2013-04-10,4.032
2013-04-11,4.102
2013-04-12,4.175
2013-04-14,
2013-04-15,4.227
2013-04-16,4.128
2013-04-17,4.194
2013-04-18,4.203
2013-04-19,4.418
2013-04-21,
2013-04-22,4.39
2013-04-23,4.257
2013-04-24,4.233
2013-04-25,4.17
2013-04-26,4.159
2013-04-28,
2013-04-29,4.233
2013-04-30,4.378
2013-05-01,4.34
2013-05-02,4.313
2013-05-03,4.043
2013-05-05,
2013-05-06,4.012
2013-05-07,4.0
2013-05-08,3.915
2013-05-09,3.976
2013-05-10,3.967
2013-05-12,
2013-05-13,3.897
2013-05-14,3.942
2013-05-15,4.018
2013-05-16,4.095
2013-05-17,3.942
2013-05-19,
2013-05-20,4.089
2013-05-21,4.087
2013-05-22,4.19
2013-05-23,4.181
2013-05-24,4.262
2013-05-26,
2013-05-28,4.223
2013-05-29,4.167
2013-05-30,4.177
2013-05-31,4.032
2013-06-02,
2013-06-03,3.963
2013-06-04,3.988
2013-06-05,4.0
2013-06-06,3.997
2013-06-07,3.846
2013-06-09,
2013-06-10,3.848
2013-06-11,3.793
2013-06-12,3.725
2013-06-13,3.773
2013-06-14,3.813
2013-06-16,
2013-06-17,3.738
2013-06-18,3.902
2013-06-19,3.911
2013-06-20,3.953
2013-06-21,3.871
2013-06-23,
2013-06-24,3.79
2013-06-25,3.738
2013-06-26,3.654
2013-06-27,3.743
2013-06-28,3.596
2013-06-30,
2013-07-01,3.547
2013-07-02,3.59
2013-07-03,
2013-07-05,3.69
2013-07-07,
2013-07-08,3.626
2013-07-09,3.732
2013-07-10,3.659
2013-07-11,3.663
2013-07-12,3.614
2013-07-14,
2013-07-15,3.65
2013-07-16,3.686
2013-07-17,3.671
2013-07-18,3.623
2013-07-19,3.813
2013-07-21,
2013-07-22,3.75
2013-07-23,3.7
2013-07-24,3.732
2013-07-25,3.701
2013-07-26,3.651
2013-07-28,
2013-07-29,3.515
2013-07-30,3.472
2013-07-31,3.45
2013-08-01,3.452
2013-08-02,3.386
2013-08-04,
2013-08-05,3.326
2013-08-06,3.325
2013-08-07,3.305
2013-08-08,3.237
2013-08-09,3.32
2013-08-11,
2013-08-12,3.26
2013-08-13,3.304
2013-08-14,3.298
2013-08-15,3.341
2013-08-16,3.425
2013-08-18,
2013-08-19,3.392
2013-08-20,3.465
2013-08-21,3.437
2013-08-22,3.47
2013-08-23,3.545
2013-08-25,
2013-08-26,3.511
2013-08-27,3.505
2013-08-28,3.542
2013-08-29,3.58
2013-08-30,3.624
2013-09-01,
2013-09-03,3.601
2013-09-04,3.674
2013-09-05,3.672
2013-09-06,3.575
2013-09-08,
2013-09-09,3.534
2013-09-10,3.609
2013-09-11,3.583
2013-09-12,3.558
2013-09-13,3.628
2013-09-15,
2013-09-16,3.687
2013-09-17,3.741
2013-09-18,3.738
2013-09-19,3.729
2013-09-20,3.712
2013-09-22,
2013-09-23,3.681
2013-09-24,3.593
2013-09-25,3.509
2013-09-26,3.507
2013-09-27,3.581
2013-09-29,
2013-09-30,3.581
2013-10-01,3.557
2013-10-02,3.608
2013-10-03,3.542
2013-10-04,3.509
2013-10-06,
2013-10-07,3.53
2013-10-08,3.637
2013-10-09,3.724
2013-10-10,3.699
2013-10-11,3.728
2013-10-13,
2013-10-14,3.815
2013-10-15,3.821
2013-10-16,3.813
2013-10-17,3.775
2013-10-18,3.759
2013-10-20,
2013-10-21,3.795
2013-10-22,3.669
2013-10-23,3.593
2013-10-24,3.617
