Date,Close
2013-01-02,2.8136
2013-01-03,2.8073
2013-01-04,2.7934
2013-01-06,
2013-01-07,2.7895
2013-01-08,2.8087
2013-01-09,2.7865
2013-01-10,2.8182
2013-01-11,2.7879
2013-01-13,
2013-01-14,2.7603
2013-01-15,2.761
2013-01-16,2.7311
2013-01-17,2.7757
2013-01-18,2.8049
2013-01-20,
2013-01-22,2.85
2013-01-23,2.8571
2013-01-24,2.8762
2013-01-25,2.8856
2013-01-27,
2013-01-28,2.9442
2013-01-29,2.9761
2013-01-30,3.05
2013-01-31,3.0375
2013-02-01,3.0663
2013-02-03,
2013-02-04,3.0524
2013-02-05,3.0528
2013-02-06,3.0535
2013-02-07,3.0698
2013-02-08,3.065
2013-02-10,
2013-02-11,3.06
2013-02-12,3.0533
2013-02-13,3.085
2013-02-14,3.1386
2013-02-15,3.1639
2013-02-17,
2013-02-19,3.1691
2013-02-20,3.1239
2013-02-21,3.0597
2013-02-22,3.0962
2013-02-24,
2013-02-25,3.1434
2013-02-26,3.0399
2013-02-27,2.9996
2013-02-28,2.9244
2013-03-01,3.1414
2013-03-03,
2013-03-04,3.1479
2013-03-05,3.153
2013-03-06,3.1719
2013-03-07,3.1389
2013-03-08,3.211
2013-03-10,
2013-03-11,3.2672
2013-03-12,3.19
2013-03-13,3.187
2013-03-14,3.1532
2013-03-15,3.1783
2013-03-17,
2013-03-18,3.16
2013-03-19,3.122
2013-03-20,3.1225
2013-03-21,3.1278
2013-03-22,3.084
2013-03-24,
2013-03-25,3.1124
2013-03-26,3.1225
2013-03-27,3.1307
2013-03-28,
2013-03-29,
2013-03-31,
2013-04-01,3.1425
2013-04-02,3.1024
2013-04-03,3.0495
2013-04-04,2.931
2013-04-05,2.9134
2013-04-07,
2013-04-08,2.9265
2013-04-09,2.9491
2013-04-10,2.9358
2013-04-11,2.8848
2013-04-12,2.8501
2013-04-14,
2013-04-15,2.8047
2013-04-16,2.7912
2013-04-17,2.7965
2013-04-18,2.7699
2013-04-19,2.785
2013-04-21,
2013-04-22,2.8103
2013-04-23,2.7768
2013-04-24,2.755
2013-04-25,2.8132
2013-04-26,2.8379
2013-04-28,
2013-04-29,2.8349
2013-04-30,2.8295
2013-05-01,2.7998
2013-05-02,2.7828
2013-05-03,2.8345
2013-05-05,
2013-05-06,2.8693
2013-05-07,2.8652
2013-05-08,2.8728
2013-05-09,2.8884
2013-05-10,2.88
2013-05-12,
2013-05-13,2.8595
2013-05-14,2.8522
2013-05-15,2.8727
2013-05-16,2.9134
2013-05-17,2.9276
2013-05-19,
2013-05-20,2.9201
2013-05-21,2.9091
2013-05-22,2.8361
2013-05-23,2.8375
2013-05-24,2.8456
2013-05-26,
2013-05-28,2.88
