Date,Close
2013-01-02,2.7617
2013-01-03,2.7971
2013-01-04,2.7934
2013-01-06,
2013-01-07,2.7647
2013-01-08,2.7852
2013-01-09,2.7862
2013-01-10,2.7735
2013-01-11,2.7841
2013-01-13,
2013-01-14,2.739
2013-01-15,2.7493
2013-01-16,2.7067
2013-01-17,2.7251
2013-01-18,2.7679
2013-01-20,
2013-01-22,2.797
2013-01-23,2.8355
2013-01-24,2.8335
2013-01-25,2.86
2013-01-27,
2013-01-28,2.8719
2013-01-29,2.925
2013-01-30,2.9634
2013-01-31,3.0349
2013-02-01,3.0306
2013-02-03,
2013-02-04,3.0524
2013-02-05,3.0155
2013-02-06,3.0348
2013-02-07,3.0521
2013-02-08,3.0165
2013-02-10,
2013-02-11,3.06
2013-02-12,3.022
2013-02-13,3.0502
2013-02-14,3.0475
2013-02-15,3.13
2013-02-17,
2013-02-19,3.1399
2013-02-20,3.121
2013-02-21,3.0458
2013-02-22,3.0463
2013-02-24,
2013-02-25,3.0869
2013-02-26,3.0305
2013-02-27,2.9829
2013-02-28,2.8695
2013-03-01,3.1029
2013-03-03,
2013-03-04,3.1271
2013-03-05,3.0951
2013-03-06,3.153
2013-03-07,3.1247
2013-03-08,3.1275
2013-03-10,
2013-03-11,3.2086
2013-03-12,3.1551
2013-03-13,3.1609
2013-03-14,3.1395
2013-03-15,3.1448
2013-03-17,
2013-03-18,3.16
2013-03-19,3.1208
2013-03-20,3.0455
2013-03-21,3.1065
2013-03-22,3.055
2013-03-24,
2013-03-25,3.0523
2013-03-26,3.059
2013-03-27,3.1181
2013-03-28,
2013-03-29,
2013-03-31,
2013-04-01,3.1105
2013-04-02,3.0947
2013-04-03,3.0448
2013-04-04,2.919
2013-04-05,2.8995
2013-04-07,
2013-04-08,2.88
2013-04-09,2.9224
2013-04-10,2.9338
2013-04-11,2.8731
2013-04-12,2.8458
2013-04-14,
2013-04-15,2.8014
2013-04-16,2.735
2013-04-17,2.7915
2013-04-18,2.7251
2013-04-19,2.759
2013-04-21,
2013-04-22,2.7735
2013-04-23,2.775
2013-04-24,2.7254
2013-04-25,2.7533
2013-04-26,2.8035
2013-04-28,
2013-04-29,2.8225
2013-04-30,2.8233
2013-05-01,2.7874
2013-05-02,2.7147
2013-05-03,2.7786
2013-05-05,
2013-05-06,2.822
2013-05-07,2.8588
2013-05-08,2.8249
2013-05-09,2.8575
2013-05-10,2.8752
2013-05-12,
2013-05-13,2.8595
2013-05-14,2.8249
2013-05-15,2.8381
2013-05-16,2.868
2013-05-17,2.8813
2013-05-19,
2013-05-20,2.904
2013-05-21,2.9013
2013-05-22,2.8335
2013-05-23,2.8201
2013-05-24,2.8349
2013-05-26,
2013-05-28,2.83
2013-05-29,2.8524
2013-05-30,2.7942
2013-05-31,2.8239
2013-06-02,
2013-06-03,2.747
2013-06-04,2.7876
2013-06-05,2.8315
2013-06-06,2.8244
2013-06-07,2.8487
2013-06-09,
