Date,Close
2013-01-02,30.584999
2013-01-03,30.455
2013-01-04,29.209999
2013-01-06,
2013-01-07,29.91
2013-01-08,30.125
2013-01-09,30.094999
2013-01-10,30.665001
2013-01-11,30.15
2013-01-13,
2013-01-14,30.620001
2013-01-15,30.950001
2013-01-16,31.254999
2013-01-17,31.165001
2013-01-18,31.764999
2013-01-20,
2013-01-22,31.834999
2013-01-23,32.134998
2013-01-24,31.695
2013-01-25,31.18
2013-01-27,
2013-01-28,30.756001
2013-01-29,31.065001
2013-01-30,31.5
2013-01-31,31.299999
2013-02-01,31.6
2013-02-03,
2013-02-04,31.690001
2013-02-05,31.67
2013-02-06,31.861
2013-02-07,31.344999
2013-02-08,31.4
2013-02-10,
2013-02-11,30.895
2013-02-12,30.799999
2013-02-13,30.854
2013-02-14,30.343
2013-02-15,29.77
2013-02-17,
2013-02-19,29.413
2013-02-20,28.315001
2013-02-21,28.445
2013-02-22,28.42
2013-02-24,
2013-02-25,28.965
2013-02-26,29.256001
2013-02-27,28.83
2013-02-28,28.389999
2013-03-01,27.959999
2013-03-03,
2013-03-04,28.457001
2013-03-05,28.563
2013-03-06,28.58
2013-03-07,28.735001
2013-03-08,28.35
2013-03-10,
2013-03-11,28.719999
2013-03-12,28.84
2013-03-13,28.83
2013-03-14,28.57
2013-03-15,28.75
2013-03-17,
2013-03-18,28.684999
2013-03-19,28.684999
2013-03-20,28.424999
2013-03-21,28.940001
2013-03-22,28.594999
2013-03-24,
2013-03-25,28.459999
2013-03-26,28.575001
2013-03-27,28.120001
2013-03-28,28.292
2013-03-29,
2013-03-31,
2013-04-01,27.855
2013-04-02,27.17
2013-04-03,26.700001
2013-04-04,26.705
2013-04-05,26.844999
2013-04-07,
2013-04-08,27.08
2013-04-09,27.280001
2013-04-10,27.514999
2013-04-11,27.684999
2013-04-12,26.084999
2013-04-14,
2013-04-15,23.030001
2013-04-16,23.434999
2013-04-17,23.1
2013-04-18,22.6
2013-04-19,22.955
2013-04-21,
2013-04-22,23.094999
2013-04-23,22.790001
2013-04-24,22.829
2013-04-25,23.6
2013-04-26,23.757999
2013-04-28,
2013-04-29,23.924999
2013-04-30,23.985001
2013-05-01,23.23
2013-05-02,23.355
2013-05-03,23.605
2013-05-05,
2013-05-06,23.844999
2013-05-07,23.385
2013-05-08,23.615
2013-05-09,23.6
2013-05-10,23.139999
2013-05-12,
2013-05-13,23.49
2013-05-14,23.219999
2013-05-15,22.48
2013-05-16,22.075001
2013-05-17,22.16
2013-05-19,
2013-05-20,21.01
2013-05-21,22.34
2013-05-22,22.344999
2013-05-23,22.035
2013-05-24,22.33
2013-05-26,
2013-05-28,22.18
2013-05-29,22.370001
2013-05-30,22.334999
2013-05-31,22.139999
2013-06-02,
2013-06-03,22.305
2013-06-04,22.33
2013-06-05,22.455
2013-06-06,22.33
2013-06-07,21.58
2013-06-09,
2013-06-10,21.535
2013-06-11,21.58
2013-06-12,21.65
2013-06-13,21.52
2013-06-14,21.952999
2013-06-16,
2013-06-17,21.757
2013-06-18,21.676001
2013-06-19,21.610001
2013-06-20,19.59
2013-06-21,19.780001
2013-06-23,
2013-06-24,19.493
2013-06-25,19.525999
2013-06-26,18.587
2013-06-27,18.334999
