Date,Close
2013-01,2.93 %
2013-02,2.34 %
2013-03,-0.93 %
2013-04,-3.26 %
2013-05,1.07 %
2013-06,1.16 %
2013-07,8.20 %
2013-08,1.85 %
2013-09,0.59 %
2013-10,-3.26 %
2013-11,-0.61 %
2013-12,3.76 %
2014-01,-2.77 %
2014-02,2.13 %
2014-03,-2.92 %
2014-04,0.37 %
2014-05,0.14 %
2014-06,4.35 %
2014-07,-0.39 %
2014-08,-4.90 %
2014-09,-1.87 %
2014-10,-7.14 %
2014-11,-7.41 %
2014-12,-15.62 %
2015-01,-17.82 %
2015-02,14.81 %
2015-03,1.21 %
2015-04,7.69 %
2015-05,3.95 %
2015-06,1.46 %
2015-07,-7.67 %
2015-08,-14.79 %
2015-09,1.80 %
2015-10,1.43 %
2015-11,-4.46 %
2015-12,-14.36 %
2016-01,-17.38 %
2016-02,1.77 %
2016-03,18.72 %
2016-04,5.49 %
2016-05,12.87 %
2016-06,4.74 %
2016-07,-5.59 %
2016-08,-0.40 %
2016-09,-0.75 %
2016-10,8.85 %
2016-11,-5.57 %
2016-12,18.59 %
2017-01,0.94 %
2017-02,-0.54 %
2017-03,-4.33 %
2017-04,3.43 %
2017-05,-5.02 %
