Date,Close
2013-01,583.76
2013-02,597.42
2013-03,591.85
2013-04,572.53
2013-05,578.66
2013-06,585.38
2013-07,633.39
2013-08,645.13
2013-09,648.94
2013-10,627.77
2013-11,623.93
2013-12,647.38
2014-01,629.44
2014-02,642.88
2014-03,624.11
2014-04,626.39
2014-05,627.25
2014-06,654.52
2014-07,651.97
2014-08,620.02
2014-09,608.45
2014-10,564.98
2014-11,523.13
2014-12,441.4
2015-01,362.76
2015-02,416.5
2015-03,421.52
2015-04,453.94
2015-05,471.85
2015-06,478.72
2015-07,441.99
2015-08,376.61
2015-09,383.38
2015-10,388.85
2015-11,371.52
2015-12,318.19
2016-01,262.88
2016-02,267.53
2016-03,317.6
2016-04,335.02
2016-05,378.14
2016-06,396.05
2016-07,373.9
2016-08,372.42
2016-09,369.61
2016-10,402.34
2016-11,379.91
2016-12,450.53
2017-01,454.76
2017-02,452.31
2017-03,432.72
2017-04,447.55
2017-05,425.1
