Date,Close
2013-01,1150973
2013-02,900158
2013-03,1040431
2013-04,1121159
2013-05,687096
2013-06,910378
2013-07,867822
2013-08,919918
2013-09,1020114
2013-10,987443
2013-11,999005
2013-12,861778
2014-01,1142224
2014-02,1018636
2014-03,1090363
2014-04,938122
2014-05,965060
2014-06,955059
2014-07,897188
2014-08,969638
2014-09,1062740
2014-10,1034642
2014-11,810507
2014-12,1206702
2015-01,1173383
2015-02,1157754
2015-03,1333934
2015-04,1092066
2015-05,1225076
2015-06,1214273
2015-07,1206855
2015-08,1270084
2015-09,1238233
2015-10,1396627
2015-11,1151876
2015-12,1333844
2016-01,1206724
2016-02,1236439
2016-03,1299394
2016-04,1122218
2016-05,1106178
2016-06,978444
2016-07,912726
2016-08,954861
2016-09,1158384
2016-10,1011878
2016-11,979648
2016-12,1187050
2017-01,1215255
2017-02,960670
2017-03,1419739
2017-04,1142675
2017-05,1133248
2017-06,1031139
2017-07,1044679
2017-08,1462536
2017-09,837701
2017-10,1373904
2017-11,1151836
2017-12,1178078
2018-01,1310141
2018-02,1217982
2018-03,1239982
2018-04,1273423
2018-05,1179336
2018-06,1310417
2018-07,1358667
2018-08,1252038
2018-09,1368857
2018-10,1456635
2018-11,1184086
2018-12,1147034
2019-01,1780265
2019-02,1274509
2019-03,1620891
2019-04,1521464
2019-05,1466205
2019-06,976357
2019-07,1274432
2019-08,1294368
2019-09,1558479
2019-10,1186908
2019-11,1093049
2019-12,1229635
2020-01,1491044
2020-02,1100965
2020-03,1346177
2020-04,1481907
2020-05,1484688
2020-06,1473053
2020-07,1348317
2020-08,1259564
2020-09,1241980
2020-10,1440025
2020-11,1412051
2020-12,1171432
