Date,Close
2013-01,202338
2013-02,169476
2013-03,209779
2013-04,221007
2013-05,239877
2013-06,290837
2013-07,232478
2013-08,214849
2013-09,257903
2013-10,271617
2013-11,252314
2013-12,198043
2014-01,220316
2014-02,238420
2014-03,255092
2014-04,245069
2014-05,307290
2014-06,299723
2014-07,290620
2014-08,237533
2014-09,356184
2014-10,362147
2014-11,346767
2014-12,265090
2015-01,303306
2015-02,309917
2015-03,386713
2015-04,282699
2015-05,316191
2015-06,337766
2015-07,372514
2015-08,343237
2015-09,414520
2015-10,313239
2015-11,276327
2015-12,243340
2016-01,247056
2016-02,318758
2016-03,322802
2016-04,349037
2016-05,356997
2016-06,354133
2016-07,284956
2016-08,306009
2016-09,364126
2016-10,280237
2016-11,272393
2016-12,320638
2017-01,257970
2017-02,266028
2017-03,263332
2017-04,244174
2017-05,348834
2017-06,326717
2017-07,390307
2017-08,368692
2017-09,318482
2017-10,321666
2017-11,298558
2017-12,308182
2018-01,325593
2018-02,283886
2018-03,310222
2018-04,332015
2018-05,382534
2018-06,431079
2018-07,387575
2018-08,341202
2018-09,359139
2018-10,361679
2018-11,362000
2018-12,311109
2019-01,388826
2019-02,321851
2019-03,372364
2019-04,381508
2019-05,406387
2019-06,376602
2019-07,340790
2019-08,280673
2019-09,364459
2019-10,347735
2019-11,381056
2019-12,316691
2020-01,373310
2020-02,345288
2020-03,433964
2020-04,337568
2020-05,377186
2020-06,359970
2020-07,356578
2020-08,320857
2020-09,376850
2020-10,371615
2020-11,388334
2020-12,347434
