Date,Close
2013-01,387449
2013-02,293151
2013-03,287016
2013-04,195246
2013-05,382306
2013-06,432886
2013-07,500164
2013-08,534966
2013-09,398591
2013-10,287783
2013-11,330237
2013-12,359979
2014-01,411806
2014-02,306278
2014-03,304616
2014-04,396869
2014-05,398131
2014-06,465295
2014-07,596645
2014-08,464957
2014-09,583733
2014-10,455562
2014-11,509153
2014-12,518378
2015-01,561961
2015-02,390686
2015-03,393387
2015-04,320587
2015-05,322212
2015-06,267576
2015-07,134996
2015-08,250808
2015-09,375758
2015-10,357790
2015-11,429006
2015-12,292539
2016-01,551583
2016-02,322974
2016-03,445587
2016-04,285297
2016-05,455191
2016-06,627437
2016-07,485232
2016-08,408477
2016-09,475870
2016-10,457803
2016-11,433838
2016-12,498879
2017-01,509947
2017-02,369014
2017-03,309368
2017-04,342082
2017-05,473182
2017-06,495448
2017-07,523440
2017-08,562100
2017-09,653624
2017-10,513523
2017-11,542399
2017-12,516334
2018-01,593870
2018-02,662347
2018-03,377472
2018-04,212338
2018-05,407420
2018-06,637402
2018-07,785085
2018-08,945591
2018-09,883698
2018-10,813865
2018-11,903308
2018-12,657645
2019-01,703276
2019-02,236402
2019-03,150536
2019-04,244481
2019-05,275136
2019-06,329816
2019-07,535443
2019-08,614565
2019-09,578798
2019-10,309650
2019-11,415697
2019-12,234988
2020-01,226071
2020-02,144452
2020-03,174341
2020-04,117965
2020-05,194788
2020-06,57810
2020-07,58634
2020-08,240664
2020-09,430088
2020-10,460595
2020-11,132660
2020-12,653231
