Date,Close
2013-01,26128642
2013-02,23167065
2013-03,23060420
2013-04,22052158
2013-05,20631372
2013-06,20506003
2013-07,20999489
2013-08,18011134
2013-09,17566625
2013-10,24443949
2013-11,26934427
2013-12,27151144
2014-01,26923406
2014-02,23200052
2014-03,26286406
2014-04,19453653
2014-05,18401705
2014-06,15026326
2014-07,14974320
2014-08,14676131
2014-09,15101609
2014-10,23789222
2014-11,22836560
2014-12,25112734
2015-01,22068291
2015-02,21505380
2015-03,24018260
2015-04,15314337
2015-05,17238421
2015-06,16188657
2015-07,19353211
2015-08,18795543
2015-09,18933632
2015-10,20367111
2015-11,19926054
2015-12,20829156
2016-01,17648468
2016-02,16727968
2016-03,17508191
2016-04,13898288
2016-05,12928767
2016-06,11232518
2016-07,11840522
2016-08,10616032
2016-09,9166986
2016-10,16602976
2016-11,17813829
2016-12,17761132
2017-01,21223411
2017-02,19092598
2017-03,20182520
2017-04,17583125
2017-05,16055172
2017-06,14536496
2017-07,16224513
2017-08,16513349
2017-09,15264132
2017-10,21682100
2017-11,22049205
2017-12,22395482
2018-01,25556477
2018-02,22513171
2018-03,23249209
2018-04,21483183
2018-05,20086076
2018-06,19478013
2018-07,25213840
2018-08,24314305
2018-09,21519710
2018-10,28689949
2018-11,27918207
2018-12,28571798
2019-01,25120609
2019-02,22016244
2019-03,23831992
2019-04,16195525
2019-05,15488779
2019-06,14590461
2019-07,11896535
2019-08,10506387
2019-09,7213795
2019-10,14756323
2019-11,16164174
2019-12,16885052
2020-01,13185148
2020-02,12340792
2020-03,12782898
2020-04,6774864
2020-05,6627393
2020-06,6581580
2020-07,8936802
2020-08,8384096
2020-09,8343537
2020-10,11667692
2020-11,15909604
2020-12,17111154
