Date,Close
2013-01,1129145
2013-02,828482
2013-03,959261
2013-04,1057979
2013-05,990558
2013-06,868956
2013-07,831711
2013-08,879988
2013-09,1136889
2013-10,995421
2013-11,1028300
2013-12,877118
2014-01,1223152
2014-02,845815
2014-03,1021993
2014-04,1049526
2014-05,1057798
2014-06,1162173
2014-07,931210
2014-08,1171926
2014-09,1092248
2014-10,1244529
2014-11,1110330
2014-12,960703
2015-01,1063110
2015-02,1018847
2015-03,1080738
2015-04,1093122
2015-05,1239885
2015-06,1136202
2015-07,1005869
2015-08,1013077
2015-09,1118685
2015-10,976171
2015-11,1087037
2015-12,870532
2016-01,987481
2016-02,900298
2016-03,1152576
2016-04,1134432
2016-05,942196
2016-06,1162415
2016-07,835574
2016-08,1257199
2016-09,1021228
2016-10,850826
2016-11,1026530
2016-12,826922
2017-01,1185357
2017-02,1223573
2017-03,1442894
2017-04,921110
2017-05,1609280
2017-06,1298943
2017-07,1160812
2017-08,1187305
2017-09,1314145
2017-10,1202806
2017-11,1200184
2017-12,1309181
2018-01,1165439
2018-02,1080839
2018-03,1326494
2018-04,1353551
2018-05,1036286
2018-06,1219982
2018-07,1193884
2018-08,1327979
2018-09,1034160
2018-10,1410500
2018-11,1316759
2018-12,1142643
2019-01,1394193
2019-02,1209539
2019-03,1170488
2019-04,1552500
2019-05,1483984
2019-06,1429944
2019-07,1169243
2019-08,1158997
2019-09,1124525
2019-10,1154224
2019-11,969806
2019-12,1210008
2020-01,1005113
2020-02,1078309
2020-03,1331379
2020-04,1270387
2020-05,1037247
2020-06,914355
2020-07,899225
2020-08,927932
2020-09,1237328
2020-10,1209648
2020-11,1232712
2020-12,1280537
