Date,Close
2013-01,509203
2013-02,767410
2013-03,518848
2013-04,699568
2013-05,754872
2013-06,3377350
2013-07,705482
2013-08,685397
2013-09,790495
2013-10,813033
2013-11,718035
2013-12,524938
2014-01,610707
2014-02,588045
2014-03,693270
2014-04,629716
2014-05,639119
2014-06,635900
2014-07,681444
2014-08,552962
2014-09,723386
2014-10,969372
2014-11,875434
2014-12,689891
2015-01,781731
2015-02,1372657
2015-03,918142
2015-04,946185
2015-05,649097
2015-06,1241100
2015-07,825198
2015-08,868714
2015-09,993971
2015-10,1043167
2015-11,786645
2015-12,889150
2016-01,645584
2016-02,840703
2016-03,902558
2016-04,876235
2016-05,555059
2016-06,1145244
2016-07,649853
2016-08,918421
2016-09,900450
2016-10,785101
2016-11,846370
2016-12,556733
2017-01,682133
2017-02,634431
2017-03,839565
2017-04,674652
2017-05,657503
2017-06,769509
2017-07,523711
2017-08,757513
2017-09,706795
2017-10,584402
2017-11,794342
2017-12,585747
2018-01,470331
2018-02,663405
2018-03,777449
2018-04,710604
2018-05,715757
2018-06,739012
2018-07,554906
2018-08,714943
2018-09,982628
2018-10,859796
2018-11,834462
2018-12,591077
2019-01,760574
2019-02,662615
2019-03,707680
2019-04,628843
2019-05,851244
2019-06,657895
2019-07,633417
2019-08,625828
2019-09,708521
2019-10,912974
2019-11,809302
2019-12,644755
2020-01,657770
2020-02,709099
2020-03,781157
2020-04,810056
2020-05,657247
2020-06,768560
2020-07,638582
2020-08,612608
2020-09,759828
2020-10,714601
2020-11,669744
2020-12,645374
