Date,Close
2013-01,572689
2013-02,550160
2013-03,559808
2013-04,617265
2013-05,639714
2013-06,603359
2013-07,628660
2013-08,621984
2013-09,614883
2013-10,777983
2013-11,642148
2013-12,547110
2014-01,629799
2014-02,584468
2014-03,650235
2014-04,653326
2014-05,685465
2014-06,650396
2014-07,656283
2014-08,631745
2014-09,774770
2014-10,692346
2014-11,700259
2014-12,667572
2015-01,673437
2015-02,620603
2015-03,819321
2015-04,668161
2015-05,614464
2015-06,817001
2015-07,753609
2015-08,688869
2015-09,793389
2015-10,890974
2015-11,834759
2015-12,873648
2016-01,718739
2016-02,808546
2016-03,845222
2016-04,827773
2016-05,923716
2016-06,811201
2016-07,706101
2016-08,992372
2016-09,961602
2016-10,825389
2016-11,973557
2016-12,757528
2017-01,1038488
2017-02,752293
2017-03,1177787
2017-04,772782
2017-05,1202015
2017-06,1056837
2017-07,1025193
2017-08,939134
2017-09,902105
2017-10,899857
2017-11,1053634
2017-12,964789
2018-01,885436
2018-02,753632
2018-03,844456
2018-04,877674
2018-05,967751
2018-06,1009163
2018-07,913599
2018-08,807908
2018-09,1040257
2018-10,1098667
2018-11,830526
2018-12,988249
2019-01,867711
2019-02,1039640
2019-03,1114843
2019-04,925759
2019-05,1460828
2019-06,1069076
2019-07,1148258
2019-08,1334501
2019-09,1321302
2019-10,1202421
2019-11,941736
2019-12,907919
2020-01,1384846
2020-02,789355
2020-03,1245475
2020-04,1100513
2020-05,1087684
2020-06,1287828
2020-07,995508
2020-08,1042828
2020-09,1278608
2020-10,901535
2020-11,1003402
2020-12,1321413
