Date,Close
2013-01,229192
2013-02,250192
2013-03,240191
2013-04,237952
2013-05,210946
2013-06,224576
2013-07,225435
2013-08,211468
2013-09,191234
2013-10,258480
2013-11,198852
2013-12,264381
2014-01,235932
2014-02,229367
2014-03,268146
2014-04,187329
2014-05,208049
2014-06,276253
2014-07,178123
2014-08,245410
2014-09,193865
2014-10,270105
2014-11,205609
2014-12,249312
2015-01,285984
2015-02,269591
2015-03,312750
2015-04,273942
2015-05,238911
2015-06,300525
2015-07,243344
2015-08,246972
2015-09,291008
2015-10,265986
2015-11,262122
2015-12,317377
2016-01,283892
2016-02,313940
2016-03,293056
2016-04,227506
2016-05,277139
2016-06,265979
2016-07,165837
2016-08,296910
2016-09,261222
2016-10,218934
2016-11,228874
2016-12,253741
2017-01,277489
2017-02,250008
2017-03,250758
2017-04,259842
2017-05,250451
2017-06,219195
2017-07,209964
2017-08,250451
2017-09,251991
2017-10,201845
2017-11,247528
2017-12,297929
2018-01,298942
2018-02,320493
2018-03,252656
2018-04,284114
2018-05,343830
2018-06,255910
2018-07,233679
2018-08,304416
2018-09,289741
2018-10,301095
2018-11,270882
2018-12,335599
2019-01,304177
2019-02,331514
2019-03,313945
2019-04,291389
2019-05,357647
2019-06,256360
2019-07,323600
2019-08,284247
2019-09,302007
2019-10,327068
2019-11,268126
2019-12,264437
2020-01,359506
2020-02,268145
2020-03,364119
2020-04,388814
2020-05,310510
2020-06,320188
2020-07,274378
2020-08,268982
2020-09,303698
2020-10,294684
2020-11,316077
2020-12,336250
