Date,Close
2013-01,314062
2013-02,328896
2013-03,544984
2013-04,683221
2013-05,317308
2013-06,129262
2013-07,76072
2013-08,31174
2013-09,87403
2013-10,198635
2013-11,204716
2013-12,208662
2014-01,217434
2014-02,263069
2014-03,242119
2014-04,119918
2014-05,40733
2014-06,29667
2014-07,32721
2014-08,63071
2014-09,80963
2014-10,139471
2014-11,134742
2014-12,230006
2015-01,245321
2015-02,203564
2015-03,202436
2015-04,203660
2015-05,145747
2015-06,32842
2015-07,38000
2015-08,38833
2015-09,43983
2015-10,93336
2015-11,122827
2015-12,127038
2016-01,179200
2016-02,137029
2016-03,95844
2016-04,147820
2016-05,101610
2016-06,39781
2016-07,48848
2016-08,58625
2016-09,36534
2016-10,134478
2016-11,274115
2016-12,212535
2017-01,119071
2017-02,213984
2017-03,317534
2017-04,216883
2017-05,120813
2017-06,37445
2017-07,25971
2017-08,30940
2017-09,32263
2017-10,126191
2017-11,197753
2017-12,281710
2018-01,242652
2018-02,136867
2018-03,413861
2018-04,458808
2018-05,257450
2018-06,276691
2018-07,306049
2018-08,171837
2018-09,206879
2018-10,134778
2018-11,206848
2018-12,686464
2019-01,628571
2019-02,514195
2019-03,829475
2019-04,467253
2019-05,389477
2019-06,262111
2019-07,143149
2019-08,119415
2019-09,65943
2019-10,289622
2019-11,489933
2019-12,681118
2020-01,254935
2020-02,125914
2020-03,60056
2020-04,23989
2020-05,24629
2020-06,1765
2020-07,2345
2020-08,936
2020-09,3297
2020-10,26288
2020-11,34183
2020-12,78619
