Date,Close
2013-01,44833
2013-02,10799
2013-03,8572
2013-04,9260
2013-05,10180
2013-06,8077
2013-07,7653
2013-08,7054
2013-09,12218
2013-10,17175
2013-11,36442
2013-12,25237
2014-01,22027
2014-02,20596
2014-03,14724
2014-04,28295
2014-05,17748
2014-06,15798
2014-07,13212
2014-08,18158
2014-09,22139
2014-10,18449
2014-11,18477
2014-12,15377
2015-01,19310
2015-02,28910
2015-03,22557
2015-04,40385
2015-05,18522
2015-06,32815
2015-07,16108
2015-08,13438
2015-09,13591
2015-10,20351
2015-11,37176
2015-12,43117
2016-01,36454
2016-02,70454
2016-03,24443
2016-04,21649
2016-05,36282
2016-06,10235
2016-07,20717
2016-08,60924
2016-09,23738
2016-10,19039
2016-11,22201
2016-12,18586
2017-01,14365
2017-02,13391
2017-03,13605
2017-04,10262
2017-05,14245
2017-06,16644
2017-07,12620
2017-08,22459
2017-09,16481
2017-10,49181
2017-11,24132
2017-12,26570
2018-01,29579
2018-02,13803
2018-03,46400
2018-04,22778
2018-05,24563
2018-06,23061
2018-07,24164
2018-08,12951
2018-09,29638
2018-10,19950
2018-11,31203
2018-12,14274
2019-01,33825
2019-02,34371
2019-03,18517
2019-04,11674
2019-05,13331
2019-06,23972
2019-07,12585
2019-08,30592
2019-09,28758
2019-10,25343
2019-11,18888
2019-12,16872
2020-01,25643
2020-02,36523
2020-03,18182
2020-04,10630
2020-05,25600
2020-06,11143
2020-07,10107
2020-08,33798
2020-09,21498
2020-10,14527
2020-11,21874
2020-12,37268
