Date,Close
2013-01,81066
2013-02,75283
2013-03,86211
2013-04,109333
2013-05,89903
2013-06,78198
2013-07,62336
2013-08,96390
2013-09,78801
2013-10,98282
2013-11,86348
2013-12,63332
2014-01,93114
2014-02,110874
2014-03,120023
2014-04,86182
2014-05,118640
2014-06,128609
2014-07,93747
2014-08,140319
2014-09,147465
2014-10,131650
2014-11,87140
2014-12,70563
2015-01,102373
2015-02,121467
2015-03,117194
2015-04,87357
2015-05,75306
2015-06,89871
2015-07,54127
2015-08,77501
2015-09,87108
2015-10,84307
2015-11,90670
2015-12,62531
2016-01,68106
2016-02,100867
2016-03,80548
2016-04,101563
2016-05,81967
2016-06,99495
2016-07,70533
2016-08,98982
2016-09,101894
2016-10,87932
2016-11,88002
2016-12,77239
2017-01,81434
2017-02,78026
2017-03,93003
2017-04,76444
2017-05,96451
2017-06,101690
2017-07,102411
2017-08,88222
2017-09,119781
2017-10,155120
2017-11,164976
2017-12,71408
2018-01,131966
2018-02,134958
2018-03,78940
2018-04,138311
2018-05,86038
2018-06,101588
2018-07,72379
2018-08,90537
2018-09,80388
2018-10,95065
2018-11,84489
2018-12,58875
2019-01,102960
2019-02,104519
2019-03,95937
2019-04,95107
2019-05,110271
2019-06,88407
2019-07,83231
2019-08,88876
2019-09,94663
2019-10,107815
2019-11,78275
2019-12,74776
2020-01,103624
2020-02,82828
2020-03,156182
2020-04,103208
2020-05,85812
2020-06,107182
2020-07,63302
2020-08,90041
2020-09,94818
2020-10,79845
2020-11,79425
2020-12,61263
