Date,Close
2013-01,47241
2013-02,55794
2013-03,57248
2013-04,69719
2013-05,62938
2013-06,63505
2013-07,63110
2013-08,63175
2013-09,63823
2013-10,67032
2013-11,59513
2013-12,43580
2014-01,60625
2014-02,65269
2014-03,70935
2014-04,61676
2014-05,66508
2014-06,63952
2014-07,52304
2014-08,52888
2014-09,63658
2014-10,63385
2014-11,59148
2014-12,45565
2015-01,51626
2015-02,56811
2015-03,63328
2015-04,55315
2015-05,60114
2015-06,94968
2015-07,61400
2015-08,62243
2015-09,61165
2015-10,60251
2015-11,57158
2015-12,46010
2016-01,49075
2016-02,54866
2016-03,60239
2016-04,64655
2016-05,63824
2016-06,64175
2016-07,66970
2016-08,81067
2016-09,61926
2016-10,75383
2016-11,68481
2016-12,48790
2017-01,56855
2017-02,60714
2017-03,70019
2017-04,55363
2017-05,78986
2017-06,148578
2017-07,58977
2017-08,71133
2017-09,78242
2017-10,67069
2017-11,89112
2017-12,61057
2018-01,56928
2018-02,54418
2018-03,80598
2018-04,94848
2018-05,71532
2018-06,67922
2018-07,58673
2018-08,68608
2018-09,69963
2018-10,72755
2018-11,62967
2018-12,44561
2019-01,57951
2019-02,83892
2019-03,60622
2019-04,58864
2019-05,77549
2019-06,64965
2019-07,58458
2019-08,63419
2019-09,64837
2019-10,71240
2019-11,56611
2019-12,42516
2020-01,56779
2020-02,50823
2020-03,74337
2020-04,63772
2020-05,69467
2020-06,64883
2020-07,64878
2020-08,65714
2020-09,68038
2020-10,63242
2020-11,61224
2020-12,44987
