Date,Close
2013-01,594691
2013-02,533128
2013-03,346539
2013-04,523134
2013-05,644308
2013-06,482973
2013-07,652335
2013-08,784808
2013-09,717591
2013-10,566209
2013-11,456327
2013-12,592364
2014-01,470644
2014-02,543279
2014-03,306230
2014-04,349754
2014-05,461221
2014-06,390161
2014-07,772957
2014-08,413517
2014-09,486831
2014-10,456234
2014-11,429589
2014-12,414270
2015-01,447059
2015-02,593215
2015-03,430696
2015-04,504670
2015-05,681495
2015-06,630803
2015-07,442606
2015-08,490342
2015-09,656422
2015-10,460924
2015-11,695407
2015-12,477706
2016-01,354017
2016-02,388708
2016-03,351372
2016-04,454477
2016-05,405438
2016-06,421922
2016-07,643769
2016-08,476468
2016-09,419256
2016-10,511977
2016-11,546565
2016-12,722772
2017-01,762792
2017-02,499337
2017-03,547189
2017-04,383932
2017-05,745853
2017-06,615856
2017-07,551659
2017-08,668570
2017-09,540909
2017-10,653659
2017-11,643345
2017-12,618575
2018-01,619568
2018-02,441631
2018-03,837362
2018-04,686639
2018-05,960959
2018-06,684521
2018-07,608647
2018-08,637237
2018-09,726709
2018-10,671156
2018-11,662719
2018-12,687253
2019-01,501071
2019-02,624248
2019-03,719966
2019-04,626634
2019-05,600300
2019-06,792603
2019-07,903024
2019-08,861946
2019-09,804552
2019-10,513756
2019-11,890785
2019-12,834355
2020-01,754875
2020-02,639584
2020-03,670079
2020-04,733821
2020-05,636184
2020-06,710648
2020-07,552401
2020-08,678746
2020-09,649160
2020-10,804732
2020-11,759499
2020-12,533801
