Date,Close
2013-01,240419
2013-02,60068
2013-03,47575
2013-04,49390
2013-05,49034
2013-06,38627
2013-07,39861
2013-08,38137
2013-09,64755
2013-10,90463
2013-11,190337
2013-12,129670
2014-01,120858
2014-02,114443
2014-03,64442
2014-04,134697
2014-05,77488
2014-06,72338
2014-07,61897
2014-08,82881
2014-09,95585
2014-10,82911
2014-11,73983
2014-12,54501
2015-01,63131
2015-02,76126
2015-03,77370
2015-04,156595
2015-05,67134
2015-06,97672
2015-07,56272
2015-08,42299
2015-09,40382
2015-10,64733
2015-11,113990
2015-12,142611
2016-01,109385
2016-02,160321
2016-03,65979
2016-04,59759
2016-05,94610
2016-06,32764
2016-07,65585
2016-08,154752
2016-09,67717
2016-10,59858
2016-11,75020
2016-12,66214
2017-01,56570
2017-02,61843
2017-03,58413
2017-04,41620
2017-05,53644
2017-06,56883
2017-07,46465
2017-08,77393
2017-09,67384
2017-10,204103
2017-11,106608
2017-12,133166
2018-01,144517
2018-02,67307
2018-03,176148
2018-04,88493
2018-05,100304
2018-06,107630
2018-07,114120
2018-08,65113
2018-09,147352
2018-10,109676
2018-11,148230
2018-12,65756
2019-01,129573
2019-02,128241
2019-03,73522
2019-04,54264
2019-05,59508
2019-06,91464
2019-07,50700
2019-08,106397
2019-09,76902
2019-10,81331
2019-11,74998
2019-12,72502
2020-01,90185
2020-02,144449
2020-03,64801
2020-04,35081
2020-05,68961
2020-06,35107
2020-07,33882
2020-08,100733
2020-09,60096
2020-10,50451
2020-11,76749
2020-12,136751
