Date,Close
2013-01,1040103
2013-02,1058330
2013-03,981272
2013-04,1414976
2013-05,1145795
2013-06,1099991
2013-07,971943
2013-08,1079785
2013-09,1147169
2013-10,1262959
2013-11,1038591
2013-12,847390
2014-01,1192688
2014-02,1240124
2014-03,1469182
2014-04,1113363
2014-05,1284750
2014-06,1428756
2014-07,1280161
2014-08,1658665
2014-09,1632669
2014-10,1600797
2014-11,1088486
2014-12,1164646
2015-01,1303435
2015-02,1641685
2015-03,1636714
2015-04,1277337
2015-05,1075276
2015-06,1182602
2015-07,894891
2015-08,1051179
2015-09,1173396
2015-10,1117310
2015-11,1211014
2015-12,971367
2016-01,1092544
2016-02,1236963
2016-03,1107061
2016-04,1270792
2016-05,1080422
2016-06,1344162
2016-07,1000186
2016-08,1348564
2016-09,1259078
2016-10,1086227
2016-11,1027599
2016-12,905503
2017-01,1034998
2017-02,956118
2017-03,1183136
2017-04,972492
2017-05,1404165
2017-06,1237429
2017-07,1113327
2017-08,1234277
2017-09,1265192
2017-10,1438649
2017-11,1703764
2017-12,1128409
2018-01,1678861
2018-02,1551526
2018-03,1187247
2018-04,1955214
2018-05,1153778
2018-06,1470705
2018-07,1187150
2018-08,1194394
2018-09,1191275
2018-10,1413621
2018-11,1334714
2018-12,963492
2019-01,1626688
2019-02,1514636
2019-03,1585213
2019-04,1524563
2019-05,1759641
2019-06,1509364
2019-07,1601266
2019-08,1411342
2019-09,1522771
2019-10,1854329
2019-11,1538638
2019-12,1775442
2020-01,1479232
2020-02,1385934
2020-03,3197619
2020-04,2127523
2020-05,1451705
2020-06,1815420
2020-07,1085456
2020-08,1450925
2020-09,1512433
2020-10,1390511
2020-11,1437064
2020-12,1455958
