Date,Close
2013-01,1611018
2013-02,1801469
2013-03,1952352
2013-04,2405414
2013-05,1958564
2013-06,1939310
2013-07,1946506
2013-08,1958027
2013-09,2045659
2013-10,2357428
2013-11,2042255
2013-12,1663476
2014-01,2000922
2014-02,2234924
2014-03,2426160
2014-04,2166751
2014-05,3101767
2014-06,2197443
2014-07,2013070
2014-08,1884770
2014-09,2201290
2014-10,2338564
2014-11,2241949
2014-12,1861947
2015-01,2054145
2015-02,2190110
2015-03,2638034
2015-04,2081833
2015-05,2181378
2015-06,4330457
2015-07,2328215
2015-08,2306686
2015-09,2433909
2015-10,2414367
2015-11,2283720
2015-12,1904522
2016-01,2258472
2016-02,2153744
2016-03,2369085
2016-04,2329264
2016-05,2294566
2016-06,2385867
2016-07,11008195
2016-08,12305899
2016-09,2154484
2016-10,2640717
2016-11,2375650
2016-12,1937386
2017-01,2064366
2017-02,2289131
2017-03,2542149
2017-04,1978876
2017-05,2770259
2017-06,13292932
2017-07,2063580
2017-08,2426231
2017-09,4413955
2017-10,2497552
2017-11,17954207
2017-12,2739646
2018-01,2151323
2018-02,2109170
2018-03,7769319
2018-04,7295973
2018-05,2500959
2018-06,2506824
2018-07,2162455
2018-08,2430643
2018-09,2554240
2018-10,2872493
2018-11,2654013
2018-12,2000192
2019-01,2407938
2019-02,7810782
2019-03,2663921
2019-04,2418448
2019-05,3099481
2019-06,2641233
2019-07,2607370
2019-08,2564747
2019-09,2815974
2019-10,3242596
2019-11,2633703
2019-12,2242378
2020-01,2517052
2020-02,2427421
2020-03,3603994
2020-04,2809492
2020-05,2922801
2020-06,3403330
2020-07,2753112
2020-08,2722206
2020-09,3064643
2020-10,3025275
2020-11,3117428
2020-12,2358563
