Date,Close
2013-01,2810759
2013-02,2392356
2013-03,1671633
2013-04,2482778
2013-05,2854635
2013-06,2278030
2013-07,3085718
2013-08,3740206
2013-09,3736083
2013-10,2843263
2013-11,2230091
2013-12,2998772
2014-01,2420608
2014-02,2767326
2014-03,1601357
2014-04,1638360
2014-05,2204483
2014-06,1947594
2014-07,3797307
2014-08,2022314
2014-09,2444235
2014-10,2292517
2014-11,2051076
2014-12,1802681
2015-01,1776063
2015-02,1822351
2015-03,1549730
2015-04,1853318
2015-05,2847121
2015-06,2503528
2015-07,1786018
2015-08,1842023
2015-09,2074913
2015-10,1581785
2015-11,2528812
2015-12,1642048
2016-01,1113969
2016-02,1082463
2016-03,1002020
2016-04,1335195
2016-05,1191452
2016-06,1442986
2016-07,2113610
2016-08,1607400
2016-09,1448765
2016-10,1914236
2016-11,2136519
2016-12,2573543
2017-01,2889274
2017-02,1965001
2017-03,2027052
2017-04,1603487
2017-05,2643717
2017-06,2257944
2017-07,2021346
2017-08,2432602
2017-09,2032714
2017-10,2732690
2017-11,2738532
2017-12,2644021
2018-01,2899407
2018-02,2133435
2018-03,3614844
2018-04,3161301
2018-05,4538403
2018-06,3325137
2018-07,2935738
2018-08,3162677
2018-09,3801581
2018-10,3708242
2018-11,3122146
2018-12,3154825
2019-01,2608446
2019-02,2847571
2019-03,3497701
2019-04,3207131
2019-05,3159001
2019-06,3907032
2019-07,4327911
2019-08,4132685
2019-09,4004194
2019-10,2707122
2019-11,4493490
2019-12,4449862
2020-01,3872059
2020-02,3133891
2020-03,2631525
2020-04,2347916
2020-05,2064790
2020-06,2377861
2020-07,2056617
2020-08,2567427
2020-09,2328770
2020-10,2724944
2020-11,2628434
2020-12,1933670
