Date,Close
2013-01,637277
2013-02,519303
2013-03,569371
2013-04,685056
2013-05,441235
2013-06,535675
2013-07,573228
2013-08,573214
2013-09,559711
2013-10,570538
2013-11,601055
2013-12,524646
2014-01,589632
2014-02,588769
2014-03,650512
2014-04,547378
2014-05,543300
2014-06,543548
2014-07,561808
2014-08,530781
2014-09,545253
2014-10,580810
2014-11,418722
2014-12,603920
2015-01,574164
2015-02,564088
2015-03,611078
2015-04,524215
2015-05,571307
2015-06,549142
2015-07,576190
2015-08,602309
2015-09,559009
2015-10,606712
2015-11,559716
2015-12,553571
2016-01,593129
2016-02,606779
2016-03,643338
2016-04,591857
2016-05,525657
2016-06,479266
2016-07,557847
2016-08,525874
2016-09,572346
2016-10,566071
2016-11,504512
2016-12,606626
2017-01,642390
2017-02,456425
2017-03,670006
2017-04,577033
2017-05,591929
2017-06,541772
2017-07,559168
2017-08,705140
2017-09,402044
2017-10,693370
2017-11,544880
2017-12,545260
2018-01,580596
2018-02,603996
2018-03,547109
2018-04,642476
2018-05,574488
2018-06,600148
2018-07,614851
2018-08,617125
2018-09,550256
2018-10,644918
2018-11,495932
2018-12,458135
2019-01,715734
2019-02,525221
2019-03,638218
2019-04,607699
2019-05,611385
2019-06,430322
2019-07,542469
2019-08,562074
2019-09,648958
2019-10,499295
2019-11,480227
2019-12,508918
2020-01,621397
2020-02,478535
2020-03,563176
2020-04,516290
2020-05,492251
2020-06,477621
2020-07,496072
2020-08,515178
2020-09,457884
2020-10,485403
2020-11,558848
2020-12,398750
